# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076      0.82629     0.010428      0.55577      0.06855
Cluster1       COVAR   16076     -0.30385   -0.0040394      0.52898      0.71715
Cluster10      COVAR   16076     -0.30904    -0.002052       1.0958      0.61103
Cluster100     COVAR   16076      -4.6304   -0.0096383        3.647      0.89789
Cluster101     COVAR   16076      -1.2456   -0.0029331       3.3765      0.64389
Cluster102     COVAR   16076      -2.5468   -0.0044208       4.3426      0.72122
Cluster103     COVAR   16076       1.3776    0.0029684        3.438      0.34432
Cluster104     COVAR   16076      -3.6664   -0.0080096       3.4855      0.85356
Cluster105     COVAR   16076      -1.7366   -0.0031029       4.2644      0.65808
Cluster106     COVAR   16076      -4.8802   -0.0077607       4.8157      0.84456
Cluster107     COVAR   16076       1.2597    0.0025485       3.7163      0.36732
Cluster108     COVAR   16076      -2.5143   -0.0032635        5.887      0.66534
Cluster109     COVAR   16076      -1.7424   -0.0023527       5.6976      0.62012
Cluster11      COVAR   16076      0.35584    0.0023287       1.1051      0.37373
Cluster110     COVAR   16076      -1.3905   -0.0024493       4.1742      0.63047
Cluster111     COVAR   16076      -1.5905   -0.0029732       3.8544      0.66006
Cluster112     COVAR   16076      -4.2398   -0.0064066       5.0904      0.79755
Cluster113     COVAR   16076      -1.8474   -0.0046813       3.0642      0.72671
Cluster114     COVAR   16076       2.4032    0.0050901       3.6304        0.254
Cluster115     COVAR   16076      -2.5852   -0.0057545       3.3714      0.77839
Cluster116     COVAR   16076      0.23725   0.00044106       4.1415      0.47716
Cluster117     COVAR   16076      0.39591   0.00080773       3.7274      0.45771
Cluster118     COVAR   16076        1.713    0.0033844       3.7099      0.32214
Cluster119     COVAR   16076      0.64088    0.0015249       3.2821      0.42259
Cluster12      COVAR   16076      0.43181     0.003726       0.8569      0.30716
Cluster120     COVAR   16076       1.2088    0.0016811       5.3995      0.41143
Cluster121     COVAR   16076        1.343    0.0021391       4.7533      0.38877
Cluster122     COVAR   16076     -0.11159  -0.00015126       5.7528      0.50774
Cluster123     COVAR   16076      -1.8416   -0.0024434       5.8813       0.6229
Cluster124     COVAR   16076       5.6769    0.0091431       4.7496      0.11601
Cluster125     COVAR   16076       5.1563    0.0071559       5.5377       0.1759
Cluster126     COVAR   16076       1.7497     0.003872       3.5284      0.30999
Cluster127     COVAR   16076       5.2723     0.010656       3.7317     0.078864
Cluster128     COVAR   16076      -1.4023   -0.0019642       5.5878      0.59908
Cluster129     COVAR   16076       3.6444    0.0051258       5.5006      0.25381
Cluster13      COVAR   16076     -0.59042   -0.0049432      0.82865      0.76192
Cluster130     COVAR   16076      -0.1428  -0.00018957       5.7615      0.50989
Cluster131     COVAR   16076       3.2715    0.0045706       5.5291      0.27703
Cluster132     COVAR   16076      -3.2269   -0.0051424       4.7698      0.75064
Cluster133     COVAR   16076      -4.4705   -0.0057481       5.9948      0.77208
Cluster134     COVAR   16076       -2.361   -0.0037202       4.9766       0.6824
Cluster135     COVAR   16076      -4.0245   -0.0079982       3.9053      0.84861
Cluster136     COVAR   16076       -2.709   -0.0049065       4.0797      0.74666
Cluster137     COVAR   16076       -4.754    -0.007604       4.8059      0.83871
Cluster138     COVAR   16076      -5.2468   -0.0089249       4.4398      0.88134
Cluster139     COVAR   16076      -7.6567    -0.011686       5.0239      0.93624
Cluster14      COVAR   16076      0.15422    0.0011255       1.0127      0.43948
Cluster140     COVAR   16076      -4.2293   -0.0058511       5.5766      0.77589
Cluster141     COVAR   16076      -3.2153   -0.0046323       5.3781      0.72503
