# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076     -0.68908   -0.0086962      0.51765      0.90842
Cluster1       COVAR   16076      0.16067    0.0021358      0.49357       0.3724
Cluster10      COVAR   16076     -0.47322   -0.0031421       1.0173      0.67909
Cluster100     COVAR   16076       2.3123     0.004813       3.3791       0.2469
Cluster101     COVAR   16076       1.1713    0.0027582       3.1364      0.35441
Cluster102     COVAR   16076       7.1487     0.012409       4.0385     0.038362
Cluster103     COVAR   16076       6.8117     0.014678       3.1909     0.016401
Cluster104     COVAR   16076       4.7117     0.010293       3.2372     0.072781
Cluster105     COVAR   16076       2.7118    0.0048453       3.9995      0.24888
Cluster106     COVAR   16076        5.317    0.0084552       4.5121      0.11933
Cluster107     COVAR   16076      0.90122    0.0018233       3.4563      0.39714
Cluster108     COVAR   16076       7.2507    0.0094111       5.4828     0.093021
Cluster109     COVAR   16076       4.4385    0.0059932       5.2853      0.20052
Cluster11      COVAR   16076     -0.13239  -0.00086642       1.0262      0.55132
Cluster110     COVAR   16076        1.449    0.0025525        3.884      0.35455
Cluster111     COVAR   16076     -0.75512   -0.0014116        3.585      0.58341
Cluster112     COVAR   16076       1.2672    0.0019149         4.72      0.39417
Cluster113     COVAR   16076      -1.2356   -0.0031309       2.8425       0.6681
Cluster114     COVAR   16076      -1.3362     -0.00283       3.3636       0.6544
Cluster115     COVAR   16076      -0.5085   -0.0011319       3.1408      0.56431
Cluster116     COVAR   16076      -3.8607   -0.0071773       3.8544      0.84173
Cluster117     COVAR   16076       4.3982    0.0089732       3.4625      0.10201
Cluster118     COVAR   16076        1.106    0.0021852       3.4627      0.37471
Cluster119     COVAR   16076     0.089819   0.00021371       3.0527      0.48826
Cluster12      COVAR   16076      -0.4377   -0.0037769       0.7943       0.7092
Cluster120     COVAR   16076       5.7784    0.0080359       5.0168      0.12471
Cluster121     COVAR   16076       1.9923    0.0031734       4.4113      0.32577
Cluster122     COVAR   16076       4.8417    0.0065629       5.3339      0.18202
Cluster123     COVAR   16076       5.2046    0.0069053       5.4687      0.17063
Cluster124     COVAR   16076       4.7116    0.0075884       4.4115      0.14276
Cluster125     COVAR   16076       8.4868     0.011778       5.1379       0.0493
Cluster126     COVAR   16076      0.67056    0.0014839       3.2751      0.41889
Cluster127     COVAR   16076       11.791      0.02383       3.4783   0.00035068
Cluster128     COVAR   16076       8.1492     0.011414        5.196     0.058409
Cluster129     COVAR   16076       6.2363    0.0087713       5.1067      0.11102
Cluster13      COVAR   16076     -0.44773   -0.0037486      0.76947      0.71967
