VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster251,COVAR,16231,53.233,0.083202,7.8002,4.6165e-12,True,1,251.0,MGE_251,MGE interneuron,NEUR,"Cerebral cortex: 94.0%, Hippocampus: 2.5%, Basal forebrain: 2.4%"
Cluster228,COVAR,16231,60.563,0.076876,9.2745,3.4165e-11,True,2,228.0,EMSN_228,Eccentric medium spiny neuron,NEUR,"Amygdala: 83.7%, Cerebral cortex: 12.2%, Thalamus: 1.9%"
Cluster286,COVAR,16231,54.555,0.077733,8.4869,6.6972e-11,True,3,286.0,CGE_286,CGE interneuron,NEUR,"Cerebral cortex: 70.6%, Hippocampus: 13.8%, Amygdala: 10.2%"
Cluster132,COVAR,16231,44.789,0.071293,7.2917,4.1896e-10,True,4,132.0,Misc_132,Miscellaneous,NEUR,"Cerebral cortex: 98.4%, Hippocampus: 0.8%, Midbrain: 0.8%"
Cluster231,COVAR,16231,54.204,0.072273,8.9527,7.2527e-10,True,5,231.0,EMSN_231,Eccentric medium spiny neuron,NEUR,"Amygdala: 60.2%, Basal forebrain: 16.4%, Cerebral cortex: 13.7%"
Cluster242,COVAR,16231,56.024,0.071657,9.3341,1.0014e-09,True,6,242.0,MGE_242,MGE interneuron,NEUR,"Cerebral cortex: 90.8%, Hippocampus: 4.6%, Basal forebrain: 1.8%"
Cluster278,COVAR,16231,49.76,0.071777,8.4133,1.7099e-09,True,7,278.0,CGE_278,CGE interneuron,NEUR,"Cerebral cortex: 78.0%, Amygdala: 10.4%, Hippocampus: 8.1%"
Cluster233,COVAR,16231,51.115,0.067942,8.8411,3.7929e-09,True,8,233.0,EMSN_233,Eccentric medium spiny neuron,NEUR,"Amygdala: 73.7%, Thalamus: 9.5%, Hypothalamus: 5.8%"
Cluster288,COVAR,16231,50.02,0.070297,8.6561,3.8589e-09,True,9,288.0,CGE_288,CGE interneuron,NEUR,"Cerebral cortex: 70.6%, Amygdala: 13.7%, Hippocampus: 6.3%"
Cluster283,COVAR,16231,50.624,0.069012,8.8562,5.5718e-09,True,10,283.0,CGE_283,CGE interneuron,NEUR,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%"
Cluster234,COVAR,16231,54.753,0.067924,9.5801,5.6038e-09,True,11,234.0,EMSN_234,Eccentric medium spiny neuron,NEUR,"Amygdala: 75.9%, Cerebral cortex: 14.6%, Thalamus: 5.4%"
Cluster424,COVAR,16231,56.354,0.065379,10.044,1.0285e-08,True,12,424.0,Splat_424,Splatter,NEUR,"Amygdala: 34.9%, Hypothalamus: 32.8%, Thalamus: 29.6%"
Cluster426,COVAR,16231,57.31,0.063251,10.675,4.0419e-08,True,13,426.0,EMSN_426,Eccentric medium spiny neuron,NEUR,"Amygdala: 81.9%, Cerebral cortex: 10.0%, Thalamus: 3.2%"
Cluster252,COVAR,16231,44.679,0.065522,8.4636,6.6074e-08,True,14,252.0,MGE_252,MGE interneuron,NEUR,"Cerebral cortex: 85.8%, Hippocampus: 8.0%, Basal forebrain: 3.6%"
Cluster140,COVAR,16231,45.638,0.06284,8.7196,8.4333e-08,True,15,140.0,DLIT_140,Deep-layer intratelencephalic,NEUR,"Cerebral cortex: 99.2%, Hippocampus: 0.5%, Basal forebrain: 0.2%"
Cluster294,COVAR,16231,44.118,0.061379,8.5108,1.1048e-07,True,16,294.0,CGE_294,CGE interneuron,NEUR,"Cerebral cortex: 64.4%, Hippocampus: 14.7%, Amygdala: 10.8%"
Cluster389,COVAR,16231,41.588,0.061212,8.0652,1.2777e-07,True,17,389.0,Splat_389,Splatter,NEUR,"Pons: 67.3%, Midbrain: 29.6%, Thalamus: 2.4%"
Cluster428,COVAR,16231,46.808,0.059952,9.155,1.6108e-07,True,18,428.0,Splat_428,Splatter,NEUR,"Basal forebrain: 59.7%, Amygdala: 16.1%, Hypothalamus: 13.8%"
Cluster287,COVAR,16231,36.822,0.060106,7.3146,2.4345e-07,True,19,287.0,CGE_287,CGE interneuron,NEUR,"Cerebral cortex: 53.6%, Amygdala: 17.5%, Hippocampus: 15.0%"
Cluster293,COVAR,16231,36.851,0.059217,7.342,2.6304e-07,True,20,293.0,CGE_293,CGE interneuron,NEUR,"Cerebral cortex: 70.3%, Hippocampus: 15.1%, Amygdala: 8.5%"
Cluster141,COVAR,16231,41.214,0.059356,8.2999,3.4699e-07,True,21,141.0,DLIT_141,Deep-layer intratelencephalic,NEUR,"Cerebral cortex: 95.4%, Basal forebrain: 2.0%, Hippocampus: 1.4%"
Cluster229,COVAR,16231,40.597,0.056409,8.3165,5.3302e-07,True,22,229.0,EMSN_229,Eccentric medium spiny neuron,NEUR,"Amygdala: 56.1%, Basal forebrain: 28.8%, Cerebral cortex: 11.2%"
Cluster133,COVAR,16231,45.431,0.058392,9.3236,5.5731e-07,True,23,133.0,ULIT_133,Upper-layer intratelencephalic,NEUR,"Cerebral cortex: 100.0%, Basal forebrain: 0.0%, Hypothalamus: 0.0%"
Cluster280,COVAR,16231,42.068,0.058728,8.6582,5.981e-07,True,24,280.0,CGE_280,CGE interneuron,NEUR,"Cerebral cortex: 73.7%, Amygdala: 13.3%, Hippocampus: 7.8%"
Cluster422,COVAR,16231,44.528,0.056907,9.2609,7.7046e-07,True,25,422.0,Splat_422,Splatter,NEUR,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%"
Cluster239,COVAR,16231,43.296,0.058152,9.0224,8.0771e-07,True,26,239.0,MGE_239,MGE interneuron,NEUR,"Cerebral cortex: 95.4%, Hippocampus: 1.5%, Basal forebrain: 1.2%"
Cluster273,COVAR,16231,43.757,0.05841,9.1583,8.961e-07,True,27,273.0,LLC_273,LAMP5-LHX6 and Chandelier,NEUR,"Amygdala: 44.9%, Cerebral cortex: 33.4%, Hippocampus: 7.3%"
Cluster177,COVAR,16231,40.321,0.056509,8.5133,1.101e-06,True,28,177.0,Misc_177,Miscellaneous,NEUR,"Hippocampus: 68.2%, Midbrain: 20.5%, Cerebral cortex: 10.8%"
Cluster296,COVAR,16231,35.06,0.054382,7.4919,1.452e-06,True,29,296.0,CGE_296,CGE interneuron,NEUR,"Cerebral cortex: 72.9%, Amygdala: 10.5%, Hippocampus: 9.0%"
