# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076     -0.28976   -0.0036568      0.54488      0.70256
Cluster1       COVAR   16076     0.076247    0.0010136      0.51626      0.44129
Cluster10      COVAR   16076     -0.52403   -0.0034795       1.0758      0.68691
Cluster100     COVAR   16076      -4.4513   -0.0092655        3.582        0.893
Cluster101     COVAR   16076      -3.6913   -0.0086922       3.3176      0.86706
Cluster102     COVAR   16076      -7.5622    -0.013127       4.2628      0.96196
Cluster103     COVAR   16076       -1.202   -0.0025901       3.3809       0.6389
Cluster104     COVAR   16076      -3.9253   -0.0085753        3.425      0.87411
Cluster105     COVAR   16076      -3.9398   -0.0070396       4.1921      0.82634
Cluster106     COVAR   16076       -7.763    -0.012345       4.7297      0.94962
Cluster107     COVAR   16076     -0.67093   -0.0013574       3.6496      0.57293
Cluster108     COVAR   16076      -8.0303    -0.010423       5.7814      0.91757
Cluster109     COVAR   16076      -8.3201    -0.011234       5.5951      0.93148
Cluster11      COVAR   16076    -0.066238  -0.00043348       1.0851      0.52434
Cluster110     COVAR   16076      -4.7911   -0.0084394       4.1002      0.87869
Cluster111     COVAR   16076      -3.9467   -0.0073779       3.7861      0.85138
Cluster112     COVAR   16076      -5.5986   -0.0084598       4.9987      0.86864
Cluster113     COVAR   16076      -2.8701   -0.0072727       3.0095      0.82987
Cluster114     COVAR   16076      -1.9203   -0.0040672       3.5736      0.70448
Cluster115     COVAR   16076      -3.7509   -0.0083494       3.3119      0.87129
Cluster116     COVAR   16076      -5.8371    -0.010852       4.0684      0.92431
Cluster117     COVAR   16076      -6.2992    -0.012852       3.6585      0.95743
Cluster118     COVAR   16076      -1.9558   -0.0038642       3.6436      0.70429
Cluster119     COVAR   16076      -3.5878   -0.0085367       3.2214       0.8673
Cluster12      COVAR   16076     -0.49148   -0.0042409      0.84052      0.72063
Cluster120     COVAR   16076      -6.5079   -0.0090504       5.3031      0.89011
Cluster121     COVAR   16076      -3.7255   -0.0059339       4.6689      0.78754
Cluster122     COVAR   16076      -8.6732    -0.011757       5.6484      0.93766
Cluster123     COVAR   16076      -6.9694   -0.0092468       5.7749      0.88624
Cluster124     COVAR   16076     -0.83195   -0.0013399       4.6656      0.57076
Cluster125     COVAR   16076      -2.8788   -0.0039952       5.4381      0.70172
Cluster126     COVAR   16076      -3.2024   -0.0070867       3.4666      0.82219
Cluster127     COVAR   16076     -0.71332   -0.0014417       3.6644      0.57717
Cluster128     COVAR   16076      -3.0116   -0.0042183       5.4895      0.70836
Cluster129     COVAR   16076      -2.7781   -0.0039073       5.4052      0.69636
Cluster13      COVAR   16076     -0.83898   -0.0070243      0.81421      0.84859
Cluster130     COVAR   16076       -3.251   -0.0043158       5.6618      0.71708
Cluster131     COVAR   16076     -0.16553  -0.00023125       5.4324      0.51215
Cluster132     COVAR   16076      -3.9059   -0.0062243       4.6814      0.79795
Cluster133     COVAR   16076      -3.4275   -0.0044069       5.8861      0.71981
Cluster134     COVAR   16076      -5.7993   -0.0091379       4.8867      0.88232
Cluster135     COVAR   16076      -1.9516   -0.0038786       3.8355      0.69456
Cluster136     COVAR   16076     -0.54852  -0.00099347       4.0036      0.55449
Cluster137     COVAR   16076      -7.5027    -0.012001       4.7223      0.94393
Cluster138     COVAR   16076      -6.1876    -0.010525       4.3591      0.92211
Cluster139     COVAR   16076      -11.865    -0.018108       4.9344       0.9919
Cluster14      COVAR   16076     0.073727   0.00053805      0.99488      0.47046
Cluster140     COVAR   16076      -3.4826    -0.004818       5.4754      0.73762
Cluster141     COVAR   16076      -8.3006    -0.011959         5.28      0.94202
Cluster142     COVAR   16076      -8.7275    -0.017639       3.9395      0.98663
Cluster143     COVAR   16076      -13.948    -0.021907        4.848      0.99799
Cluster144     COVAR   16076      -5.9772   -0.0087394        5.244      0.87281
Cluster145     COVAR   16076      -10.139    -0.017085       4.4216      0.98907
Cluster146     COVAR   16076      -6.4738   -0.0088932       5.5115      0.87991
Cluster147     COVAR   16076      -11.404    -0.014569       5.8592      0.97418
Cluster148     COVAR   16076      -11.029    -0.015021       5.5434      0.97667
Cluster149     COVAR   16076       -5.169   -0.0070026       5.4871       0.8269
Cluster15      COVAR   16076      0.18406    0.0014235      0.95974      0.42396
Cluster150     COVAR   16076        1.653    0.0033878       3.5571      0.32108
Cluster151     COVAR   16076       3.1595    0.0061057       3.8078      0.20335
Cluster152     COVAR   16076      -0.7348   -0.0017643       3.0162      0.59623
Cluster153     COVAR   16076      -4.9323    -0.008999       3.9311      0.89519
Cluster154     COVAR   16076      -3.9928   -0.0070308       4.0949      0.83522
Cluster155     COVAR   16076      -6.0187   -0.0080737       5.6225      0.85779
Cluster156     COVAR   16076      -6.9925    -0.010714       4.7933      0.92768
Cluster157     COVAR   16076      -6.6608    -0.012614       4.2459      0.94164
Cluster158     COVAR   16076      -7.6984    -0.011027        5.212      0.93016
Cluster159     COVAR   16076      -2.1882   -0.0033365       4.8793      0.67309
Cluster16      COVAR   16076      0.44921    0.0028464       1.1471      0.34768
Cluster160     COVAR   16076      -7.0714    -0.014968       3.1163      0.98836
Cluster161     COVAR   16076      -2.2094    -0.004552       3.4247      0.74057
Cluster162     COVAR   16076      -10.827    -0.017282       4.6616      0.98989
Cluster163     COVAR   16076      -3.7728   -0.0071437        3.928      0.83158
Cluster164     COVAR   16076     -0.25049  -0.00047984       3.8183      0.52615
Cluster165     COVAR   16076    -0.025146  -4.8245e-05        3.847      0.50261
Cluster166     COVAR   16076     0.068769   0.00013168       3.8751      0.49292
Cluster167     COVAR   16076      -3.6191   -0.0059282       4.6473      0.78193
Cluster168     COVAR   16076      -1.9335   -0.0036938       4.1419      0.67968
