# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076    -0.017333  -0.00021874      0.54174      0.51276
Cluster1       COVAR   16076     -0.35964    -0.004781      0.51537      0.75736
Cluster10      COVAR   16076     -0.12303   -0.0008169       1.0623       0.5461
Cluster100     COVAR   16076       3.0467    0.0063417       3.5351      0.19439
Cluster101     COVAR   16076       8.3525     0.019668       3.2765    0.0054038
Cluster102     COVAR   16076       6.6989     0.011628        4.213     0.055923
Cluster103     COVAR   16076        1.395    0.0030059       3.3325      0.33776
Cluster104     COVAR   16076       2.4055    0.0052551       3.3794       0.2383
Cluster105     COVAR   16076       10.387      0.01856       4.1857    0.0065452
Cluster106     COVAR   16076        10.78     0.017142       4.7196     0.011193
Cluster107     COVAR   16076       7.0256     0.014214       3.6127     0.025916
Cluster108     COVAR   16076       10.547      0.01369        5.735     0.032964
Cluster109     COVAR   16076       8.7287     0.011786       5.5311     0.057281
Cluster11      COVAR   16076      0.58476    0.0038268       1.0729      0.29287
Cluster110     COVAR   16076       6.2248     0.010965       4.0645     0.062837
Cluster111     COVAR   16076       6.2571     0.011697       3.7504     0.047629
Cluster112     COVAR   16076       4.4418    0.0067117       4.9418      0.18438
Cluster113     COVAR   16076      -2.6991   -0.0068393       2.9739      0.81795
Cluster114     COVAR   16076       3.4256    0.0072556       3.5145      0.16486
Cluster115     COVAR   16076       1.9006    0.0042306       3.2882      0.28164
Cluster116     COVAR   16076       1.7447    0.0032434       4.0383      0.33286
Cluster117     COVAR   16076       3.1487     0.006424       3.6294      0.19283
Cluster118     COVAR   16076      0.92386    0.0018253       3.6255      0.39943
Cluster119     COVAR   16076      -1.2982   -0.0030888       3.2095      0.65707
Cluster12      COVAR   16076     -0.97445   -0.0084085      0.83171      0.87932
Cluster120     COVAR   16076       4.3234    0.0060125       5.2472      0.20499
Cluster121     COVAR   16076       1.0839    0.0017264       4.6177      0.40721
Cluster122     COVAR   16076       7.4936     0.010158       5.5821     0.089739
Cluster123     COVAR   16076       8.1945     0.010872         5.73     0.076357
Cluster124     COVAR   16076       5.0537    0.0081395       4.6174      0.13688
Cluster125     COVAR   16076       3.2183    0.0044663       5.3722      0.27457
Cluster126     COVAR   16076        1.273     0.002817       3.4289      0.35523
Cluster127     COVAR   16076        2.995    0.0060531       3.6406      0.20535
Cluster128     COVAR   16076       5.0652    0.0070947       5.4386      0.17585
Cluster129     COVAR   16076       7.0391    0.0099004       5.3489     0.094101
Cluster13      COVAR   16076       -0.962   -0.0080542      0.81503      0.88105
Cluster130     COVAR   16076       1.3277    0.0017625       5.6133      0.40652
Cluster131     COVAR   16076       4.3343    0.0060553       5.4102      0.21153
Cluster132     COVAR   16076       2.0373    0.0032465       4.6397       0.3303
Cluster133     COVAR   16076       4.9191    0.0063248       5.8406      0.19984
Cluster134     COVAR   16076       3.7058    0.0058392       4.8449      0.22218
Cluster135     COVAR   16076       3.7353    0.0074235       3.8211      0.16416
Cluster136     COVAR   16076       4.6763    0.0084696       3.9718      0.11954
Cluster137     COVAR   16076       6.5099     0.010413       4.6967     0.082877
Cluster138     COVAR   16076       2.8871     0.004911       4.3254      0.25224
Cluster139     COVAR   16076       9.5385     0.014558       4.8955     0.025693
Cluster14      COVAR   16076     -0.49921   -0.0036432      0.99555      0.69197
Cluster140     COVAR   16076       6.1998    0.0085772       5.4369      0.12709
Cluster141     COVAR   16076       12.643     0.018214       5.2775    0.0083033
Cluster142     COVAR   16076       5.3103     0.010733       3.8901     0.086125
Cluster143     COVAR   16076       7.3777     0.011588       4.8061     0.062393
Cluster144     COVAR   16076       11.293     0.016512       5.2332     0.015476
Cluster145     COVAR   16076       3.2713    0.0055126       4.3689      0.22701
Cluster146     COVAR   16076       12.536     0.017221       5.4743      0.01102
Cluster147     COVAR   16076       8.0176     0.010243          5.8     0.083447
Cluster148     COVAR   16076       5.2823    0.0071947       5.4864      0.16783
Cluster149     COVAR   16076       7.4005     0.010026       5.4426     0.086969
Cluster15      COVAR   16076      0.15233    0.0011781      0.96195      0.43709
Cluster150     COVAR   16076       7.5038     0.015379       3.5147     0.016391
Cluster151     COVAR   16076       7.8828     0.015233       3.7963     0.018936
Cluster152     COVAR   16076       8.8731     0.021304       3.0831    0.0020042
Cluster153     COVAR   16076       3.8253    0.0069793       3.9065      0.16375
Cluster154     COVAR   16076       6.0402     0.010636       4.0956     0.070143
Cluster155     COVAR   16076       4.4283    0.0059402       5.5951      0.21434
Cluster156     COVAR   16076       4.0913    0.0062687        4.765      0.19528
Cluster157     COVAR   16076      -2.0944   -0.0039664       4.2097      0.69058
Cluster158     COVAR   16076       3.4844     0.004991       5.1763      0.25043
Cluster159     COVAR   16076       6.7713     0.010325       4.7841     0.078488
Cluster16      COVAR   16076      0.65764    0.0041671       1.1541       0.2844
Cluster160     COVAR   16076      -0.8316   -0.0017603        3.223       0.6018
Cluster161     COVAR   16076       1.4344    0.0029553       3.3912      0.33615
Cluster162     COVAR   16076       7.5741     0.012091       4.6187     0.050525
Cluster163     COVAR   16076        3.999    0.0075722       3.8904        0.152
Cluster164     COVAR   16076       3.9579    0.0075819       3.7213      0.14377
Cluster165     COVAR   16076      0.58186    0.0011163       3.7745      0.43874
Cluster166     COVAR   16076      -2.1218    -0.004063       3.8184      0.71078
Cluster167     COVAR   16076       4.6104     0.007552       4.5887      0.15752
Cluster168     COVAR   16076       -1.453   -0.0027758       4.1014      0.63843
Cluster169     COVAR   16076       1.1346     0.002022       4.0442      0.38953
Cluster17      COVAR   16076       0.4285    0.0038076      0.80968      0.29833
Cluster170     COVAR   16076       4.6115    0.0070953       4.7747      0.16707
Cluster171     COVAR   16076        6.815     0.014641        3.419     0.023125
Cluster172     COVAR   16076       3.1097    0.0052229       4.4527      0.24248
Cluster173     COVAR   16076       7.9116     0.016524       3.4382       0.0107
Cluster174     COVAR   16076      -2.1645   -0.0037307       4.3255       0.6916
Cluster175     COVAR   16076     -0.97613   -0.0016096       4.6073      0.58389
Cluster176     COVAR   16076      -1.1503   -0.0023557       3.5588      0.62674
Cluster177     COVAR   16076       1.0975     0.001545       5.3452      0.41866
Cluster178     COVAR   16076       2.9235    0.0047316       4.4439      0.25532
Cluster179     COVAR   16076       1.5378    0.0024234       4.6212      0.36965
Cluster18      COVAR   16076     -0.25854   -0.0023648      0.79388      0.62766
Cluster180     COVAR   16076    -0.038322  -8.7959e-05       3.2083      0.50476
Cluster181     COVAR   16076       1.4449    0.0027321       3.8747      0.35461
Cluster182     COVAR   16076      -1.7834   -0.0039281       3.2611      0.70776
Cluster183     COVAR   16076      -4.2361   -0.0076742       4.0593      0.85165
Cluster184     COVAR   16076      -1.0647   -0.0026792       2.7492      0.65072
Cluster185     COVAR   16076      -3.7205   -0.0065123       4.1002      0.81789
Cluster186     COVAR   16076       1.0609    0.0021442       3.5899       0.3838
Cluster187     COVAR   16076      -0.4251   -0.0006789       4.6129      0.53671
Cluster188     COVAR   16076     -0.86326   -0.0014015       4.3258      0.57909
Cluster189     COVAR   16076       1.7739    0.0038559       3.3153       0.2963
Cluster19      COVAR   16076     -0.60105    -0.004204       1.0077      0.72456
Cluster190     COVAR   16076       1.8339     0.004657       2.7854      0.25514
Cluster191     COVAR   16076     -0.71733   -0.0014598       3.5136      0.58088
Cluster192     COVAR   16076     -0.70393   -0.0017684       2.8358      0.59802
Cluster193     COVAR   16076      -2.8381     -0.00517       3.8876      0.76731
Cluster194     COVAR   16076      -2.0632   -0.0044242       3.2992      0.73413
Cluster195     COVAR   16076      0.90285    0.0018126       3.3346      0.39329
Cluster196     COVAR   16076       1.9888    0.0035956       3.9348      0.30663
Cluster197     COVAR   16076      -1.0702   -0.0019433       4.0315      0.60467
Cluster198     COVAR   16076       6.3846     0.011847       3.9372     0.052456
Cluster199     COVAR   16076     -0.45722   -0.0011813       2.7409      0.56624
Cluster2       COVAR   16076    -0.087691    -0.001374      0.45344      0.57667
Cluster20      COVAR   16076       0.3555    0.0022974       1.0971      0.37295
Cluster200     COVAR   16076     -0.29234  -0.00060508       3.4694      0.53358
Cluster201     COVAR   16076      -0.1326   -0.0002048       4.8313      0.51095
Cluster202     COVAR   16076       1.9394    0.0032229       4.4576      0.33176
Cluster203     COVAR   16076      -3.7158    -0.006175       4.4596      0.79763
Cluster204     COVAR   16076      -4.6146    -0.009024       3.7726      0.88936
Cluster205     COVAR   16076     -0.15444  -0.00026457       4.4394      0.51388
Cluster206     COVAR   16076       4.7925    0.0096701       3.6401     0.094003
Cluster207     COVAR   16076       10.018     0.017895        4.202    0.0085669
Cluster208     COVAR   16076       8.3714     0.014667       4.2645      0.02483
Cluster209     COVAR   16076       5.5471      0.01351       2.9972     0.032115
Cluster21      COVAR   16076    -0.022195  -0.00013413       1.1687      0.50758
Cluster210     COVAR   16076       5.9516     0.012204       3.5923     0.048797
Cluster211     COVAR   16076       5.8441      0.01401       3.0032     0.025839
Cluster212     COVAR   16076       7.2936     0.013465       4.0037     0.034259
Cluster213     COVAR   16076       4.9008    0.0082482       4.4472      0.13524
Cluster214     COVAR   16076       4.4834     0.007182       4.6791      0.16899
Cluster215     COVAR   16076        3.889    0.0084189       3.3948        0.126
Cluster216     COVAR   16076       7.8498     0.011683       5.0589     0.060383
Cluster217     COVAR   16076       16.137      0.01942       6.3336    0.0054249
Cluster218     COVAR   16076       1.0476    0.0016413       4.6675      0.41121
Cluster219     COVAR   16076       8.8185      0.01184       5.5431     0.055827
Cluster22      COVAR   16076      0.28317    0.0015577       1.2948      0.41344
Cluster220     COVAR   16076       10.885     0.016702       4.8721     0.012746
Cluster221     COVAR   16076       7.7936     0.014435       4.0279     0.026512
Cluster222     COVAR   16076        5.623     0.010261       4.0586     0.082971
Cluster223     COVAR   16076       6.8586     0.012247       3.9915     0.042881
Cluster224     COVAR   16076        9.633     0.013699       5.2091     0.032221
Cluster225     COVAR   16076       1.8935    0.0029758       4.6814      0.34294
Cluster226     COVAR   16076       7.0295    0.0097452        5.384     0.095851
Cluster227     COVAR   16076       8.8285     0.013001       5.0192     0.039307
Cluster228     COVAR   16076   -0.0025893  -3.3071e-06       5.8791      0.50018
Cluster229     COVAR   16076       3.6622    0.0050567       5.2965      0.24465
Cluster23      COVAR   16076      -1.2445   -0.0065179       1.3822      0.81603
Cluster230     COVAR   16076       5.5062    0.0073423       5.6308      0.16408
Cluster231     COVAR   16076       1.9884    0.0026643       5.5725      0.36062
