# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076     -0.54237   -0.0068448       0.5694      0.82958
Cluster1       COVAR   16076      0.14275    0.0018977      0.54188      0.39611
Cluster10      COVAR   16076       -0.521   -0.0034594       1.1167      0.67958
Cluster100     COVAR   16076      -3.7416   -0.0077883        3.717      0.84294
Cluster101     COVAR   16076      0.59725    0.0014064       3.4418      0.43112
Cluster102     COVAR   16076      -3.0612   -0.0053137       4.4281      0.75531
Cluster103     COVAR   16076      -4.7735    -0.010286       3.5074      0.91323
Cluster104     COVAR   16076     -0.75518   -0.0016498       3.5537      0.58414
Cluster105     COVAR   16076      -2.9415   -0.0052558       4.4009      0.74805
Cluster106     COVAR   16076     0.074152   0.00011792       4.9711      0.49405
Cluster107     COVAR   16076      0.36713   0.00074275       3.8004      0.46152
Cluster108     COVAR   16076       2.7281     0.003541       6.0341       0.3256
Cluster109     COVAR   16076       4.4521    0.0060115       5.8144      0.22193
Cluster11      COVAR   16076     -0.45118   -0.0029527       1.1279      0.65543
Cluster110     COVAR   16076       2.2422    0.0039496       4.2765      0.30004
Cluster111     COVAR   16076       3.4428    0.0064359        3.942      0.19124
Cluster112     COVAR   16076       3.0051    0.0045408       5.2055      0.28187
Cluster113     COVAR   16076      0.46627    0.0011815       3.1262      0.44072
Cluster114     COVAR   16076       1.9544    0.0041394       3.6954      0.29845
Cluster115     COVAR   16076       1.0117    0.0022521       3.4642      0.38512
Cluster116     COVAR   16076       2.0757    0.0038589        4.245      0.31243
Cluster117     COVAR   16076     -0.31202  -0.00063657       3.8154      0.53259
Cluster118     COVAR   16076      -3.0114   -0.0059497       3.8121      0.78521
Cluster119     COVAR   16076       2.1428    0.0050985       3.3749      0.26275
Cluster12      COVAR   16076      0.36123     0.003117       0.8744      0.33976
Cluster120     COVAR   16076      -2.5594   -0.0035594       5.5173      0.67863
Cluster121     COVAR   16076      -3.9246    -0.006251       4.8461      0.79097
Cluster122     COVAR   16076     -0.44009  -0.00059655       5.8731      0.52987
Cluster123     COVAR   16076      -2.5403   -0.0033704       6.0264      0.66331
Cluster124     COVAR   16076      -3.5323    -0.005689       4.8561       0.7665
Cluster125     COVAR   16076      -1.8184   -0.0025236        5.655       0.6261
Cluster126     COVAR   16076      -3.1762   -0.0070287       3.6048      0.81085
Cluster127     COVAR   16076      -3.3589   -0.0067886       3.7843      0.81261
Cluster128     COVAR   16076      0.47217   0.00066136        5.722      0.46712
Cluster129     COVAR   16076     -0.99979   -0.0014062       5.6281       0.5705
Cluster13      COVAR   16076     -0.45033   -0.0037703      0.85798      0.70016
Cluster130     COVAR   16076      -3.9894    -0.005296       5.8848      0.75108
Cluster131     COVAR   16076       2.5768    0.0035999       5.6767      0.32495
Cluster132     COVAR   16076      -5.7917   -0.0092295       4.8819      0.88225
Cluster133     COVAR   16076      -6.8535   -0.0088121       6.1462      0.86758
Cluster134     COVAR   16076        2.131    0.0033577       5.0973      0.33796
Cluster135     COVAR   16076      -1.3269   -0.0026371       4.0201      0.62933
Cluster136     COVAR   16076      0.33083   0.00059919       4.1754      0.46842
Cluster137     COVAR   16076      0.56089   0.00089715        4.935      0.45476
Cluster138     COVAR   16076      -1.6657   -0.0028333       4.5274      0.64353
Cluster139     COVAR   16076      -1.0149    -0.001549       5.1538      0.57806
Cluster14      COVAR   16076      0.57178    0.0041728       1.0481       0.2927
Cluster140     COVAR   16076        2.134    0.0029523       5.6925      0.35388
Cluster141     COVAR   16076      -1.4254   -0.0020536       5.5533      0.60129
Cluster142     COVAR   16076      -2.7816   -0.0056219       4.0977      0.75137
Cluster143     COVAR   16076     -0.90335   -0.0014188       5.0235      0.57135
Cluster144     COVAR   16076       1.0084    0.0014744        5.511      0.42741
Cluster145     COVAR   16076      -5.0351   -0.0084849        4.595       0.8634
Cluster146     COVAR   16076       -2.371   -0.0032572       5.7583      0.65974
Cluster147     COVAR   16076      -4.7346   -0.0060489       6.0993      0.78119
Cluster148     COVAR   16076      -6.2437   -0.0085042       5.7376      0.86174
Cluster149     COVAR   16076      -3.9409   -0.0053388        5.722      0.75449
Cluster15      COVAR   16076      0.38318    0.0029634       1.0125      0.35255
Cluster150     COVAR   16076       2.3739    0.0048654       3.6966      0.26038
Cluster151     COVAR   16076    -0.014563  -2.8142e-05       3.9492      0.50147
Cluster152     COVAR   16076      -3.5858   -0.0086094       3.2691      0.86364
Cluster153     COVAR   16076     0.072527   0.00013233        4.117      0.49297
Cluster154     COVAR   16076       1.0489     0.001847       4.3106      0.40388
Cluster155     COVAR   16076       1.1503     0.001543       5.8913       0.4226
Cluster156     COVAR   16076      -3.1701   -0.0048571        5.013      0.73642
Cluster157     COVAR   16076      -3.5899   -0.0067985       4.4282      0.79122
Cluster158     COVAR   16076      -7.2042    -0.010319       5.4433      0.90715
Cluster159     COVAR   16076      -4.0038    -0.006105       5.0311      0.78692
Cluster16      COVAR   16076      0.53353    0.0033807       1.2142      0.33019
Cluster160     COVAR   16076      -2.5917   -0.0054859       3.3324      0.78163
Cluster161     COVAR   16076      -1.2746    -0.002626       3.5283      0.64104
Cluster162     COVAR   16076      -3.6755   -0.0058672       4.8573      0.77538
Cluster163     COVAR   16076       -5.126   -0.0097061       4.0883      0.89504
Cluster164     COVAR   16076       -1.929   -0.0036952       3.9268      0.68836
Cluster165     COVAR   16076      -5.7937    -0.011116       3.9709      0.92771
Cluster166     COVAR   16076      -2.8658   -0.0054876       4.0166      0.76223
Cluster167     COVAR   16076      -2.7684   -0.0045347       4.8321      0.71665
Cluster168     COVAR   16076      -4.2318   -0.0080844       4.3158      0.83658
Cluster169     COVAR   16076      -2.1679   -0.0038634       4.2545      0.69481
Cluster17      COVAR   16076     0.017384   0.00015448      0.85147      0.49186
Cluster170     COVAR   16076       -2.475    -0.003808       5.0233      0.68888
Cluster171     COVAR   16076     -0.16263   -0.0003494       3.5961      0.51804
Cluster172     COVAR   16076      -1.0095   -0.0016955       4.6877      0.58525
Cluster173     COVAR   16076      -2.6452   -0.0055248       3.6171       0.7677
Cluster174     COVAR   16076      -1.2649   -0.0021801       4.5521      0.60944
Cluster175     COVAR   16076     -0.16425  -0.00027085       4.8464      0.51352
Cluster176     COVAR   16076       -1.816   -0.0037188       3.7435       0.6862
Cluster177     COVAR   16076      -1.5886   -0.0022362       5.6254      0.61118
Cluster178     COVAR   16076       3.4413    0.0055697       4.6754      0.23086
Cluster179     COVAR   16076      0.26436    0.0004166       4.8599      0.47831
Cluster18      COVAR   16076      0.83531    0.0076403       0.8349      0.15855
Cluster180     COVAR   16076      -3.3586    -0.007709       3.3737      0.84025
Cluster181     COVAR   16076      -4.2541    -0.008044       4.0741      0.85179
Cluster182     COVAR   16076      -3.5269   -0.0077684       3.4432      0.84715
Cluster183     COVAR   16076     -0.55869   -0.0010121       4.2669      0.55209
Cluster184     COVAR   16076      -2.2526   -0.0056686       2.8911      0.78205
Cluster185     COVAR   16076      0.96012    0.0016806       4.3116      0.41189
Cluster186     COVAR   16076      -8.2299    -0.016633       3.7739      0.98539
Cluster187     COVAR   16076      -4.1778   -0.0066722        4.854      0.80529
Cluster188     COVAR   16076     -0.39711   -0.0006447       4.5513      0.53476
Cluster189     COVAR   16076       -2.313   -0.0050277       3.4847      0.74657
Cluster19      COVAR   16076     -0.12571  -0.00087926       1.0598      0.54721
Cluster190     COVAR   16076     -0.31574  -0.00080178       2.9288      0.54292
Cluster191     COVAR   16076      0.39044   0.00079456       3.6956      0.45793
Cluster192     COVAR   16076       0.3455   0.00086794       2.9814      0.45387
Cluster193     COVAR   16076     -0.75706   -0.0013791       4.0884      0.57345
Cluster194     COVAR   16076       3.3361    0.0071539       3.4683      0.16806
