# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16076     -0.34557   -0.0043612      0.56627      0.72915
Cluster1       COVAR   16076      0.16867    0.0022423      0.53889      0.37714
Cluster10      COVAR   16076     -0.53388   -0.0035449       1.1106      0.68464
Cluster100     COVAR   16076      -3.7895   -0.0078879       3.6965      0.84735
Cluster101     COVAR   16076       3.4463    0.0081152       3.4227        0.157
Cluster102     COVAR   16076      -1.6684   -0.0028961       4.4038       0.6476
Cluster103     COVAR   16076       -4.339   -0.0093494       3.4881      0.89323
Cluster104     COVAR   16076      -1.8869   -0.0041221       3.5341      0.70329
Cluster105     COVAR   16076      -3.2677   -0.0058388       4.3768      0.77234
Cluster106     COVAR   16076      -0.4498  -0.00071529       4.9439      0.53625
Cluster107     COVAR   16076       1.3513    0.0027339       3.7794      0.36034
Cluster108     COVAR   16076       1.3996    0.0018166       6.0008      0.40779
Cluster109     COVAR   16076       4.4731    0.0060399       5.7823       0.2196
Cluster11      COVAR   16076      -0.6499   -0.0042531       1.1217      0.71884
Cluster110     COVAR   16076       2.6678    0.0046993       4.2529      0.26524
Cluster111     COVAR   16076       3.5821    0.0066963       3.9203      0.18044
Cluster112     COVAR   16076       4.2812    0.0064692       5.1767      0.20412
Cluster113     COVAR   16076       1.5688    0.0039752        3.109      0.30692
Cluster114     COVAR   16076      0.13096   0.00027738       3.6751      0.48579
Cluster115     COVAR   16076      0.81842    0.0018218        3.445      0.40611
Cluster116     COVAR   16076       2.3548    0.0043777       4.2216      0.28849
Cluster117     COVAR   16076       3.6675    0.0074823       3.7943      0.16689
Cluster118     COVAR   16076      -1.4579   -0.0028804       3.7911      0.64971
Cluster119     COVAR   16076       3.5005     0.008329       3.3562      0.14848
Cluster12      COVAR   16076      0.17919    0.0015462      0.86959      0.41837
Cluster120     COVAR   16076     -0.86643   -0.0012049        5.487      0.56273
Cluster121     COVAR   16076      -2.8389   -0.0045218       4.8194      0.72208
Cluster122     COVAR   16076    0.0062479   8.4691e-06       5.8407      0.49957
Cluster123     COVAR   16076       -4.175   -0.0055393       5.9936      0.75696
Cluster124     COVAR   16076       -2.343   -0.0037737       4.8299       0.6862
Cluster125     COVAR   16076      -2.1953   -0.0030466       5.6239      0.65186
Cluster126     COVAR   16076      -2.8957   -0.0064081       3.5853      0.79035
Cluster127     COVAR   16076      -2.2897   -0.0046277       3.7635      0.72853
Cluster128     COVAR   16076      0.16635     0.000233       5.6904      0.48834
Cluster129     COVAR   16076      -1.0492   -0.0014757       5.5971      0.57435
