# MEAN_SAMPLE_SIZE = 57472
# TOTAL_GENES = 16641
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16641     -0.28439   -0.0035958      0.71427      0.65474
Cluster1       COVAR   16641      -1.9611    -0.025617      0.70453      0.99731
Cluster10      COVAR   16641      -4.1376    -0.027503       1.3586      0.99884
Cluster100     COVAR   16641       4.0123    0.0084572       4.5619      0.18957
Cluster101     COVAR   16641       9.2257     0.021841       3.9669     0.010026
Cluster102     COVAR   16641       15.495     0.027316        5.168    0.0013599
Cluster103     COVAR   16641       14.843     0.032079       4.1519   0.00017567
Cluster104     COVAR   16641       8.1636     0.017815       4.2333     0.026913
Cluster105     COVAR   16641       9.9024     0.019372       4.8038     0.019644
Cluster106     COVAR   16641       21.288     0.034059       5.9297   0.00016592
Cluster107     COVAR   16641       10.634      0.02152       4.6179     0.010654
Cluster108     COVAR   16641       33.098     0.043518       7.2719   2.6874e-06
Cluster109     COVAR   16641       27.498     0.038497       6.8813   3.2372e-05
Cluster11      COVAR   16641      -3.7727    -0.024629       1.3805      0.99686
Cluster110     COVAR   16641       13.172     0.023195       5.2375    0.0059573
Cluster111     COVAR   16641       5.2382    0.0099395       4.8794      0.14153
Cluster112     COVAR   16641       13.891     0.021005       6.3158      0.01393
Cluster113     COVAR   16641      0.30913   0.00082127       3.5136      0.46495
Cluster114     COVAR   16641       3.1317    0.0069368       4.3014      0.23329
Cluster115     COVAR   16641       9.3348     0.020717       4.1763      0.01271
Cluster116     COVAR   16641       9.2549     0.017198       4.9731     0.031382
Cluster117     COVAR   16641       9.9528     0.020174       4.5337     0.014081
Cluster118     COVAR   16641       10.141     0.020255       4.4004     0.010605
Cluster119     COVAR   16641       3.1623    0.0073475       4.0653      0.21832
Cluster12      COVAR   16641      -2.9065    -0.024999       1.0417      0.99736
Cluster120     COVAR   16641       26.088     0.036493       6.6369   4.2553e-05
Cluster121     COVAR   16641       5.7084      0.01057       4.7035      0.11245
Cluster122     COVAR   16641       36.379     0.049159       6.9941   1.0038e-07
Cluster123     COVAR   16641       41.007     0.054467       7.1768   5.6442e-09
Cluster124     COVAR   16641       19.642     0.031621       5.8174   0.00036811
Cluster125     COVAR   16641       24.415     0.034209       6.7565   0.00015161
Cluster126     COVAR   16641    -0.082942  -0.00017826       4.1969      0.50788
Cluster127     COVAR   16641       3.5256    0.0070942       4.7382      0.22842
Cluster128     COVAR   16641       24.815     0.034823       6.8431   0.00014428
Cluster129     COVAR   16641       19.589     0.027804       6.7477    0.0018508
Cluster13      COVAR   16641      -2.9779    -0.024845       1.0957      0.99671
Cluster130     COVAR   16641        23.08     0.031113       6.9853   0.00047781
Cluster131     COVAR   16641       25.017     0.035164       6.6716   8.8895e-05
Cluster132     COVAR   16641       42.067     0.068076       5.7946   2.0471e-13
Cluster133     COVAR   16641       44.083     0.056542        7.378   1.1801e-09
Cluster134     COVAR   16641       18.366     0.028644       5.9879    0.0010825
Cluster135     COVAR   16641       7.6898     0.015398       4.6668     0.049713
Cluster136     COVAR   16641       15.777     0.029588       4.7537   0.00045315
Cluster137     COVAR   16641        13.61     0.022109        5.806    0.0095422
Cluster138     COVAR   16641       22.668     0.038312       5.6274   2.8257e-05
