symbol,specificity,ZSTAT,P
CST8,0.3238495326414988,-0.22547,0.58919
KRTAP22-2,0.1194551492556998,1.4066,0.079778
KRTAP13-2,0.0974660644073365,1.1478,0.12552
KRTAP6-1,0.077382279680359,1.3328,0.091291
KRTAP19-7,0.0743739295683756,1.339,0.09029
KRTAP6-2,0.0695684397142161,1.3582,0.0872
PDCL2,0.064773111508521,2.7287,0.0031789
NMU,0.0624526291363048,3.5318,0.00020637
KRTAP20-3,0.0614064078287899,1.3731,0.084857
OR8S1,0.0563570986134912,0.42639,0.33491
EDNRA,0.0530156827602425,0.35267,0.36217
CYP26A1,0.0529467443447208,3.3705,0.00037512
NUGGC,0.0467417346082823,2.8494,0.0021898
KRTAP19-4,0.0398110321516235,1.475,0.070102
CCL1,0.0385662985026092,0.79155,0.21431
KCNJ5,0.0354170650483738,1.9735,0.02422
MAFB,0.031683311024998,2.6918,0.0035535
PROK1,0.0314632990020011,2.7358,0.0031112
SCARA5,0.0311818877957913,0.041841,0.48331
ADRA2A,0.030069853774176,2.4264,0.0076237
PNOC,0.0281057322764787,5.1843,1.0843e-07
SST,0.0277851774177347,0.33344,0.3694
KRTAP7-1,0.0274014863375475,0.61677,0.26869
PPP3R2,0.0254655467572658,4.0859,2.1955e-05
PCDHGC4,0.0252584945280544,5.2569,7.3243e-08
