symbol,specificity,ZSTAT,P,score
RELN,0.0240762443685782,6.9245,2.1877e-12,0.16671595413021975
KLF1,0.0222419171963235,5.9098,1.7122e-09,0.1314452822468326
LOC100131107,0.1504317158750755,0.84909,0.19791,0.12773006563236786
PNOC,0.0183925338703942,5.1843,1.0843e-07,0.09535241334428465
PRLHR,0.025184282195314,3.7394,9.2225e-05,0.09417410484115717
ADRA1D,0.023153152288506,3.9094,4.6257e-05,0.09051493355668536
NPAS1,0.0135049743304902,6.4892,4.3157e-11,0.08763647942541701
LCE1D,0.0750009732657447,1.0724,0.14177,0.08043104373018461
FREM1,0.0139569534851047,5.4762,2.1726e-08,0.07643106867513037
CXCL14,0.047245894824395,1.5954,0.055311,0.07537610060283978
CBLC,0.0353199564300101,2.1198,0.017012,0.07487124364033541
TOX3,0.0127338201855131,5.8209,2.9272e-09,0.0741222939178532
NR2E1,0.0466803338959837,1.581,0.056937,0.07380160788955023
CPLX3,0.0133825795853014,5.5118,1.7763e-08,0.07376210215826426
SLC25A48,0.0264581656841192,2.7092,0.0033728,0.07168046247141574
LMAN1L,0.0146239319006895,4.7346,1.0975e-06,0.06923846797700452
HCRTR1,0.0116354947241416,5.9073,1.7392e-09,0.06873435798392168
FLRT1,0.0105489199289725,6.2514,2.0338e-10,0.06594551804397869
BMP2,0.0314811777275332,2.0052,0.02247,0.06312605757924956
POU3F3,0.0082813031319537,7.2579,1.9656e-13,0.06010487000140676
TRPM5,0.033797231478646,1.7649,0.038792,0.059648733836662325
SGCZ,0.0053438508229446,11.023,1.4793999999999998e-28,0.05890526762131833
KCNJ12,0.0070763933761527,7.8215,2.609e-15,0.05534801079157835
BMP6,0.0163357034093261,3.341,0.00041738,0.0545775850905585
TMEM52,0.008219334434283,6.3683,9.5565e-11,0.05234318747784443
