# TOTAL_GENES = 16231
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR      1   16231       15.576      0.02056        10.35     0.066183
Cluster132     COVAR      1   16231        38.81     0.061775       8.3035   1.4936e-06
Cluster123     COVAR      2   16231       18.457     0.024363       11.529     0.054714
Cluster133     COVAR      2   16231       33.799     0.043441        11.82    0.0021257
Cluster123     COVAR      3   16231        27.64     0.036483       9.8773    0.0025727
Cluster136     COVAR      3   16231       19.537     0.035194       6.7972    0.0020283
Cluster123     COVAR      4   16231        28.27     0.037315       10.005    0.0023626
Cluster137     COVAR      4   16231       20.855     0.033344       8.3186    0.0060934
Cluster123     COVAR      5   16231       27.109     0.035783       9.9421    0.0032032
Cluster139     COVAR      5   16231       24.883     0.037926       8.6107     0.001931
Cluster123     COVAR      6   16231        19.95     0.026334       10.489       0.0286
Cluster140     COVAR      6   16231       36.097     0.049703       10.059    0.0001669
Cluster123     COVAR      7   16231       23.617     0.031173       10.083    0.0095907
Cluster141     COVAR      7   16231       31.897     0.045938       9.2024   0.00026485
Cluster123     COVAR      8   16231       24.104     0.031817       11.914     0.021535
Cluster149     COVAR      8   16231       21.494     0.028963       11.314     0.028745
Cluster123     COVAR      9   16231       26.341     0.034769       9.9381    0.0040235
Cluster155     COVAR      9   16231       30.064     0.039905       9.7374    0.0010117
Cluster123     COVAR     10   16231       25.388     0.033511       9.9564    0.0053935
Cluster177     COVAR     10   16231       30.639      0.04294         9.32   0.00050697
Cluster123     COVAR     11   16231       29.485     0.038919       9.4909   0.00094836
Cluster178     COVAR     11   16231       26.151     0.041808       7.7036   0.00034472
Cluster123     COVAR     12   16231       33.161     0.043771       9.2938   0.00018052
Cluster206     COVAR     12   16231        16.84     0.033876       5.8097    0.0018776
Cluster123     COVAR     13   16231       31.313     0.041332       9.4463   0.00045979
Cluster217     COVAR     13   16231       29.996     0.035953       10.352    0.0018841
Cluster123     COVAR     14   16231       31.823     0.042006       9.3966   0.00035484
Cluster225     COVAR     14   16231       22.745     0.035587       7.8051    0.0017865
Cluster123     COVAR     15   16231       33.016      0.04358       9.2484   0.00017923
Cluster227     COVAR     15   16231        27.25      0.03982       8.0781   0.00037241
Cluster123     COVAR     16   16231       23.501     0.031021       9.4925    0.0066546
Cluster228     COVAR     16   16231       53.613     0.068054       9.6882   1.5988e-08
Cluster123     COVAR     17   16231       30.312     0.040011       9.3267   0.00057855
Cluster229     COVAR     17   16231       34.399     0.047797       8.5292   2.7693e-05
Cluster123     COVAR     18   16231       32.868     0.043384       9.2062   0.00017906
Cluster230     COVAR     18   16231       32.747     0.049172       8.1335   2.8511e-05
Cluster123     COVAR     19   16231        27.62     0.036458       9.3318    0.0015422
Cluster231     COVAR     19   16231       48.006      0.06401       9.1915   8.9524e-08
Cluster123     COVAR     20   16231        30.71     0.040536       9.3564   0.00051638
Cluster232     COVAR     20   16231       32.252     0.043884       8.8931   0.00014418
Cluster123     COVAR     21   16231       27.791     0.036683       9.3564    0.0014907
Cluster233     COVAR     21   16231       44.684     0.059394       9.0997   4.6013e-07
Cluster123     COVAR     22   16231       28.115      0.03711       9.3468    0.0013178
Cluster234     COVAR     22   16231       47.828     0.059333       9.8498   6.0712e-07
Cluster123     COVAR     23   16231       32.205     0.042509        9.226   0.00024177
Cluster239     COVAR     23   16231       37.836     0.050818        9.153   1.7965e-05
Cluster123     COVAR     24   16231       33.149     0.043756       9.2285   0.00016469
Cluster240     COVAR     24   16231       32.293     0.042744       9.1631   0.00021313
Cluster123     COVAR     25   16231       33.572     0.044313       9.1779   0.00012768
Cluster241     COVAR     25   16231       34.165     0.050271       8.3816    2.304e-05
Cluster123     COVAR     26   16231       30.637      0.04044       9.2093   0.00044061
Cluster242     COVAR     26   16231       50.891     0.065092        9.457   3.7649e-08
Cluster123     COVAR     27   16231       32.644     0.043089       9.2546   0.00021064
Cluster243     COVAR     27   16231       30.888     0.044125       8.7764   0.00021706
Cluster123     COVAR     28   16231       35.524     0.046891       9.1387   5.0966e-05
Cluster245     COVAR     28   16231       30.054     0.042817       8.6581   0.00025994
Cluster123     COVAR     29   16231       34.932     0.046109       9.1538   6.8112e-05
Cluster250     COVAR     29   16231       26.889     0.045576        7.538   0.00018117
Cluster123     COVAR     30   16231        31.09     0.041038       9.1617   0.00034616
Cluster251     COVAR     30   16231       49.715     0.077703       7.8654   1.3473e-10
Cluster123     COVAR     31   16231       32.763     0.043246       9.1748    0.0001785
Cluster252     COVAR     31   16231       40.502     0.059396         8.54    1.067e-06
Cluster123     COVAR     32   16231       33.321     0.043982       9.2545   0.00015943
Cluster259     COVAR     32   16231       29.457     0.038752       9.3883   0.00085368
Cluster123     COVAR     33   16231       33.765     0.044569        9.216   0.00012479
Cluster262     COVAR     33   16231       30.077     0.040022        9.118   0.00048722
Cluster123     COVAR     34   16231       33.487     0.044201       9.1732   0.00013142
Cluster273     COVAR     34   16231       39.224     0.052358       9.2376   1.0955e-05
Cluster123     COVAR     35   16231       34.688     0.045786       9.1821   7.9502e-05
