# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster122     COVAR      1   16361       4.3282    0.0058435       14.588      0.38335
Cluster123     COVAR      1   16361       23.629     0.031281        14.73     0.054351
Cluster122     COVAR      2   16361       10.776     0.014548       7.1931     0.067074
Cluster132     COVAR      2   16361       31.859     0.050669        5.985    5.177e-08
Cluster122     COVAR      3   16361       12.626     0.017047       7.7854     0.052435
Cluster133     COVAR      3   16361       25.396     0.032608       8.1429    0.0009096
Cluster122     COVAR      4   16361        17.87     0.024126       7.1378    0.0061541
Cluster136     COVAR      4   16361       14.567     0.026254        5.079    0.0020684
Cluster122     COVAR      5   16361        20.97     0.028312       6.7994    0.0010228
Cluster206     COVAR      5   16361       13.681     0.027548       4.2951   0.00072483
Cluster122     COVAR      6   16361       18.952     0.025588       6.9605    0.0032402
Cluster207     COVAR      6   16361       15.872     0.028248       5.0853    0.0009027
Cluster122     COVAR      7   16361       15.444     0.020851       6.9768     0.013436
Cluster217     COVAR      7   16361        36.45       0.0437       7.7004    1.114e-06
Cluster122     COVAR      8   16361       19.535     0.026374       6.7956    0.0020254
Cluster219     COVAR      8   16361       22.947     0.038639         5.32   8.0949e-06
Cluster122     COVAR      9   16361       21.078     0.028457        6.801   0.00097214
Cluster221     COVAR      9   16361       14.071     0.025967       4.5606    0.0010187
Cluster122     COVAR     10   16361       20.643     0.027871       6.8239    0.0012447
Cluster222     COVAR     10   16361       15.196     0.027644       4.8343   0.00083672
Cluster122     COVAR     11   16361       19.157     0.025864       6.8782    0.0026787
Cluster224     COVAR     11   16361       22.769      0.03222       6.3682   0.00017537
Cluster122     COVAR     12   16361       18.037     0.024352       6.9186    0.0045715
Cluster225     COVAR     12   16361       22.354     0.034975        5.772   5.4045e-05
Cluster122     COVAR     13   16361       18.473     0.024941       6.9549    0.0039565
Cluster226     COVAR     13   16361        22.17     0.030605       6.5308   0.00034453
Cluster122     COVAR     14   16361       17.004     0.022958       6.9856     0.007468
Cluster228     COVAR     14   16361       28.657     0.036388       7.3018    4.364e-05
Cluster122     COVAR     15   16361       18.556     0.025053       6.8363    0.0033246
Cluster229     COVAR     15   16361       28.688      0.03983       6.5296   5.6164e-06
Cluster122     COVAR     16   16361        21.35     0.028824       6.7852   0.00082785
Cluster230     COVAR     16   16361       17.648     0.026444        5.736    0.0010487
Cluster122     COVAR     17   16361       19.279     0.026028       6.8785    0.0025371
