# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster108     COVAR      1   16333       26.754     0.034276       13.597     0.024568
Cluster109     COVAR      1   16333       8.4913     0.011406       13.146      0.25917
Cluster108     COVAR      2   16333       27.222     0.034875       7.9652   0.00031682
Cluster120     COVAR      2   16333       17.436     0.024092       7.1876    0.0076424
Cluster108     COVAR      3   16333       22.108     0.028324       8.0514    0.0030218
Cluster122     COVAR      3   16333       29.807     0.040192       7.6457   4.8627e-05
Cluster108     COVAR      4   16333       18.862     0.024165         8.22     0.010884
Cluster123     COVAR      4   16333       34.659     0.045787       7.9511    6.582e-06
Cluster108     COVAR      5   16333       26.912     0.034479       8.3289   0.00061786
Cluster131     COVAR      5   16333       14.434     0.020109       7.5004     0.027166
Cluster108     COVAR      6   16333       18.525     0.023733       7.8344    0.0090331
Cluster132     COVAR      6   16333        39.11     0.062221       6.2123   1.5801e-10
Cluster108     COVAR      7   16333       19.218      0.02462       8.0762    0.0086744
Cluster133     COVAR      7   16333        38.02      0.04882        8.035   1.1245e-06
Cluster108     COVAR      8   16333       27.606     0.035368       7.8976   0.00023735
Cluster136     COVAR      8   16333        13.12     0.023655       5.3332    0.0069523
Cluster108     COVAR      9   16333       26.284     0.033674       7.9401   0.00046718
Cluster138     COVAR      9   16333       17.118     0.028974       6.0577    0.0023611
Cluster108     COVAR     10   16333       26.038     0.033359       8.4536    0.0010367
Cluster139     COVAR     10   16333        14.14     0.021532       7.0259     0.022088
Cluster108     COVAR     11   16333       18.035     0.023105       8.5713     0.017696
Cluster140     COVAR     11   16333       29.863     0.041204       7.9076    7.987e-05
Cluster108     COVAR     12   16333       20.854     0.026717       8.3005    0.0060021
Cluster141     COVAR     12   16333       26.499     0.038092       7.3567   0.00015844
Cluster108     COVAR     13   16333       27.457     0.035176       8.0245    0.0003122
Cluster146     COVAR     13   16333       16.713     0.022877       7.5392     0.013328
Cluster108     COVAR     14   16333       22.328     0.028605       9.0574    0.0068542
Cluster149     COVAR     14   16333       19.294     0.026041       8.4563     0.011264
Cluster108     COVAR     15   16333       28.514     0.036531       7.6182    9.135e-05
Cluster156     COVAR     15   16333       22.236     0.032095       6.4948    0.0003099
Cluster108     COVAR     16   16333       28.136     0.036046       7.7462   0.00014104
Cluster167     COVAR     16   16333       16.454     0.026765       5.9219    0.0027349
Cluster108     COVAR     17   16333       23.091     0.029583       7.8695    0.0016745
Cluster177     COVAR     17   16333       30.199     0.042279        7.037    8.938e-06
Cluster108     COVAR     18   16333       28.495     0.036506       7.7426   0.00011695
Cluster178     COVAR     18   16333       14.659     0.023557       5.5787    0.0043029
Cluster108     COVAR     19   16333       28.181     0.036104       7.8365   0.00016207
Cluster179     COVAR     19   16333       15.576     0.024382       6.4493    0.0078711
Cluster108     COVAR     20   16333       30.332      0.03886       7.5415   2.9009e-05
Cluster202     COVAR     20   16333       17.248     0.028607       5.5883     0.001015
Cluster108     COVAR     21   16333       30.387      0.03893       7.5321   2.7532e-05
Cluster206     COVAR     21   16333       15.067     0.030359       4.7176   0.00070358
Cluster108     COVAR     22   16333       25.474     0.032636       7.6347   0.00042528
