# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16361      -1.7001    -0.021502      0.68227      0.99364
Cluster1       COVAR   16361     -0.70408   -0.0092568      0.66405      0.85548
Cluster10      COVAR   16361       -3.671     -0.02428       1.2889       0.9978
Cluster100     COVAR   16361      -1.5209   -0.0031439       4.5444      0.63106
Cluster101     COVAR   16361      0.10168   0.00023697       3.5705      0.48864
Cluster102     COVAR   16361     -0.46176  -0.00079956       4.9028      0.53752
Cluster103     COVAR   16361      0.48032    0.0010312       4.0351      0.45262
Cluster104     COVAR   16361      -3.6939   -0.0080117       3.9805      0.82329
Cluster105     COVAR   16361       3.5269    0.0062748       4.8626      0.23414
Cluster106     COVAR   16361       4.4367    0.0070219       5.5058      0.21018
Cluster107     COVAR   16361       8.0287     0.016141       4.2028     0.028057
Cluster108     COVAR   16361       14.049     0.018139       6.8973     0.020842
Cluster109     COVAR   16361        13.17     0.017726       6.6055     0.023093
Cluster11      COVAR   16361      -3.2311    -0.021047       1.2926      0.99378
Cluster110     COVAR   16361       4.5817    0.0080165       4.6105      0.16018
Cluster111     COVAR   16361     -0.94802   -0.0017607       4.6354      0.58102
Cluster112     COVAR   16361       4.6894    0.0070524       5.8636      0.21194
Cluster113     COVAR   16361      -1.7879   -0.0044882       3.4958      0.69548
Cluster114     COVAR   16361       1.8791    0.0039532       4.1805      0.32654
Cluster115     COVAR   16361       3.5735    0.0079055       3.8904      0.17917
Cluster116     COVAR   16361       6.8321     0.012647        4.933     0.083041
Cluster117     COVAR   16361       4.6569      0.00944       4.4705      0.14878
Cluster118     COVAR   16361       7.9457     0.015693       4.3377     0.033501
Cluster119     COVAR   16361       1.1486    0.0027032       3.7338      0.37919
Cluster12      COVAR   16361      -3.4429    -0.029621      0.98393      0.99977
Cluster120     COVAR   16361       18.805     0.025983       6.5466    0.0020394
Cluster121     COVAR   16361       4.7514    0.0074701       5.6286       0.1993
Cluster122     COVAR   16361       25.137     0.033937       6.6746   8.3277e-05
