# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16365     -0.14301   -0.0018083      0.54445       0.6036
Cluster1       COVAR   16365     -0.15599   -0.0020495      0.54472       0.6127
Cluster10      COVAR   16365     -0.70161   -0.0046361       1.0637      0.74524
Cluster100     COVAR   16365       1.5607    0.0032259       3.5878      0.33179
Cluster101     COVAR   16365      0.77021    0.0018078       3.0199      0.39935
Cluster102     COVAR   16365       3.4887    0.0060312        4.166      0.20118
Cluster103     COVAR   16365      -1.0531   -0.0022559       3.3334      0.62397
Cluster104     COVAR   16365       3.2559    0.0070726       3.2271      0.15651
Cluster105     COVAR   16365       4.4874    0.0079851       4.0104      0.13159
Cluster106     COVAR   16365       6.1437    0.0097402       4.5854     0.090161
Cluster107     COVAR   16365       2.4646    0.0049552       3.3565       0.2314
Cluster108     COVAR   16365       19.782     0.025605       5.7435    0.0002871
Cluster109     COVAR   16365       14.818     0.019949        5.537    0.0037277
Cluster11      COVAR   16365     -0.13723  -0.00089292       1.0847      0.55034
Cluster110     COVAR   16365       7.4467      0.01303       4.2612      0.04028
Cluster111     COVAR   16365       2.3046    0.0042843       3.7175      0.26766
Cluster112     COVAR   16365       6.0606     0.009122       4.8724      0.10679
Cluster113     COVAR   16365      0.82377      0.00207       2.8758      0.38727
Cluster114     COVAR   16365      0.18036   0.00038672       3.4518      0.47916
Cluster115     COVAR   16365       2.5212    0.0055781       3.1657      0.21291
Cluster116     COVAR   16365       3.5093    0.0065043       3.9121      0.18486
Cluster117     COVAR   16365        1.801    0.0036522       3.4734      0.30205
Cluster118     COVAR   16365       6.2615     0.012348       3.4822     0.036089
Cluster119     COVAR   16365       3.8448     0.009092        3.031      0.10233
Cluster12      COVAR   16365      0.13154    0.0011309      0.84021       0.4378
Cluster120     COVAR   16365       8.0395     0.011131       5.3359     0.065958
Cluster121     COVAR   16365     -0.52693  -0.00083551       4.5868      0.54573
Cluster122     COVAR   16365       7.9116     0.010708       5.5371     0.076535
Cluster123     COVAR   16365       9.1762     0.012153        5.577     0.049958
Cluster124     COVAR   16365      0.65234    0.0010486       4.6023      0.44364
Cluster125     COVAR   16365       5.4108    0.0075221       5.3578      0.15628
Cluster126     COVAR   16365      -3.3824   -0.0074312       3.3919      0.84066
Cluster127     COVAR   16365      -4.4469   -0.0089494       3.6973      0.88545
