VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster133,133,ULIT_133,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 100.0%, Basal forebrain: 0.0%, Hypothalamus: 0.0%","Human V1C: 62.9%, Human V2: 17.6%, Human Pro: 14.7%","LINC02388, AC112770.1, AC092448.1, AC126182.3, VIPR2, TRPC3, AC020637.1, IGFBP2, SLC38A11, LINC02296",20086,16327,24.003,0.030832,6.2477,6.14E-05
Cluster132,132,Misc_132,Miscellaneous,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.4%, Hippocampus: 0.8%, Midbrain: 0.8%","Human A29-A30: 90.9%, Human Pro: 5.1%, Human M1C: 1.2%","CD53, DPP4, AC060765.1, LINC01721, AC112770.1, AL157769.1, VIPR2, PCSK1, AC016687.2, QRFPR",492,16327,17.756,0.028251,4.8899,0.00014161
Cluster286,286,CGE_286,CGE interneuron,NEUR,GABA,"Cerebral cortex: 70.6%, Hippocampus: 13.8%, Amygdala: 10.2%","Human MEC: 5.8%, Human M1C: 5.5%, Human MTG: 4.3%","NDNF, CXCL14, AC005064.1, RELN, NMBR, LINC00298, MYH11, AC092819.3, NR2E1, SLC25A48",15597,16327,19.473,0.027776,5.6649,0.00029453
Cluster141,141,DLIT_141,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 95.4%, Basal forebrain: 2.0%, Hippocampus: 1.4%","Human MTG: 7.9%, Human Ig: 6.0%, Human TF: 5.7%","AP003066.1, AC080079.2, BARX2, LINC01680, AL033539.2, AL353709.1, AL138927.1, AC073091.1, AC073091.2, TRABD2A",9992,16327,17.939,0.025789,5.3536,0.00040411
Cluster273,273,LLC_273,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Amygdala: 44.9%, Cerebral cortex: 33.4%, Hippocampus: 7.3%","Human BL: 11.5%, Human CEN: 9.9%, Human CMN: 9.0%","LINC01344, SFRP1, HAPLN1, CHRDL1, EYA4, ANO1, ADGRG6, TMEM255A, MYB, CHST9",3254,16327,20.052,0.026814,6.0725,0.000481
Cluster278,278,CGE_278,CGE interneuron,NEUR,GABA VGLUT3,"Cerebral cortex: 78.0%, Amygdala: 10.4%, Hippocampus: 8.1%","Human MEC: 5.9%, Human LEC: 4.8%, Human M1C: 4.7%","SP8, CXCL14, DDR2, AC006305.1, AC005064.1, RELN, ABCB5, GRPR, AC092819.3, NDNF",7177,16327,18.212,0.026464,5.5277,0.00049396
Cluster296,296,CGE_296,CGE interneuron,NEUR,GABA,"Cerebral cortex: 72.9%, Amygdala: 10.5%, Hippocampus: 9.0%","Human M1C: 8.1%, Human MEC: 6.2%, Human MTG: 4.7%","EREG, VIP, TAC3, IQGAP2, AREG, CXCL14, PTHLH, AC011990.1, SP8, NPR3",9524,16327,14.834,0.023675,4.8087,0.0010206
Cluster140,140,DLIT_140,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 99.2%, Hippocampus: 0.5%, Basal forebrain: 0.2%","Human M1C: 11.6%, Human V1C: 8.4%, Human MTG: 7.5%","AC016687.2, LINC01680, AP003066.1, AL138927.1, AC016687.3, AL033539.2, AC023503.1, AC060765.2, AC073091.1, AL353709.1",12455,16327,17.831,0.024609,5.7806,0.0010212
Cluster128,128,ULIT_128,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 99.9%, Hypothalamus: 0.0%, Basal forebrain: 0.0%","Human M1C: 73.1%, Human S1C: 17.9%, Human A32: 4.1%","AJ009632.2, MIR3976HG, LAMA2, TWIST1, VIPR2, AC087883.2, LINC02055, COL5A2, AL138694.1, SCTR",10650,16327,17.009,0.023835,5.5547,0.0011015
Cluster310,310,URL_310,Upper rhombic lip,NEUR,VGLUT1,"Cerebellum: 52.4%, Pons: 26.2%, Medulla: 15.1%","Human CBV: 34.8%, Human PnAN: 19.7%, Human CbDN: 13.1%","CBLN3, AC092957.1, CRTAM, AC021698.1, LINC01036, AC073225.1, LINC01798, SLC22A31, AC044798.3, AC020659.1",33405,16327,9.5458,0.02383,3.1498,0.0012229
Cluster323,323,Mmb_323,Mammillary body,NEUR,VGLUT2,"Hypothalamus: 99.7%, Thalamus: 0.2%, Midbrain: 0.2%","Human MN: 49.2%, Human HTHma-HTHtub: 39.6%, Human HTHma: 7.5%","AC244258.1, FOXB1, AL691420.1, PITX2, LHX1-DT, LHX1, DRD3, ADGRD1, STAC, AL139231.1",654,16327,12.105,0.023062,3.9988,0.0012367
Cluster293,293,CGE_293,CGE interneuron,NEUR,GABA,"Cerebral cortex: 70.3%, Hippocampus: 15.1%, Amygdala: 8.5%","Human MEC: 5.0%, Human MTG: 5.0%, Human M1C: 4.3%","VIP, PTHLH, TAC3, AC020930.1, IQGAP2, HS3ST3A1, AC013265.1, AL391832.4, LAMA3, SLC22A3",20104,16327,14.565,0.024438,4.8403,0.0013123
Cluster240,240,MGE_240,MGE interneuron,NEUR,GABA,"Cerebral cortex: 92.3%, Amygdala: 3.0%, Hippocampus: 2.3%","Human M1C: 10.5%, Human MTG: 7.6%, Human A40: 5.0%","AC011586.2, AC022905.1, MSR1, IL18R1, PRDM1, MYO5B, RGS5, CDKN2B-AS1, CMTM8, CDCA7",1327,16327,17.637,0.023399,5.9174,0.001441
Cluster329,329,Mmb_329,Mammillary body,NEUR,HDC VGLUT2,"Hypothalamus: 99.7%, Midbrain: 0.3%, Thalamus: 0.1%","Human HTHma-HTHtub: 33.4%, Human HTHtub: 25.8%, Human MN: 23.5%","SIM1, AL691420.1, FOXB1, PITX2, AC244258.1, LHX1-DT, ADGRL4, DAPL1, ANXA3, AC093912.1",1487,16327,15.443,0.023606,5.1914,0.0014691
Cluster295,295,CGE_295,CGE interneuron,NEUR,GABA,"Cerebral cortex: 67.0%, Amygdala: 17.8%, Hippocampus: 8.6%","Human M1C: 5.2%, Human MEC: 5.2%, Human BL: 4.2%","VIP, EREG, CRH, AC013265.1, TAC3, SLC6A2, AC062021.1, AL391832.4, SP8, PTHLH",4922,16327,12.714,0.02361,4.3013,0.0015618
Cluster404,404,Misc_404,Miscellaneous,NEUR,VGLUT1,"Cerebral cortex: 94.4%, Amygdala: 2.5%, Basal forebrain: 1.2%","Human A14: 60.0%, Human M1C: 11.2%, Human A43: 3.2%","AC016687.2, AC021134.1, LINC02378, LINC02263, LINC01915, CXCL14, AL033539.2, AC004862.1, AC073578.2, LINC02306",1276,16327,19.374,0.022499,6.5804,0.0016219
Cluster456,456,Thex_456,Thalamic excitatory,NEUR,VGLUT2,"Thalamus: 99.8%, Hippocampus: 0.2%, Cerebral cortex: 0.0%","Human LG: 92.5%, Human Pul: 3.7%, Human MG: 2.0%","ST8SIA6, AC012535.1, AC093334.1, ST8SIA6-AS1, AP000331.1, AC006487.1, SHOX2, ANXA3, AC087482.1, VANGL1",509,16327,15.584,0.023063,5.3219,0.0017067
Cluster283,283,CGE_283,CGE interneuron,NEUR,GABA,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%","Human MTG: 5.2%, Human A32: 4.5%, Human MEC: 4.1%","CXCL14, AC004862.1, BAGE2, PCDH18, AL139090.1, AL356585.4, AL391832.4, SGO1-AS1, AC073316.1, KMO",10636,16327,16.893,0.023066,5.8026,0.0018025
Cluster136,136,DLIT_136,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Amygdala: 54.6%, Cerebral cortex: 36.2%, Hypothalamus: 8.6%","Human CoA: 54.6%, Human AON: 28.3%, Human HTHso: 8.6%","AC099517.1, LINC02196, AC079380.1, LINC02465, AL138927.1, AC073578.2, AL450352.1, ARHGAP15, TNNT2, LINC02378",152,16327,12.42,0.022397,4.2683,0.0018106
Cluster288,288,CGE_288,CGE interneuron,NEUR,GABA,"Cerebral cortex: 70.6%, Amygdala: 13.7%, Hippocampus: 6.3%","Human M1C: 7.3%, Human MTG: 5.0%, Human MEC: 4.7%","HAPLN1, AC137770.1, LINC00298, AC132803.1, KIT, PKP2, EYA4, ROR2, NXPH2, GRPR",24831,16327,16.48,0.023234,5.7112,0.0019572
