# MEAN_SAMPLE_SIZE = 51090
# TOTAL_GENES = 16327
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16327      -1.0532    -0.013341      0.60647      0.95875
Cluster1       COVAR   16327       -1.345    -0.017701      0.58976       0.9887
Cluster10      COVAR   16327     -0.50898   -0.0033683       1.1605      0.66952
Cluster100     COVAR   16327      0.68437    0.0014159       4.1727      0.43486
Cluster101     COVAR   16327      -3.4332   -0.0080031       3.3077      0.85035
Cluster102     COVAR   16327       -4.471   -0.0077317       4.5132      0.83907
Cluster103     COVAR   16327     -0.81451   -0.0017461       3.5628      0.59041
Cluster104     COVAR   16327      -1.1327   -0.0024587       3.6017      0.62343
Cluster105     COVAR   16327      -1.4048   -0.0024995       4.4337      0.62432
Cluster106     COVAR   16327        3.138    0.0049693       5.0346      0.26655
Cluster107     COVAR   16327       9.2435     0.018599        4.043     0.011126
Cluster108     COVAR   16327       11.128     0.014371       6.0966     0.033996
Cluster109     COVAR   16327        10.61     0.014284       5.8614     0.035153
Cluster11      COVAR   16327     -0.37298   -0.0024305       1.1846      0.62356
Cluster110     COVAR   16327       4.4395    0.0077725       4.3407      0.15322
Cluster111     COVAR   16327      0.21335   0.00039654       4.1575      0.47954
Cluster112     COVAR   16327      -2.5198   -0.0037913       5.3103      0.68243
Cluster113     COVAR   16327       1.4722    0.0036996        3.081      0.31638
Cluster114     COVAR   16327    -0.022302  -4.6945e-05       3.7941      0.50234
Cluster115     COVAR   16327       0.8164    0.0018077       3.5891      0.41003
Cluster116     COVAR   16327       3.1195     0.005779        4.308       0.2345
Cluster117     COVAR   16327       2.5105    0.0050936       3.8004      0.25444
Cluster118     COVAR   16327       3.2255    0.0063641        3.736      0.19398
Cluster119     COVAR   16327       1.8561    0.0043721       3.5182       0.2989
Cluster12      COVAR   16327     -0.52221   -0.0044961      0.87643      0.72435
Cluster120     COVAR   16327       6.8164    0.0094232       5.7312      0.11716
Cluster121     COVAR   16327       5.0303    0.0079131       5.0022      0.15731
Cluster122     COVAR   16327       13.999      0.01891       5.9909    0.0097365
Cluster123     COVAR   16327       16.836     0.022257       6.0365    0.0026466
Cluster124     COVAR   16327       5.4807    0.0088116       4.9139      0.13236
Cluster125     COVAR   16327       8.6459     0.012001       5.6557     0.063182
Cluster126     COVAR   16327       -1.851   -0.0039763       3.7828      0.68768
Cluster127     COVAR   16327       1.4258    0.0028717       3.9011      0.35738
Cluster128     COVAR   16327       17.009     0.023835       5.5547    0.0011015
Cluster129     COVAR   16327       7.9765      0.01121       5.5817     0.076507
Cluster13      COVAR   16327      -2.1857    -0.018273       0.9162      0.99147
Cluster130     COVAR   16327       9.5484     0.012693       5.8976     0.052731
Cluster131     COVAR   16327       11.326     0.015784       5.6333     0.022196
Cluster132     COVAR   16327       17.756     0.028251       4.8899   0.00014161
Cluster133     COVAR   16327       24.003     0.030832       6.2477    6.135e-05
Cluster134     COVAR   16327       11.253     0.017519       4.9799     0.011927
Cluster135     COVAR   16327       2.3697    0.0047351       3.5731      0.25361
Cluster136     COVAR   16327        12.42     0.022397       4.2683    0.0018106
Cluster137     COVAR   16327       11.209     0.017905       4.8385     0.010267
Cluster138     COVAR   16327       8.8568     0.014995       4.6376     0.028092
