# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   16333     -0.76956   -0.0097447      0.74506      0.84916
Cluster1       COVAR   16333      -1.9788     -0.02605      0.72905      0.99667
Cluster10      COVAR   16333      -3.8832    -0.025681       1.3762      0.99761
Cluster100     COVAR   16333       1.3215    0.0027334       4.7948      0.39142
Cluster101     COVAR   16333       8.5853     0.020023       4.0745     0.017565
Cluster102     COVAR   16333       12.495     0.021642       5.3054    0.0092631
Cluster103     COVAR   16333       12.181     0.026169       4.2267    0.0019802
Cluster104     COVAR   16333       6.7461     0.014642       4.2709      0.05712
Cluster105     COVAR   16333        10.51      0.01871       5.3237     0.024186
Cluster106     COVAR   16333        19.27     0.030513       5.9683   0.00062335
Cluster107     COVAR   16333       9.7869     0.019687       4.7686     0.020077
Cluster108     COVAR   16333       34.104     0.043692       7.4443   2.3334e-06
Cluster109     COVAR   16333       30.136     0.040482       7.1981   1.4248e-05
Cluster11      COVAR   16333      -3.6163    -0.023556       1.4034      0.99501
Cluster110     COVAR   16333       14.408     0.025219       5.6655    0.0055005
Cluster111     COVAR   16333       3.8374    0.0071285       5.0741      0.22475
Cluster112     COVAR   16333       13.133     0.019755       6.3964     0.020036
Cluster113     COVAR   16333       1.8136    0.0045562       3.5515       0.3048
Cluster114     COVAR   16333       2.9845    0.0062825       4.4783      0.25257
Cluster115     COVAR   16333       5.9061     0.013073        4.122     0.075969
Cluster116     COVAR   16333       7.7507     0.014351       4.9857     0.060036
Cluster117     COVAR   16333       9.4126     0.016955       5.1381     0.033494
Cluster118     COVAR   16333       9.3608     0.018499        4.527     0.019341
Cluster119     COVAR   16333      0.75508    0.0017779       3.9395        0.424
Cluster12      COVAR   16333      -2.8611    -0.024633       1.0674      0.99632
Cluster120     COVAR   16333       26.185     0.036179        6.719   4.8922e-05
Cluster121     COVAR   16333        9.473     0.014892       5.7997     0.051207
Cluster122     COVAR   16333        37.83      0.05101       7.0671   4.3987e-08
Cluster123     COVAR   16333        42.42      0.05604        7.197   1.9302e-09
Cluster124     COVAR   16333       20.144     0.032378       5.8487   0.00028726
Cluster125     COVAR   16333       23.779     0.032993       6.8186   0.00024465
Cluster126     COVAR   16333      -1.1552    -0.002481       4.2494      0.60713
Cluster127     COVAR   16333       1.8669     0.003759       4.7401      0.34685
Cluster128     COVAR   16333       24.189     0.033892       6.8055   0.00019015
Cluster129     COVAR   16333       18.611     0.026152       6.7818     0.003037
Cluster13      COVAR   16333      -3.3681    -0.028174       1.1054      0.99884
Cluster130     COVAR   16333       24.021     0.031927       7.0435   0.00032542
Cluster131     COVAR   16333       25.307     0.035258       6.7056   8.0661e-05
Cluster132     COVAR   16333        43.75     0.069603       5.8953   6.1651e-14
Cluster133     COVAR   16333       45.468     0.058383       7.4016   4.1684e-10
Cluster134     COVAR   16333       19.742     0.030599       6.0037   0.00050539
Cluster135     COVAR   16333       7.3796     0.014742        4.709     0.058556
Cluster136     COVAR   16333       19.354     0.034896       5.0283   5.9559e-05
Cluster137     COVAR   16333       16.351     0.026109       5.9215     0.002882
Cluster138     COVAR   16333       24.107     0.040802       5.6801   1.1053e-05
Cluster139     COVAR   16333       24.399     0.037154       6.1883   4.0487e-05
Cluster14      COVAR   16333       -3.014    -0.022038       1.2464      0.99219
Cluster140     COVAR   16333       38.123       0.0526       6.8653   1.4318e-08
Cluster141     COVAR   16333        34.69     0.049866       6.5962   7.3535e-08
Cluster142     COVAR   16333       2.5307     0.005082       4.5444      0.28881
Cluster143     COVAR   16333       6.1088    0.0094727       6.0424      0.15602
Cluster144     COVAR   16333       19.005     0.027557       6.5515    0.0018642
Cluster145     COVAR   16333      0.10077   0.00016946       5.4022      0.49256
Cluster146     COVAR   16333       26.352     0.036071        6.996   8.3058e-05
Cluster147     COVAR   16333       20.011     0.025453       7.2668    0.0029492
Cluster148     COVAR   16333       25.005     0.033802       6.9897   0.00017411
Cluster149     COVAR   16333       31.173     0.042074       6.9505   3.6775e-06
Cluster15      COVAR   16333      -2.4318     -0.01867        1.206      0.97812
Cluster150     COVAR   16333       5.2437     0.010666       4.5829      0.12628
Cluster151     COVAR   16333        8.375     0.016104       4.7166     0.037907
Cluster152     COVAR   16333       3.0193    0.0071845       4.1529      0.23361
Cluster153     COVAR   16333       11.662     0.021136       4.9772    0.0095685
Cluster154     COVAR   16333       14.701     0.025484       5.4204    0.0033475
Cluster155     COVAR   16333       25.653     0.034118       7.1032   0.00015282
Cluster156     COVAR   16333       27.445     0.039615       6.3471   7.7149e-06
Cluster157     COVAR   16333       11.162     0.020804        4.954     0.012132
Cluster158     COVAR   16333       20.651     0.029438       6.3867   0.00061312
Cluster159     COVAR   16333        18.01     0.027255       6.0203    0.0013902
Cluster16      COVAR   16333       -3.319     -0.02094       1.4971      0.98668
Cluster160     COVAR   16333         1.86    0.0038913       4.2064      0.32919
Cluster161     COVAR   16333       6.3286     0.012928       4.3506     0.072898
Cluster162     COVAR   16333       18.281     0.029096       5.8236   0.00084924
Cluster163     COVAR   16333       10.354     0.019479       4.7248     0.014219
Cluster164     COVAR   16333       5.8353     0.011196       4.6055      0.10259
Cluster165     COVAR   16333       1.5393    0.0029399       4.8942      0.37657
Cluster166     COVAR   16333       3.4231    0.0064167       4.9169      0.24316
Cluster167     COVAR   16333       22.418     0.036468       5.6923   4.1244e-05
Cluster168     COVAR   16333        12.09     0.022718       4.8789    0.0066124
Cluster169     COVAR   16333       10.421      0.01615       6.0163     0.041642
Cluster17      COVAR   16333      -2.3135     -0.02103       1.0333      0.98742
Cluster170     COVAR   16333       10.439     0.015948       6.0701     0.042746
Cluster171     COVAR   16333        3.754    0.0079721       4.2138      0.18651
