# MEAN_SAMPLE_SIZE = 26713
# TOTAL_GENES = 15742
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster0       COVAR   15742     0.029249   0.00035945      0.77516      0.48495
Cluster1       COVAR   15742      0.15783    0.0020876      0.72836      0.41422
Cluster10      COVAR   15742      -1.4962   -0.0099467       1.3836      0.86021
Cluster100     COVAR   15742       1.7562    0.0036893       4.6571      0.35305
Cluster101     COVAR   15742      -2.1522    -0.005063         3.92       0.7085
Cluster102     COVAR   15742       1.6841    0.0029094       5.3251      0.37591
Cluster103     COVAR   15742       1.7403    0.0037296       4.2541      0.34124
Cluster104     COVAR   15742       1.5389    0.0033756       4.3226      0.36092
Cluster105     COVAR   15742      -4.9785   -0.0088862       5.2065      0.83051
Cluster106     COVAR   15742      0.34467   0.00053043       6.0827      0.47741
Cluster107     COVAR   15742     0.088087   0.00017944       4.4918      0.49218
Cluster108     COVAR   15742       4.7854    0.0061803       7.1736      0.25237
Cluster109     COVAR   15742       2.4483    0.0033147       6.8705      0.36079
Cluster11      COVAR   15742      -1.3141   -0.0085962       1.4139      0.82365
Cluster110     COVAR   15742       5.5955    0.0098973       5.1865      0.14034
Cluster111     COVAR   15742       6.2096     0.011649       4.8963      0.10237
Cluster112     COVAR   15742       4.8095    0.0073095       6.2927      0.22235
Cluster113     COVAR   15742      -4.2567    -0.010803        3.719       0.8738
Cluster114     COVAR   15742      -1.2759   -0.0026996       4.3698      0.61485
Cluster115     COVAR   15742       -1.211   -0.0026789        3.933      0.62092
Cluster116     COVAR   15742      -3.7987   -0.0069901        4.955      0.77835
Cluster117     COVAR   15742      -8.4806    -0.015297       4.9368      0.95707
Cluster118     COVAR   15742       4.6834    0.0093024       4.4401      0.14577
Cluster119     COVAR   15742       -1.013   -0.0023801       4.2342      0.59454
Cluster12      COVAR   15742      -1.1738   -0.0097959       1.0842      0.86052
Cluster120     COVAR   15742       9.5041     0.013166       6.8029     0.081209
Cluster121     COVAR   15742       2.9063    0.0045915        5.791      0.30789
Cluster122     COVAR   15742       22.041      0.02954       7.1232   0.00098888
Cluster123     COVAR   15742       21.815     0.028623       7.2136    0.0012493
Cluster124     COVAR   15742       9.4869     0.015296       5.9198     0.054527
Cluster125     COVAR   15742       10.586     0.014716       6.7643     0.058813
Cluster126     COVAR   15742      -1.5244   -0.0033206       4.1565      0.64309
Cluster127     COVAR   15742       2.7327    0.0055346       4.7125        0.281
Cluster128     COVAR   15742       11.459      0.01615       6.5649     0.040461
Cluster129     COVAR   15742       6.0844    0.0085628       6.7468      0.18358
Cluster13      COVAR   15742      -1.1113   -0.0092804       1.0859      0.84693
Cluster130     COVAR   15742       11.254     0.014862       7.1264     0.057162
Cluster131     COVAR   15742       10.662     0.014931       6.7036     0.055881
Cluster132     COVAR   15742       19.091     0.030174       5.9633    0.0006854
Cluster133     COVAR   15742       24.817     0.031633       7.4214   0.00041425
Cluster134     COVAR   15742       7.1507     0.011167       5.8619      0.11127
Cluster135     COVAR   15742       2.2561    0.0044985        4.438       0.3056
Cluster136     COVAR   15742       6.8746     0.012404       4.8571     0.078493
Cluster137     COVAR   15742       2.7064    0.0043662       5.7753      0.31968
Cluster138     COVAR   15742       6.0487     0.010242       5.5407       0.1375
