VARIABLE,cluster_id_numeric,neglog10P__scz_pgc3_2022,neglog10P__chronotype_loh2018_ukb,neglog10P__insomnia_ukb,neglog10P__t2d_xue2018,neglog10P__ibs_eijsbouts2021,neglog10P__bmi_yengo2018,neglog10P__menorrhagia_finngen,neglog10P__menst_excessive_finngen,neglog10P__menst_irregular_finngen,neglog10P__migraine_finngen,neglog10P__sleep_apnea_finngen,neglog10P__sleep_combined_finngen
Cluster0,0,0.07101047162853266,0.002770933844616602,0.01829462304296263,0.3143030363327627,0.21925076889644776,0.022761246469113827,0.15331658023968744,1.1639925408744685,0.04171331281203159,0.29008586113517865,0.08114172671826748,0.13718311986977663
Cluster1,1,0.0014486139077556897,0.06779013923938544,0.004935465843858455,0.3827689356696497,0.21275211966804605,0.03628298731045457,0.3552759139170178,0.14438999724852938,0.42899032769069495,0.12069763589067929,0.4021841934704896,0.4234974032665998
Cluster2,2,0.0012787063976087598,0.014147075837193771,0.0018278780605592872,0.4478308400886338,0.26730876993149233,0.08754942755497035,0.4014721184103204,0.16427138978090428,0.2893411626984709,0.23907264122539462,1.1018399881603937,1.0686794572388183
Cluster3,3,0.001867131193506565,0.0014965485596100483,0.0156887625254534,0.5135836908541076,0.43079000602453094,0.005493682224311519,0.19830137177256646,0.24650886501089794,0.012418636326239232,0.12334346641504089,0.13775528938812148,0.27910508738412804
Cluster4,4,0.006991661085070235,0.0017188601916977508,0.14380297778656956,0.05585798777659583,0.3608822198578917,0.0007867852679058821,0.6662706768434014,0.6497519816658371,0.046259632144142256,0.1827123503942611,0.06958079512423547,0.11598673017349607
Cluster5,5,0.001439899084905462,0.0001824419979013753,0.08861864070932592,0.015297204136875379,0.10004824451738303,4.777502068369477e-05,0.08779389092617748,0.4643388473405568,0.07613969994640364,0.19331138514371835,0.21797910494747244,0.2502482293862974
Cluster6,6,0.0012743506687253898,0.00035626756483331506,0.3114022249188302,0.025520546649867512,0.40439356513439695,0.00013030789173217684,0.24376718941760295,0.4129179265625024,0.17264365256953032,0.0911773278169178,0.29039935470252315,0.27417000967941973
Cluster7,7,0.0007606811336248436,0.0015314134479925254,0.29458106880547474,0.06703944900410383,0.12261713453547445,0.00014768523175945073,0.2152044621432381,0.33574360841355116,0.08157645858717046,0.3750375955780249,0.21784281969194358,0.1990562132122682
Cluster8,8,0.002299149975919389,0.002124545188498056,0.18142443552728213,0.10535169620648291,0.2677590743838145,0.000751980104195272,0.1868328223081883,0.35988642807064075,0.2481975939586334,0.43360965223418824,0.11175309173099979,0.15070345916527353
Cluster9,9,0.0016142287772193484,0.0006649793963704007,0.24749059921115701,0.06488085041435171,0.14741022669040726,0.0008128909713222355,0.15280381028079137,0.3732799193351657,0.250449187878724,0.44081181099522454,0.22313181178653435,0.16176186872979256
