trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster132,132,Misc_132,Miscellaneous,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.4%, Hippocampus: 0.8%, Midbrain: 0.8%","Human A29-A30: 90.9%, Human Pro: 5.1%, Human M1C: 1.2%","CD53, DPP4, AC060765.1, LINC01721, AC112770.1, AL157769.1, VIPR2, PCSK1, AC016687.2, QRFPR",16361,35.222,0.056017,5.5483,1.1231e-10,9.949581572754864,True,1,True,1.0,132,492.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster426,426,EMSN_426,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 81.9%, Cerebral cortex: 10.0%, Thalamus: 3.2%","Human CEN: 36.3%, Human CMN: 31.4%, Human BM: 8.7%","LINC01497, NPFFR2, DGKK, PAX6, SCN5A, EYA2, AL161629.1, LINC01305, NPNT, AL592156.1",16361,44.838,0.049503,7.8732,6.2935e-09,8.201107763467059,True,2,True,2.0,426,1600.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster217,217,MSN_217,Medium spiny neuron,NEUR,GABA,"Amygdala: 69.5%, Basal forebrain: 15.7%, Hypothalamus: 7.4%","Human CEN: 36.4%, Human BNST: 21.2%, Human SI: 12.3%","DCDC2C, PENK, AC015631.1, SIX3, P2RY1, LINC02462, LINC01305, CALCR, CACNG5, LINC01833",16361,41.453,0.049698,7.3623,9.1598e-09,8.03811400884794,True,3,False,,217,7260.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster427,427,MSN_427,Medium spiny neuron,NEUR,GABA,"Amygdala: 56.6%, Hypothalamus: 19.3%, Thalamus: 14.0%","Human BNST: 46.5%, Human ANC: 13.2%, Human HTHpo: 9.9%","AC022433.1, ISL1, AC010478.1, SCML4, GPR101, GABRG1, AC096759.1, TMEM215, AC025244.1, SCN5A",16361,33.733,0.044191,6.5306,1.2164e-07,6.9149235885279055,True,4,False,,427,3436.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster229,229,EMSN_229,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 56.1%, Basal forebrain: 28.8%, Cerebral cortex: 11.2%","Human CEN: 21.7%, Human CMN: 17.8%, Human Cla: 12.9%","NPFFR2, AC087516.2, CACNG5, EYA2, PDYN, ISM2, ZNF736P9Y, LINC00354, FOXP2, GPR88",16361,32.572,0.045222,6.3724,1.6209e-07,6.790243777741142,True,5,False,,229,1857.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster234,234,EMSN_234,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 75.9%, Cerebral cortex: 14.6%, Thalamus: 5.4%","Human BM: 29.1%, Human CEN: 16.6%, Human CMN: 14.3%","NPFFR2, ZNF736P9Y, GABRQ, LMNTD1, EYA2, AC012078.2, AC087516.2, PCDH11Y, LINC00354, NMBR",16361,35.381,0.043844,7.094,3.0962e-07,6.509170993696192,True,6,False,,234,3211.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster219,219,MSN_219,Medium spiny neuron,NEUR,GABA,"Amygdala: 33.2%, Basal forebrain: 32.8%, Hypothalamus: 18.6%","Human SI: 31.0%, Human BNST: 23.2%, Human HTHpo: 13.6%","ISL1, NPNT, AC010478.1, LINC02462, PROK2, AC015631.1, DRD3, AC022433.1, NMBR, LINC01951",16361,25.87,0.04356,5.2233,3.7019e-07,6.431575317088995,True,7,False,,219,8342.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster228,228,EMSN_228,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 83.7%, Cerebral cortex: 12.2%, Thalamus: 1.9%","Human La: 25.3%, Human BM: 17.5%, Human CEN: 16.1%","NPFFR2, AC087516.2, AC083837.1, AC008127.1, AL365255.1, AC097459.1, AC092590.1, EYA2, DBX2, SCN5A",16361,33.929,0.043082,6.9744,5.7907e-07,6.237268934068431,True,8,False,,228,3227.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster403,403,Splat_403,Splatter,NEUR,GABA,"Cerebral cortex: 45.6%, Amygdala: 33.5%, Hypothalamus: 9.8%","Human AON: 25.7%, Human CoA: 18.1%, Human Pir: 14.1%","FRMD7, TRDN, AC007422.1, KANK3, CACNG5, SP8, ROR2, LINC01812, LINC01411, SCGN",16361,23.047,0.041836,4.7965,7.8219e-07,6.106687740637251,True,9,True,3.0,403,2608.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster225,225,EMSN_225,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 47.2%, Basal forebrain: 33.3%, Cerebral cortex: 10.2%","Human SI: 15.2%, Human BNST: 14.1%, Human La: 12.0%","AC008786.1, ZNF736P9Y, LMNTD1, CASZ1, OTOF, S100Z, AC068633.1, DNAH8, CALCRL, MUC19",16361,26.341,0.041214,5.5668,1.1237e-06,5.949349619136086,True,10,False,,225,2296.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster405,405,Amex_405,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 41.9%, Hypothalamus: 27.8%, Amygdala: 27.3%","Human AON: 31.1%, Human HTHso: 26.6%, Human CoA: 12.2%","ROR2, TACR3, AC022523.1, AC020704.1, WDR86, AC025470.2, AL136119.1, NFIA-AS2, RXFP2, AC087516.2",16361,33.314,0.041134,7.2006,1.8757e-06,5.726836621587655,True,11,False,,405,6125.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster133,133,ULIT_133,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 100.0%, Basal forebrain: 0.0%, Hypothalamus: 0.0%","Human V1C: 62.9%, Human V2: 17.6%, Human Pro: 14.7%","LINC02388, AC112770.1, AC092448.1, AC126182.3, VIPR2, TRPC3, AC020637.1, IGFBP2, SLC38A11, LINC02296",16361,32.201,0.041344,6.9793,1.9953e-06,5.699991797446187,True,12,False,,133,20086.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster378,378,Splat_378,Splatter,NEUR,HDC VGLUT2,"Amygdala: 29.4%, Basal forebrain: 25.2%, Hypothalamus: 22.3%","Human BNST: 27.8%, Human ANC: 18.1%, Human SEP: 16.8%","ONECUT3, C14orf39, ONECUT1, MIR217HG, ISL1, VWA5B1, AC022433.1, AC092957.1, COL15A1, AC010478.1",16361,22.904,0.038483,4.9905,2.2409e-06,5.64957752339229,True,13,True,4.0,378,493.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster283,283,CGE_283,CGE interneuron,NEUR,GABA,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%","Human MTG: 5.2%, Human A32: 4.5%, Human MEC: 4.1%","CXCL14, AC004862.1, BAGE2, PCDH18, AL139090.1, AL356585.4, AL391832.4, SGO1-AS1, AC073316.1, KMO",16361,30.471,0.04158,6.6773,2.5386e-06,5.595405724285062,True,14,True,5.0,283,10636.0
