trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
t2d_xue2018,T2D,metabolic / body-mediated,Cluster33,33,OPC_33,Oligodendrocyte precursor,OPC,,"Pons: 23.8%, Midbrain: 22.9%, Thalamus: 19.2%","Human PnRF: 8.4%, Human CBV: 7.8%, Human SN-RN: 7.8%","BX284613.2, MROH9, FMO6P, PDGFRA, VCAN, FERMT1, AL512308.1, OLIG2, AC004852.2, COL9A1",15742,13.313,0.034307,3.7642,0.00020326,3.691948078757338,False,1,,,33,48139.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster133,133,ULIT_133,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 100.0%, Basal forebrain: 0.0%, Hypothalamus: 0.0%","Human V1C: 62.9%, Human V2: 17.6%, Human Pro: 14.7%","LINC02388, AC112770.1, AC092448.1, AC126182.3, VIPR2, TRPC3, AC020637.1, IGFBP2, SLC38A11, LINC02296",15742,24.817,0.031633,7.4214,0.00041425,3.3827374829086256,False,2,,,133,20086.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster206,206,MSN_206,Medium spiny neuron,NEUR,,"Hippocampus: 97.1%, Thalamus: 2.3%, Cerebral cortex: 0.6%","Human CA4C-DGC: 96.5%, Human Pul: 1.7%, Human LG: 0.6%","LINC02137, AC015631.1, GLI3, PLEK, AP003121.1, LINC02462, RGS9, MME, PTPN7, AL445584.2",15742,14.599,0.029478,4.5319,0.00063968,3.194037227561977,False,3,,,206,172.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster132,132,Misc_132,Miscellaneous,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.4%, Hippocampus: 0.8%, Midbrain: 0.8%","Human A29-A30: 90.9%, Human Pro: 5.1%, Human M1C: 1.2%","CD53, DPP4, AC060765.1, LINC01721, AC112770.1, AL157769.1, VIPR2, PCSK1, AC016687.2, QRFPR",15742,19.091,0.030174,5.9633,0.0006854,3.164055899906152,False,4,,,132,492.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster297,297,URL_297,Upper rhombic lip,,VGLUT1,"Midbrain: 97.1%, Thalamus: 2.9%, Cerebral cortex: 0.0%","Human SC: 73.5%, Human SN: 20.6%, Human PAG: 2.9%","TPH1, RBP3, AC004852.2, GABRR3, AQP3, NEUROG1, ETV3L, AC063980.1, CACNA2D4, ASB15-AS1",15742,3.0973,0.02793,0.9981,0.00095947,3.017968599915631,False,5,,,297,34.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster122,122,ULIT_122,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 93.9%, Basal forebrain: 2.6%, Hippocampus: 1.7%","Human MTG: 13.0%, Human Ig: 10.2%, Human TF: 8.4%","LINC01500, CASP4LP, LINC01484, AC097512.1, PDGFD, ART3, MUC19, AC093607.1, AC021613.1, AL353604.1",15742,22.041,0.02954,7.1232,0.00098888,3.004856406582581,False,6,,,122,29434.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster217,217,MSN_217,Medium spiny neuron,NEUR,GABA,"Amygdala: 69.5%, Basal forebrain: 15.7%, Hypothalamus: 7.4%","Human CEN: 36.4%, Human BNST: 21.2%, Human SI: 12.3%","DCDC2C, PENK, AC015631.1, SIX3, P2RY1, LINC02462, LINC01305, CALCR, CACNG5, LINC01833",15742,24.295,0.02936,7.9121,0.0010707,2.970332197324677,False,7,,,217,7260.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster123,123,ULIT_123,Upper-layer intratelencephalic,NEUR,VGLUT1,"Cerebral cortex: 99.2%, Hippocampus: 0.4%, Basal forebrain: 0.3%","Human A5-A7: 8.0%, Human V2: 7.9%, Human A40: 6.9%","LINC02263, AP001994.2, LINC02306, LINC00507, LINC00508, AC021613.1, ART3, AC110614.1, LINC01484, COL5A1",15742,21.815,0.028623,7.2136,0.0012493,2.903333260024618,False,8,,,123,55595.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster32,32,OPC_32,Oligodendrocyte precursor,OPC,,"Hypothalamus: 54.7%, Thalamus: 16.6%, Amygdala: 8.5%","Human MN: 54.6%, Human CM-Pf: 12.1%, Human CEN: 8.3%","MROH9, VCAN-AS1, FMO6P, FMO3, BX284613.2, AL512308.1, LHFPL3-AS1, Z94057.1, AC004852.2, LINC00402",15742,9.3833,0.027582,3.1725,0.0015527,2.80891244699545,False,9,,,32,929.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster228,228,EMSN_228,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 83.7%, Cerebral cortex: 12.2%, Thalamus: 1.9%","Human La: 25.3%, Human BM: 17.5%, Human CEN: 16.1%","NPFFR2, AC087516.2, AC083837.1, AC008127.1, AL365255.1, AC097459.1, AC092590.1, EYA2, DBX2, SCN5A",15742,21.236,0.027127,7.3121,0.0018441,2.7342155321594803,False,10,,,228,3227.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster399,399,Splat_399,Splatter,NEUR,VGLUT2,"Medulla: 99.3%, Pons: 0.5%, Cerebral cortex: 0.1%","Human MoAN: 42.7%, Human MoRF-MoEN: 36.3%, Human MoSR: 20.3%","PHOX2B-AS1, PHOX2B, TFAP2B, C5orf58, NPFF, LINC00682, HOXB3, LMX1B, DBH, RP1",15742,7.8559,0.025752,2.7845,0.0023956,2.620585695587829,False,11,,,399,1007.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster34,34,OPC_34,Oligodendrocyte precursor,OPC,,"Hippocampus: 33.6%, Cerebral cortex: 30.9%, Amygdala: 16.5%","Human CA1: 11.7%, Human CEN: 8.5%, Human A35r: 6.4%","AC004852.2, AL512308.1, PDGFRA, BX284613.2, GPR17, VCAN, CSPG4, AC117464.1, OLIG2, FERMT1",15742,10.847,0.026794,3.8931,0.0026698,2.5735212712757565,False,12,,,34,31058.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster251,251,MGE_251,MGE interneuron,NEUR,GABA,"Cerebral cortex: 94.0%, Hippocampus: 2.5%, Basal forebrain: 2.4%","Human MTG: 6.6%, Human A29-A30: 5.6%, Human M1C: 4.6%","EDNRA, NMU, MAFB, CYP26A1, PNOC, PDCL2, KCNJ5, SST, TRBC2, ADGRG6",15742,15.578,0.024664,5.8992,0.0041419,2.382800390708731,False,13,,,251,16688.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster220,220,MSN_220,Medium spiny neuron,NEUR,GABA,"Amygdala: 91.6%, Thalamus: 8.4%, Cerebral cortex: 0.0%","Human CEN: 87.5%, Human VA: 6.4%, Human La: 2.6%","FAM9B, ISL1, AC010478.1, PTGDR, NPNT, EBF1, DRD1, MYO3A, LPL, GDNF-AS1",15742,15.809,0.024287,6.0952,0.0047539,2.3229499580527193,False,14,,,220,391.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster344,344,Splat_344,Splatter,CHRP NEUR,VGLUT2,"Medulla: 61.0%, Spinal cord: 21.9%, Pons: 14.9%","Human MoAN: 29.1%, Human SpC: 21.9%, Human MoRF-MoEN: 17.3%","LMX1B, EBF3, EBF1, PHOX2B-AS1, HOXB3, AC009411.2, EBF2, AC018742.1, PHOX2B, TLX3",15742,11.946,0.024862,4.7045,0.0055603,2.254901775894611,False,15,,,344,3736.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster290,290,CGE_290,CGE interneuron,NEUR,GABA,"Cerebral cortex: 83.0%, Hippocampus: 8.5%, Amygdala: 5.2%","Human MTG: 7.1%, Human M1C: 5.4%, Human A40: 3.9%","SHISA8, VIP, SCTR, FLT1, SLC22A3, KMO, PTHLH, GGT4P, CXCL12, LINC02488",15742,14.609,0.022673,5.9649,0.0071677,2.1446201801136637,False,16,,,290,20794.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster36,36,OPC_36,Oligodendrocyte precursor,OPC,,"Cerebral cortex: 33.7%, Thalamus: 12.5%, Midbrain: 11.5%","Human A35r: 20.8%, Human SpC: 8.0%, Human SN: 5.4%","AC004852.2, BX284613.2, PDGFRA, AL512308.1, VCAN, OLIG2, OLIG1, GPR17, CSPG4, FERMT1",15742,8.8208,0.02262,3.6261,0.0075023,2.1248055733845006,False,17,,,36,1643.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster229,229,EMSN_229,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 56.1%, Basal forebrain: 28.8%, Cerebral cortex: 11.2%","Human CEN: 21.7%, Human CMN: 17.8%, Human Cla: 12.9%","NPFFR2, AC087516.2, CACNG5, EYA2, PDYN, ISM2, ZNF736P9Y, LINC00354, FOXP2, GPR88",15742,14.881,0.020838,6.48,0.010832,1.965291348658931,False,18,,,229,1857.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster408,408,Amex_408,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 82.2%, Amygdala: 13.3%, Hypothalamus: 4.4%","Human AON: 77.8%, Human CoA: 8.9%, Human Pir: 4.4%","EOMES, RXFP2, CDHR1, CARTPT, LINC01866, LINC01965, SHISA3, LGR6, AKAIN1, LINC01621",15742,6.8926,0.020376,3.0151,0.011135,1.953309778629943,False,19,,,408,45.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster212,212,MSN_212,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 90.4%, Cerebral cortex: 3.6%, Amygdala: 3.6%","Human CaB: 25.4%, Human Pu: 22.3%, Human NAC: 18.4%","PENK, AL139379.1, GPR6, DRD2, AL450332.1, ADORA2A, AC107208.1, GPR88, AC092979.1, LINC02137",15742,11.251,0.020723,5.0207,0.012523,1.90229161941837,False,20,,,212,6867.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster225,225,EMSN_225,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 47.2%, Basal forebrain: 33.3%, Cerebral cortex: 10.2%","Human SI: 15.2%, Human BNST: 14.1%, Human La: 12.0%","AC008786.1, ZNF736P9Y, LMNTD1, CASZ1, OTOF, S100Z, AC068633.1, DNAH8, CALCRL, MUC19",15742,13.42,0.021164,6.0029,0.012697,1.8962988804104857,False,21,,,225,2296.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster346,346,Splat_346,Splatter,NEUR,VGLUT2,"Medulla: 60.2%, Spinal cord: 39.4%, Pons: 0.3%","Human SpC: 39.4%, Human MoAN: 34.3%, Human MoSR: 22.4%","LMX1B, HOXB3, HOXD3, AL161908.1, POU4F1, EBF3, HOXB7, HSPD1P8, NHLH1, TAC3",15742,7.8058,0.023009,3.5167,0.013231,1.8784073305615931,False,22,,,346,635.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster202,202,DG_202,Hippocampal dentate gyrus,NEUR,VGLUT1,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human DGR-CA4Rpy: 87.7%, Human CA1R-CA2R-CA3R: 12.3%","TTR, FOLR1, LINC01697, AC097528.1, AC097487.1, AL672167.1, NTF3, AL591518.1, TARID, AJ006995.1",15742,12.073,0.02013,5.482,0.013829,1.8592092233746977,False,23,,,202,398.0
t2d_xue2018,T2D,metabolic / body-mediated,Cluster223,223,EMSN_223,Eccentric medium spiny neuron,NEUR,GABA,"Basal forebrain: 74.1%, Amygdala: 12.2%, Thalamus: 9.6%","Human CaB: 31.8%, Human SEP: 12.3%, Human NAC: 10.9%","FRMD7, LINC01735, FBXL21P, CASZ1, AL445584.2, SCN5A, LECT2, CALCRL, AC022133.2, C6orf141",15742,11.017,0.019635,5.0029,0.013838,1.858926673732525,False,24,,,223,2239.0
