trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster108,108,DLCT6b_108,Deep-layer corticothalamic and 6b,NEUR,VGLUT1,"Cerebral cortex: 89.4%, Hippocampus: 6.0%, Basal forebrain: 2.1%","Human M1C: 19.4%, Human A29-A30: 16.6%, Human A44-A45: 5.6%","LINC02699, AC105021.1, LINC02726, SH2D1B, IL4R, SEMA3E, LINC02718, AC046195.1, VWA2, TMC3",16365,19.782,0.025605,5.7435,0.0002871,3.5419668075034942,False,1,,,108,9206.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster242,242,MGE_242,MGE interneuron,NEUR,,"Cerebral cortex: 90.8%, Hippocampus: 4.6%, Basal forebrain: 1.8%","Human M1C: 6.8%, Human MTG: 6.4%, Human A32: 5.4%","AC022905.1, AC113347.4, MCUB, ELFN1, DCN, FBN2, SLC27A6, TNFSF15, SST, LINC02397",16365,19.402,0.02489,5.7833,0.00039828,3.399811501543771,False,2,,,242,15796.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster426,426,EMSN_426,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 81.9%, Cerebral cortex: 10.0%, Thalamus: 3.2%","Human CEN: 36.3%, Human CMN: 31.4%, Human BM: 8.7%","LINC01497, NPFFR2, DGKK, PAX6, SCN5A, EYA2, AL161629.1, LINC01305, NPNT, AL592156.1",16365,21.421,0.023769,6.3982,0.00040821,3.389116360492992,False,3,,,426,1600.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster234,234,EMSN_234,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 75.9%, Cerebral cortex: 14.6%, Thalamus: 5.4%","Human BM: 29.1%, Human CEN: 16.6%, Human CMN: 14.3%","NPFFR2, ZNF736P9Y, GABRQ, LMNTD1, EYA2, AC012078.2, AC087516.2, PCDH11Y, LINC00354, NMBR",16365,19.729,0.024576,5.9601,0.00046731,3.330394925377674,False,4,,,234,3211.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster228,228,EMSN_228,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 83.7%, Cerebral cortex: 12.2%, Thalamus: 1.9%","Human La: 25.3%, Human BM: 17.5%, Human CEN: 16.1%","NPFFR2, AC087516.2, AC083837.1, AC008127.1, AL365255.1, AC097459.1, AC092590.1, EYA2, DBX2, SCN5A",16365,18.47,0.023472,5.7971,0.00072287,3.1409397986377448,False,5,,,228,3227.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster457,457,Thex_457,Thalamic excitatory,NEUR,VGLUT2,"Thalamus: 98.3%, Amygdala: 1.4%, Cerebral cortex: 0.3%","Human ANC: 93.9%, Human ETH: 1.7%, Human BNST: 1.4%","LINC01036, SPTLC3, AC105213.1, SHOX2, LINC00922, NTS, TGFBI, AC082650.2, AC068989.1, LHX9",16365,10.521,0.021684,3.4069,0.0010087,2.9962379791717537,False,6,,,457,296.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster245,245,MGE_245,MGE interneuron,NEUR,GABA,"Amygdala: 50.6%, Cerebral cortex: 31.0%, Hippocampus: 15.3%","Human CMN: 23.8%, Human BL: 9.2%, Human BM: 7.6%","NPY, LINC02397, ELFN1, SST, MCUB, AC022905.1, STK32B, TNFSF15, AC105411.1, AC113347.4",16365,14.484,0.020812,5.0294,0.0019922,2.7006670642374777,False,7,,,245,1566.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster155,155,Amex_155,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 99.6%, Cerebral cortex: 0.2%, Hippocampus: 0.2%","Human La: 77.0%, Human BL: 17.2%, Human CEN: 5.2%","AC005909.2, LINC02770, AL445207.1, LINC01903, AC099517.1, AC022655.1, DCSTAMP, AC068112.1, LINC01821, AC115100.1",16365,15.581,0.020837,5.4119,0.0019979,2.6994262531145656,False,8,,,155,11716.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster86,86,DLNP_86,Deep-layer near-projecting,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 97.0%, Basal forebrain: 1.8%, Hippocampus: 1.1%","Human M1C: 30.8%, Human S1C: 8.6%, Human Ig: 6.4%","IFNG-AS1, NPSR1-AS1, IL26, ROBO3, AC087863.2, LINC02444, SLC9C1, LINC02218, NPSR1, LINC01479",16365,12.396,0.020595,4.3407,0.0021492,2.6677231681033438,False,9,,,86,1508.0
ibs_eijsbouts2021,IBS,gastrointestinal / body-mediated,Cluster263,263,MGE_263,MGE interneuron,NEUR,GABA,"Cerebral cortex: 98.5%, Basal forebrain: 0.6%, Hippocampus: 0.4%","Human M1C: 18.6%, Human A29-A30: 10.6%, Human V1C: 9.3%","LRRC38, OSTN, SULF1, TCIM, PVALB, ADAMTS17, RNF144B, AC118942.1, PRDM1, AL096865.1",16365,14.811,0.021218,5.2135,0.0022531,2.6472195324286747,False,10,,,263,6587.0
