trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster425,425,Splat_425,Splatter,NEUR,GABA,"Thalamus: 35.4%, Hypothalamus: 29.5%, Amygdala: 29.1%","Human ANC: 34.9%, Human BNST: 23.4%, Human HTHpo-HTHso: 16.4%","SLC7A3, SHISAL2B, ARHGAP36, GABRQ, DGKK, NPY, CYP19A1, ECEL1, CALCR, CITED1",16076,17.249,0.021321,6.0817,0.0022855,2.6410187743746505,False,1,,,425,4253.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster439,439,Midi_439,Midbrain-derived inhibitory,NEUR,GABA,"Midbrain: 52.8%, Thalamus: 31.3%, Pons: 10.7%","Human SC: 11.2%, Human PAG: 10.3%, Human PTR: 9.4%","DMBX1, OTX2-AS1, OTX2, LINC01210, GATA3, AC008163.1, AL161757.4, LINC02055, SOX14, PRSS12",16076,9.7411,0.0178,4.1117,0.0089219,2.049542648802492,False,2,,,439,21004.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster424,424,Splat_424,Splatter,NEUR,GABA,"Amygdala: 34.9%, Hypothalamus: 32.8%, Thalamus: 29.6%","Human ANC: 29.4%, Human BNST: 16.9%, Human HTHpo-HTHso: 15.5%","CYP19A1, CALCR, ARHGAP36, DGKK, GABRE, SCN5A, GABRQ, TMEM255A, LHX6, RADX",16076,15.192,0.01768,6.4897,0.0096252,2.016590237612297,False,3,,,424,2384.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster234,234,EMSN_234,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 75.9%, Cerebral cortex: 14.6%, Thalamus: 5.4%","Human BM: 29.1%, Human CEN: 16.6%, Human CMN: 14.3%","NPFFR2, ZNF736P9Y, GABRQ, LMNTD1, EYA2, AC012078.2, AC087516.2, PCDH11Y, LINC00354, NMBR",16076,14.291,0.017817,6.207,0.010665,1.9720391402145525,False,4,,,234,3211.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster29,29,Fbl_29,Fibroblast,,,"Medulla: 41.3%, Spinal cord: 39.7%, Thalamus: 4.8%","Human SpC: 39.7%, Human IO: 25.4%, Human MoRF-MoEN: 7.9%","IGFBP6, VIM, BNC2, FLVCR2, IGF2, COL1A2, CFH, EBF2, CD177, KLF2",16076,1.9416,0.014402,0.95743,0.021295,1.6717223555902323,False,5,,,29,63.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster437,437,Midi_437,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 85.5%, Midbrain: 13.8%, Pons: 0.5%","Human Pul: 19.7%, Human ETH: 12.5%, Human MD: 11.9%","AC245123.1, OTX2-AS1, LINC01210, OTX2, AC245187.2, AC246817.2, DMBX1, AL133493.1, GATA3, CASR",16076,8.4152,0.014521,4.2898,0.024909,1.6036437073570868,False,6,,,437,6147.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster440,440,Midi_440,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 87.1%, Midbrain: 10.2%, Pons: 1.9%","Human ETH: 15.2%, Human Pul: 11.7%, Human MD: 10.5%","AC008163.1, OTX2-AS1, DMBX1, AL161757.4, OTX2, AL137100.3, LINC01210, CASR, GATA3, SOX14",16076,9.5294,0.014862,4.8934,0.025753,1.5891721721546161,False,7,,,440,7366.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster53,53,Astro_53,Astrocyte,ASTRO,,"Hippocampus: 96.3%, Cerebral cortex: 1.5%, Basal forebrain: 1.3%","Human CA4C-DGC: 23.9%, Human DGR-CA4Rpy: 18.3%, Human CA1: 18.1%","LINC00499, GLI3, OAF, ETNPPL, PRDM16-DT, CD38, AC097518.2, FGFR3, OBI1-AS1, AL137139.2",16076,4.0933,0.014361,2.1283,0.027233,1.564904513941712,False,8,,,53,4803.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster58,58,Astro_58,Astrocyte,ASTRO,,"Cerebral cortex: 57.1%, Hippocampus: 37.8%, Amygdala: 3.0%","Human CA4C-DGC: 9.8%, Human TH-TL: 5.9%, Human DGR-CA4Rpy: 5.6%","ID3, AQP4, GFAP, FGFR3, MLC1, F3, AGT, MT1G, AL137139.2, EMX2",16076,4.0138,0.014489,2.1146,0.028849,1.5398692363040503,False,9,,,58,8021.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster423,423,Splat_423,Splatter,NEUR,GABA,"Amygdala: 50.6%, Thalamus: 19.8%, Hypothalamus: 15.4%","Human ANC: 19.2%, Human CEN: 17.4%, Human CMN: 13.8%","CYP19A1, SCN5A, DGKK, GABRQ, ARHGAP36, DIRAS3, NTS, FBXL21P, AL035425.2, VWA5B1",16076,12.989,0.01447,6.8684,0.029313,1.532939731995802,False,10,,,423,3114.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster56,56,Astro_56,Astrocyte,ASTRO,,"Hypothalamus: 30.0%, Thalamus: 21.5%, Amygdala: 14.3%","Human HTHso: 21.4%, Human VLN: 10.7%, Human HTHtub: 7.1%","TNC, GFAP, OBI1-AS1, FGFR3, GJA1, AC012405.1, EFEMP1, AQP4, SLC14A1, ETNPPL",16076,5.2315,0.013926,2.8064,0.031161,1.5063886136595095,False,11,,,56,1672.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster442,442,Midi_442,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 99.1%, Midbrain: 0.8%, Pons: 0.1%","Human Pul: 22.3%, Human MD: 18.2%, Human LP: 13.8%","AL137100.3, CASR, AL161757.4, OTX2-AS1, OTX2, DMBX1, TSPAN12, LINC01210, NPSR1, VASH2",16076,7.9631,0.013527,4.5559,0.040254,1.395190957740487,False,12,,,442,7951.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster438,438,Midi_438,Midbrain-derived inhibitory,NEUR,GABA,"Midbrain: 44.9%, Thalamus: 38.0%, Hypothalamus: 8.8%","Human SN-RN: 11.6%, Human CM-Pf: 8.9%, Human PAG: 7.1%","AC008163.1, AL161757.4, LINC01210, OTX2, OTX2-AS1, DMBX1, CASR, AL137100.3, SOX14, GATA3",16076,7.7938,0.013143,4.5368,0.04292,1.3673402867060864,False,13,,,438,11928.0
menst_excessive_finngen,Excessive menstruation,reproductive / body-mediated,Cluster348,348,Splat_348,Splatter,NEUR,GLY,"Medulla: 65.6%, Spinal cord: 26.9%, Pons: 6.0%","Human MoAN: 39.0%, Human SpC: 26.9%, Human MoSR: 19.3%","HOXB3, PAX2, GBX1, HOXD3, GPC3, PAX8, NPPC, HOXB7, SLC6A5, SALL3",16076,5.2163,0.014303,3.0907,0.04574,1.3397038397292702,False,14,,,348,1861.0
