trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
migraine_finngen,Migraine,neurological / brain-direct,Cluster294,294,CGE_294,CGE interneuron,NEUR,GABA,"Cerebral cortex: 64.4%, Hippocampus: 14.7%, Amygdala: 10.8%","Human MEC: 5.3%, Human M1C: 5.2%, Human Cla: 4.7%","VIP, ABI3BP, PTHLH, IQGAP2, TAC3, CRH, DLX1, AC104129.1, NPR3, LAMA3",16076,17.654,0.025165,5.3386,0.00047282,3.325304161344374,False,1,,,294,14134.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster152,152,DLIT_152,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2 VGLUT3,"Basal forebrain: 76.2%, Amygdala: 19.9%, Cerebral cortex: 3.8%","Human Cla: 70.7%, Human CEN: 17.6%, Human Pu: 5.6%","AC012593.2, ANXA1, SMIM32, LINC01876, AC074099.1, LINC02505, AC112481.2, PLA2G4A, SMYD1, AL136119.1",16076,8.8731,0.021304,3.0831,0.0020042,2.6980589422047956,False,2,,,152,6048.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster295,295,CGE_295,CGE interneuron,NEUR,GABA,"Cerebral cortex: 67.0%, Amygdala: 17.8%, Hippocampus: 8.6%","Human M1C: 5.2%, Human MEC: 5.2%, Human BL: 4.2%","VIP, EREG, CRH, AC013265.1, TAC3, SLC6A2, AC062021.1, AL391832.4, SP8, PTHLH",16076,11.572,0.02123,4.0751,0.0022614,2.6456226121667514,False,3,,,295,4922.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster316,316,LRL_316,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,"Pons: 76.6%, Medulla: 22.0%, Midbrain: 0.6%","Human PnEN: 53.4%, Human MoAN: 10.7%, Human DTg: 8.7%","ADAMTS20, NTRK1, AL139351.3, INSRR, BARHL1, AC022239.1, AL359208.1, CDH23, IRX2, HOXD3",16076,7.4087,0.020024,2.7528,0.0035632,2.448159800310037,False,4,,,316,1939.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster101,101,DLCT6b_101,Deep-layer corticothalamic and 6b,NEUR,VGLUT1,"Cerebral cortex: 65.6%, Hippocampus: 29.5%, Amygdala: 4.8%","Human MEC: 48.6%, Human Sub: 17.6%, Human LEC: 16.3%","AC092131.1, CCN2, AL596257.1, AC064875.1, KRT17, AC005482.1, SNHG31, AP003100.2, OLFML2B, AC022133.2",16076,8.3525,0.019668,3.2765,0.0054038,2.2673007330222736,False,5,,,101,2972.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster217,217,MSN_217,Medium spiny neuron,NEUR,GABA,"Amygdala: 69.5%, Basal forebrain: 15.7%, Hypothalamus: 7.4%","Human CEN: 36.4%, Human BNST: 21.2%, Human SI: 12.3%","DCDC2C, PENK, AC015631.1, SIX3, P2RY1, LINC02462, LINC01305, CALCR, CACNG5, LINC01833",16076,16.137,0.01942,6.3336,0.0054249,2.2656082629814542,False,6,,,217,7260.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster293,293,CGE_293,CGE interneuron,NEUR,GABA,"Cerebral cortex: 70.3%, Hippocampus: 15.1%, Amygdala: 8.5%","Human MEC: 5.0%, Human MTG: 5.0%, Human M1C: 4.3%","VIP, PTHLH, TAC3, AC020930.1, IQGAP2, HS3ST3A1, AC013265.1, AL391832.4, LAMA3, SLC22A3",16076,9.2761,0.018227,3.6745,0.0057998,2.2365869823670597,False,7,,,293,20104.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster105,105,DLCT6b_105,Deep-layer corticothalamic and 6b,NEUR,VGLUT1,"Cerebral cortex: 80.5%, Basal forebrain: 8.4%, Hippocampus: 7.2%","Human ACC: 11.0%, Human FI: 10.2%, Human A25: 9.1%","AL138927.1, KRT17, CCN2, AC023503.1, MDFIC, AC104689.2, SNHG31, OLFML2B, AL358335.2, LINC01680",16076,10.387,0.01856,4.1857,0.0065452,2.1840770782852186,False,8,,,105,4269.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster141,141,DLIT_141,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 95.4%, Basal forebrain: 2.0%, Hippocampus: 1.4%","Human MTG: 7.9%, Human Ig: 6.0%, Human TF: 5.7%","AP003066.1, AC080079.2, BARX2, LINC01680, AL033539.2, AL353709.1, AL138927.1, AC073091.1, AC073091.2, TRABD2A",16076,12.643,0.018214,5.2775,0.0083033,2.080749270641019,False,9,,,141,9992.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster207,207,MSN_207,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 92.9%, Thalamus: 4.1%, Amygdala: 1.9%","Human Pu: 54.1%, Human CaB: 28.2%, Human GPe: 5.8%","GPR6, AL139379.1, DRD2, AC073325.1, ADORA2A, LINC02137, PENK, GPR88, AL450332.1, LPL",16076,10.018,0.017895,4.202,0.0085669,2.06717630251688,False,10,,,207,20569.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster173,173,Amex_173,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Hippocampus: 55.8%, Amygdala: 36.5%, Cerebral cortex: 7.7%","Human Sub: 55.8%, Human BM: 30.5%, Human CMN: 4.7%","AC116345.1, AC016766.1, MCOLN2, AC018742.1, S100Z, WDR63, LINC00578, LINC02296, ALKAL2, LINC02015",16076,7.9116,0.016524,3.4382,0.0107,1.9706162223147903,False,11,,,173,233.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster146,146,DLIT_146,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Amygdala: 65.4%, Cerebral cortex: 33.1%, Hypothalamus: 0.8%","Human Pir: 22.2%, Human CEN: 19.8%, Human BL: 17.2%","CCN4, STPG2-AS1, AC105450.1, LINC00683, ATP10A, SNTG2, UCMA, TMEM244, FGF10, LINC02008",16076,12.536,0.017221,5.4743,0.01102,1.9578184054842338,False,12,,,146,5654.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster106,106,DLCT6b_106,Deep-layer corticothalamic and 6b,NEUR,VGLUT1,"Cerebral cortex: 99.0%, Hippocampus: 0.6%, Basal forebrain: 0.4%","Human M1C: 20.6%, Human MTG: 8.8%, Human A23: 6.8%","AC023503.1, MDFIC, AC022133.2, AL138927.1, AC104689.2, DPP4, NPFFR2, KRT17, OLFML2B, CCN2",16076,10.78,0.017142,4.7196,0.011193,1.9510534962395085,False,13,,,106,9905.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster220,220,MSN_220,Medium spiny neuron,NEUR,GABA,"Amygdala: 91.6%, Thalamus: 8.4%, Cerebral cortex: 0.0%","Human CEN: 87.5%, Human VA: 6.4%, Human La: 2.6%","FAM9B, ISL1, AC010478.1, PTGDR, NPNT, EBF1, DRD1, MYO3A, LPL, GDNF-AS1",16076,10.885,0.016702,4.8721,0.012746,1.894626085856153,False,14,,,220,391.0
migraine_finngen,Migraine,neurological / brain-direct,Cluster144,144,DLIT_144,Deep-layer intratelencephalic,NEUR,VGLUT1,"Cerebral cortex: 96.2%, Basal forebrain: 1.4%, Amygdala: 1.2%","Human MTG: 13.0%, Human M1C: 10.4%, Human A43: 5.0%","AC021134.1, AL033539.2, TRABD2A, AC079052.1, AL138927.1, LINC01680, AL158835.1, AC073091.1, AL445207.1, Z68323.1",16076,11.293,0.016512,5.2332,0.015476,1.8103412789507927,False,15,,,144,27079.0
