GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
2099,ESR1,6,151976631,152434409,2408,188,293218,8.7553,1.018e-18
120534,ARL14EP,11,30309649,30369165,212,32,293218,7.2547,2.0123e-13
29113,C6orf15,6,31069000,31115332,614,27,293218,7.2085,2.8294e-13
170679,PSORS1C1,6,31047608,31117869,955,34,293218,7.1108,5.7699e-13
8729,GBF1,10,103970255,104152656,676,70,293218,7.0659,7.9791e-13
79365,BHLHE41,12,26262959,26313003,253,42,293218,6.9463,1.875e-12
1041,CDSN,6,31072865,31123252,696,32,293218,6.8509,3.6694e-12
6941,TCF19,6,31091303,31144183,802,47,293218,6.6899,1.1165e-11
57621,ZBTB2,6,151675250,151747677,373,45,293218,6.6026,2.0202e-11
54535,CCHCR1,6,31100216,31161015,875,51,293218,6.4542,5.4383e-11
4791,NFKB2,10,104118867,104172286,184,29,293218,6.1094,5e-10
2488,FSHB,11,30217563,30266824,171,20,293218,6.1094,5e-10
84083,ZRANB3,2,135944539,136323806,1272,111,293218,6.1018,5.2425e-10
55005,RMND1,6,151715897,151808316,430,68,293218,6.0796,6.0256e-10
5156,PDGFRA,4,55060264,55174412,609,86,293218,5.8585,2.336e-09
94233,OPN4,10,88379314,88436217,234,38,293218,5.8168,3e-09
170680,PSORS1C2,6,31095311,31142127,733,44,293218,5.7775,3.7908e-09
3119,HLA-DQB1,6,32617241,32669466,1725,33,293218,5.6941,6.2001e-09
7015,TERT,5,1243282,1330178,356,94,293218,5.6159,9.7759e-09
221491,C6orf1,6,34204157,34251904,284,39,293218,5.6114,1.0034e-08
51466,EVL,14,100450719,100620573,591,75,293218,5.5785,1.213e-08
744,MPPED2,11,30396040,30643260,969,88,293218,5.5557,1.3828e-08
5460,POU5F1,6,31122114,31173451,634,43,293218,5.5377,1.5326e-08
29763,PACSIN3,11,47189073,47243010,174,35,293218,5.5195,1.7e-08
10293,TRAIP,3,49856028,49928992,169,34,293218,5.5094,1.8e-08
4781,NFIB,9,14071842,14433982,1694,238,293218,5.4,3.3325e-08
3159,HMGA1,6,34169577,34224008,369,54,293218,5.3381,4.6956e-08
79624,ARMT1,6,151738422,151801236,283,61,293218,5.3327,4.837e-08
1876,E2F6,2,11574501,11641303,290,64,293218,5.3092,5.5063e-08
4277,MICB,6,31427054,31488901,885,64,293218,5.2224,8.8309e-08
60676,PAPPA2,1,176397307,176824737,1408,90,293218,5.2133,9.2771e-08
60526,LDAH,2,20873788,21057890,847,99,293218,5.2074,9.5737e-08
22930,RAB3GAP1,2,135774835,135938280,494,34,293218,5.1761,1.1327e-07
1643,DDB2,11,47201493,47270769,240,35,293218,5.1592,1.2403e-07
