GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
7916,PRRC2A,6,31553450,31615554,279,45,142488,6.5667,2.5727e-11
259197,NCR3,6,31546660,31595762,214,49,142488,5.7394,4.7504e-09
199,AIF1,6,31547969,31594798,203,47,142488,5.682,6.6578e-09
55937,APOM,6,31585187,31635987,192,31,142488,5.6696,7.1548e-09
158293,FAM120AOS,9,96198776,96250874,174,22,142488,5.5985,1.0813e-08
5253,PHF2,9,96303909,96451869,624,34,142488,5.5436,1.4814e-08
23348,DOCK9,13,99435741,99773660,1276,37,142488,5.4312,2.7989e-08
4684,NCAM1,11,112796969,113159158,1147,64,142488,5.4205,2.972e-08
253559,CADM2,3,84973133,86133579,3582,68,142488,5.3746,3.8375e-08
4050,LTB,6,31538335,31585202,205,51,142488,5.3446,4.5301e-08
23196,FAM120A,9,96179173,96338397,486,27,142488,5.3439,4.5489e-08
1460,CSNK2B,6,31597995,31647844,173,30,142488,5.0183,2.6072e-07
3106,HLA-B,6,31311649,31359989,1832,52,142488,4.9354,3.999e-07
58496,LY6G5B,6,31603728,31650227,153,29,142488,4.9333,4.0436e-07
7917,BAG6,6,31596805,31655953,191,32,142488,4.8662,5.689e-07
340481,ZDHHC21,9,14601069,14728480,593,47,142488,4.7365,1.087e-06
27445,PCLO,7,82373321,82827197,1430,63,142488,4.6591,1.5877e-06
401251,SAPCD1,6,31695773,31742627,118,25,142488,4.4304,4.7021e-06
64805,P2RY12,3,151044631,151137600,328,29,142488,4.4123,5.1144e-06
4116,MAGOH,1,53682564,53739282,102,12,142488,4.402,5.3618e-06
80737,VWA7,6,31723178,31780108,140,32,142488,4.39,5.6668e-06
1192,CLIC1,6,31688358,31740095,123,27,142488,4.3694,6.2305e-06
4610,MYCL,1,40351096,40402687,159,30,142488,4.3598,6.5088e-06
10919,EHMT2,6,31837536,31900464,214,40,142488,4.3403,7.1136e-06
4277,MICB,6,31427054,31488901,797,40,142488,4.2875,9.0342e-06
23264,ZC3H7B,22,41662507,41766151,204,23,142488,4.2784,9.41e-06
2743,GLRB,4,157962277,158103251,574,29,142488,4.2736,9.619e-06
23564,DDAH2,6,31684817,31733039,112,24,142488,4.2239,1.2008e-05
717,C2,6,31830562,31923449,303,37,142488,4.2238,1.2009e-05
153396,TMEM161B,5,87475450,87599665,217,27,142488,4.1947,1.3659e-05
80736,SLC44A4,6,31820969,31881823,202,38,142488,4.1943,1.3687e-05
29951,PDZRN4,12,41547250,41978392,1708,54,142488,4.1861,1.4192e-05
25836,NIPBL,5,36841861,37075926,347,30,142488,4.1324,1.7949e-05
401250,MCCD1,6,31461739,31508008,461,30,142488,4.1186,1.9056e-05
720,C4A,6,31914834,31980457,180,39,142488,4.1044,2.0268e-05
1797,DXO,6,31927588,31975032,106,27,142488,4.0937,2.1223e-05
3117,HLA-DQA1,6,32570169,32622152,3643,28,142488,4.0904,2.1533e-05
56950,SMYD2,1,214419565,214520477,311,29,142488,4.069,2.3613e-05
1630,DCC,18,49831542,51072273,5134,120,142488,4.0602,2.4515e-05
64326,RFWD2,1,175903967,176211386,833,29,142488,4.0517,2.542e-05
8499,PPFIA2,12,81642045,82188109,1484,72,142488,4.0406,2.6662e-05
54987,C1orf123,1,53669771,53721289,98,15,142488,4.0332,2.7514e-05
7407,VARS,6,31735295,31798712,158,38,142488,4.019,2.9217e-05
7936,NELFE,6,31909864,31961864,132,28,142488,3.9839,3.3891e-05
360205,PRAC2,17,46765542,46812119,133,24,142488,3.9726,3.5553e-05
4439,MSH5,6,31672725,31740455,166,32,142488,3.956,3.8112e-05
7008,TEF,22,41728337,41805332,185,16,142488,3.9514,3.8844e-05
7781,SLC30A3,2,27467440,27536093,135,17,142488,3.9408,4.0597e-05
57159,TRIM54,2,27470297,27540307,126,16,142488,3.9335,4.1865e-05
3107,HLA-C,6,31226526,31274913,1882,41,142488,3.93,4.2466e-05
7349,UCN,2,27520265,27566130,54,15,142488,3.9283,4.2766e-05
4758,NEU1,6,31816829,31865709,183,35,142488,3.9269,4.302e-05
5905,RANGAP1,22,41630781,41717255,189,19,142488,3.9207,4.4149e-05
50,ACO2,22,41830099,41934993,178,18,142488,3.9206,4.4171e-05
116931,MED12L,3,150768452,151164465,1178,59,142488,3.9142,4.535e-05
100996598,LOC100996598,22,41730086,41776400,93,12,142488,3.9093,4.629e-05
