GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
54901,CDKAL1,6,20499688,21242635,1818,65,575051,10.146,1.7181e-24
63892,THADA,2,43447975,43858185,799,17,578087,8.5431,6.5335e-18
101928448,C5orf67,5,55799692,55865983,149,24,575891,7.6895,7.383e-15
1030,CDKN2B,9,21992902,22044312,87,7,583089,7.5233,2.6701e-14
7466,WFS1,4,6236577,6314992,165,7,573226,7.4995,3.203e-14
5468,PPARG,3,12294349,12485855,329,20,575106,7.3977,6.9272e-14
3117,HLA-DQA1,6,32570169,32622152,11,4,569122,7.3182,1.2568e-13
1029,CDKN2A,9,21957751,22029490,87,10,582219,7.2913,1.5343e-13
157848,NKX6-3,8,41493829,41543011,101,12,571671,7.2761,1.7181e-13
54622,ARL15,5,53170578,53641403,1096,65,571940,7.2338,2.3477e-13
11267,SNF8,17,46997458,47057484,133,7,572720,7.1571,4.12e-13
65264,UBE2Z,17,46950731,47016422,130,6,573847,7.1202,5.3885e-13
6928,HNF1B,17,36036434,36140096,61,13,566820,7.0804,7.1854e-13
10644,IGF2BP2,3,185351527,185577827,189,17,578370,7.0645,8.0624e-13
4277,MICB,6,31427054,31488901,136,12,573282,7.0625,8.179e-13
2695,GIP,17,47025918,47080955,83,8,570056,7.0442,9.3264e-13
7940,LST1,6,31518956,31566686,67,13,576581,7.0015,1.2665e-12
3832,KIF11,10,94317825,94425152,245,21,573911,6.9757,1.5221e-12
4795,NFKBIL1,6,31479628,31536606,53,12,578494,6.9659,1.6321e-12
23499,MACF1,1,39514839,39962810,629,25,573999,6.9107,2.4118e-12
111,ADCY5,3,122991143,123202924,251,16,574662,6.9058,2.4956e-12
3416,IDE,10,94201441,94368852,269,17,575739,6.8807,2.9783e-12
7919,DDX39B,6,31487996,31545252,68,13,577823,6.8712,3.1831e-12
401250,MCCD1,6,31461739,31508008,129,12,573319,6.8421,3.9033e-12
7124,TNF,6,31508344,31556113,75,15,577673,6.8326,4.1702e-12
4049,LTA,6,31504876,31552101,71,14,577612,6.8255,4.3817e-12
534,ATP6V1G2,6,31502228,31549625,72,14,577558,6.82,4.5529e-12
3123,HLA-DRB1,6,32536546,32592613,9,3,570054,6.7937,5.4655e-12
57542,KLHL42,12,27898187,27965973,121,7,572380,6.7936,5.4673e-12
136259,KLF14,7,130407382,130453860,97,12,573835,6.7809,5.9716e-12
221895,JAZF1,7,27860192,28255437,724,59,576785,6.7498,7.4001e-12
7325,UBE2E2,3,23209498,23642296,1235,23,572901,6.6992,1.0477e-11
286,ANK1,8,41500744,41789280,482,45,570608,6.6627,1.3442e-11
79068,FTO,16,53702875,54158379,929,68,576442,6.631,1.6669e-11
516,ATP5G1,17,46935148,46983233,89,8,572830,6.6073,1.9572e-11
6927,HNF1A,12,121380861,121450315,185,17,574189,6.6047,1.9912e-11
643314,KIAA0754,1,39840176,39892154,67,9,573930,6.5716,2.4888e-11
7079,TIMP4,3,12184568,12235851,92,11,575599,6.5304,3.2803e-11
100129940,LOC100129940,12,66243782,66310821,57,7,575844,6.5011,3.988e-11
100287284,MANSC4,12,27905599,27959209,90,6,571847,6.4817,4.5338e-11
4050,LTB,6,31538335,31585202,40,10,575275,6.465,5.064e-11
8761,PABPC4,1,40016485,40077522,117,12,574236,6.4536,5.4611e-11
5629,PROX1,1,214126278,214224853,156,17,575938,6.446,5.7406e-11
2696,GIPR,19,46136490,46195717,34,2,573972,6.4209,6.7753e-11
22837,COBLL1,2,165526695,165733678,513,23,573701,6.3817,8.7566e-11
64897,C12orf43,12,121430835,121489300,141,16,575190,6.3584,1.0194e-10
9564,BCAR1,16,75252928,75336951,175,18,570351,6.337,1.1716e-10
50854,C6orf48,6,31767693,31817541,7,3,580666,6.3244,1.2714e-10
3305,HSPA1L,6,31767396,31825093,7,3,580666,6.3244,1.2714e-10
64838,FNDC4,2,27704750,27753126,57,4,575925,6.3211,1.2983e-10
10642,IGF2BP1,17,47039774,47143507,119,12,572063,6.2742,1.7573e-10
54814,QPCTL,19,46160741,46217248,15,3,566428,6.2735,1.7651e-10
116985,ARAP1,11,72386114,72498465,221,17,574240,6.2602,1.922e-10
3767,KCNJ11,11,17396795,17445878,141,19,571712,6.1866,3.0733e-10
7148,TNXB,6,31998932,32112151,67,11,578501,6.1741,3.3261e-10
130271,PLEKHH2,2,43829439,44005126,529,31,573236,6.1505,3.8614e-10
11164,NUDT5,10,12199573,12273143,116,15,577544,6.1484,3.9146e-10
6854,SYN2,3,12147150,12243532,194,15,574840,6.1391,4.1483e-10
4154,MBNL1,3,151927120,152193569,279,16,571965,6.1134,4.8776e-10
440387,CTRB2,16,75227994,75276072,157,15,569752,6.1094,5e-10
678,ZFP36L2,2,43439541,43488745,46,5,577795,6.1094,5e-10
3087,HHEX,10,94414681,94465408,62,9,571002,6.1094,5e-10
6934,TCF7L2,10,114674978,114937437,242,29,573241,6.1094,5e-10
8091,HMGA2,12,66183240,66370071,221,18,574707,6.1094,5e-10
4544,MTNR1B,11,92667789,92725948,108,9,577160,6.1094,5e-10
1504,CTRB1,16,75217884,75268822,164,15,568331,6.1094,5e-10
3119,HLA-DQB1,6,32617241,32669466,2,1,581764,6.1094,5e-10
8638,OASL,12,121448095,121512045,125,19,573977,6.0958,5.443e-10
353500,BMP8A,1,39922318,40005541,96,13,573609,6.011,9.2181e-10
24139,EML2,19,46102658,46183775,33,2,573841,5.9996,9.8909e-10
2646,GCKR,2,27684470,27756556,75,4,576064,5.9963,1.0092e-09
7088,TLE1,9,84188598,84338596,182,31,571241,5.9496,1.3436e-09
5937,RBMS1,2,161118662,161385366,377,20,572320,5.9345,1.4733e-09
101927216,LOC101927216,13,80606827,80659465,114,15,571789,5.9334,1.4838e-09
11124,FAF1,1,50896935,51460936,506,14,573664,5.891,1.9199e-09
374383,NCR3LG1,11,17338279,17408868,129,11,573229,5.8867,1.9693e-09
100526783,C15orf38-AP3S2,15,90363831,90491222,144,7,571764,5.8735,2.1333e-09
10239,AP3S2,15,90363831,90472617,144,7,571764,5.8735,2.1333e-09
8872,CDC123,10,12202961,12302589,166,17,576824,5.871,2.1665e-09
2888,GRB14,2,165339323,165513360,192,24,570777,5.8704,2.1743e-09
100505877,UBE2E2-AS1,3,23226561,23281268,147,17,572244,5.8637,2.2635e-09
25813,SAMM50,22,44316261,44402412,248,19,572956,5.845,2.5328e-09
10809,STARD10,11,72455774,72539750,123,11,572119,5.8324,2.7322e-09
55833,UBAP2,9,33911691,34083947,195,13,574104,5.8124,3.0794e-09
51479,ANKFY1,17,4056665,4202274,162,8,573390,5.8092,3.1381e-09
259197,NCR3,6,31546660,31595762,21,5,576014,5.8089,3.1441e-09
23140,ZZEF1,17,3897739,4081314,481,14,573080,5.7877,3.5674e-09
23177,CEP68,2,65248495,65324142,153,15,573798,5.7804,3.7267e-09
100533183,ZNF664-FAM101A,12,124422762,124810570,726,52,572232,5.7773,3.7963e-09
199,AIF1,6,31547969,31594798,18,4,576544,5.7652,4.0776e-09
7916,PRRC2A,6,31553450,31615554,18,4,576544,5.7652,4.0776e-09
1388,ATF6B,6,32073045,32131017,10,4,586375,5.7286,5.0631e-09
6745,SSR1,6,7271283,7348541,272,15,571962,5.7005,5.9744e-09
2180,ACSL1,4,185666749,185782215,230,23,571264,5.6942,6.1992e-09
284076,TTLL6,17,46829593,46929469,189,15,572742,5.689,6.3877e-09
5646,PRSS3,9,33715464,33809229,82,11,573909,5.6611,7.5194e-09
387103,CENPW,6,126625660,126680548,25,2,565264,5.6542,7.8292e-09
1031,CDKN2C,1,51399367,51450309,38,5,573552,5.6407,8.4698e-09
26160,IFT172,2,27657240,27747575,82,4,578301,5.6188,9.6144e-09
4023,LPL,8,19761582,19834770,132,17,578227,5.6115,1.0028e-08
4669,NAGLU,17,40652951,40706467,47,7,573008,5.6032,1.0519e-08
4853,NOTCH2,1,120444176,120674880,92,5,580074,5.6013,1.0639e-08
3107,HLA-C,6,31226526,31274913,9,2,578105,5.5943,1.1076e-08
9873,FCHSD2,11,72537788,72888727,143,13,577814,5.5769,1.2244e-08
9055,PRC1,15,91499268,91572881,186,16,576504,5.5648,1.3119e-08
54926,UBE2R2,9,33782162,33930401,149,12,574915,5.5405,1.5084e-08
9690,UBE3C,7,156896655,157072066,330,11,573198,5.534,1.5651e-08
29942,PURG,8,30843320,30926231,101,13,571657,5.5331,1.573e-08
121665,SPPL3,12,121190313,121377155,437,18,577098,5.5237,1.6598e-08
169026,SLC30A8,8,117927512,118198953,303,28,572889,5.5197,1.698e-08
114971,PTPMT1,11,47551888,47605013,28,5,576586,5.4935,1.9701e-08
59338,PLEKHA1,10,124099094,124201871,219,20,572213,5.4804,2.1214e-08
645843,TMEM14E,3,152047487,152093779,52,7,573478,5.4733,2.209e-08
10652,YKT6,7,44205577,44263893,65,9,579245,5.4167,3.0355e-08
535,ATP6V0A1,17,40575862,40684597,111,9,573341,5.4075,3.1958e-08
11085,ADAM30,1,120426156,120474147,65,7,578145,5.3996,3.3404e-08
60488,MRPS35,12,27828706,27919237,108,7,572822,5.3777,3.7719e-08
6239,RREB1,6,7072830,7262213,285,26,572020,5.3666,4.0112e-08
150159,SLC9B1,4,103796205,103982552,215,5,573281,5.347,4.4718e-08
4722,NDUFS3,11,47565562,47616115,26,5,573207,5.3298,4.9167e-08
9960,USP3,15,63761710,63896839,283,18,572961,5.3244,5.0644e-08
2139,EYA2,20,45488263,45827492,728,65,570671,5.3148,5.3378e-08
2645,GCK,7,44173870,44264022,102,15,576770,5.299,5.8219e-08
133308,SLC9B2,4,103936647,104033480,94,10,574146,5.2936,5.9959e-08
399888,FAM180B,11,47573230,47620746,19,4,573509,5.2784,6.5174e-08
284546,C1orf185,1,51407129,51623754,268,15,572759,5.2781,6.5264e-08
8925,HERC1,15,63890817,64161148,554,18,573432,5.2734,6.6952e-08
56999,ADAMTS9,3,64491330,64708676,421,37,571108,5.2731,6.7075e-08
56172,ANKH,5,14694909,14906887,329,31,571396,5.2688,6.8655e-08
