GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
442590,SPDYE5,7,74660028,75143628,478,98,453733,8.1819,1.3967e-16
8537,BCAS1,20,52550079,52722304,800,55,453733,7.9156,1.2304e-15
627,BDNF,11,27666440,27778605,344,66,453733,7.7169,5.9612e-15
84083,ZRANB3,2,135944539,136323806,1272,111,453733,7.6957,7.0378e-15
23322,RPGRIP1L,16,53623818,53772771,568,67,453733,7.6019,1.459e-14
79068,FTO,16,53702875,54158379,2112,205,453733,7.3438,1.0382e-13
100101267,POM121C,7,75036060,75150565,76,33,453733,6.9876,1.3984e-12
79090,TRAPPC6A,19,45656186,45716501,283,44,453733,6.9758,1.5207e-12
6767,ST13,22,41210539,41288012,331,37,453733,6.9121,2.3869e-12
375593,TRIM73,7,74986234,75044896,29,17,453733,6.765,6.6673e-12
10478,SLC25A17,22,41155636,41250403,366,37,453733,6.6244,1.7435e-11
63929,XPNPEP3,22,41218085,41338823,446,48,453733,6.5249,3.402e-11
463,ZFHX3,16,72806784,73127534,1649,202,453733,6.4708,4.8755e-11
55366,LGR4,11,27377508,27529338,470,77,453733,6.3902,8.2839e-11
729438,GATSL2,7,74797605,74902341,82,33,453733,6.385,8.5722e-11
10910,SUGT1,13,53191830,53272433,363,44,453733,6.2229,2.4406e-10
284353,NKPD1,19,45643008,45698408,296,43,453733,6.2111,2.6304e-10
144983,HNRNPA1L2,13,53138750,53227931,371,35,453733,6.1322,4.3344e-10
158131,OR1Q1,9,125342017,125387961,176,31,453733,6.1094,5e-10
4804,NGFR,17,47537655,47602382,175,29,453733,6.1094,5e-10
138881,OR1L8,9,125319827,125365756,139,36,453733,6.1094,5e-10
9978,RBX1,22,41312351,41379019,186,40,453733,6.1094,5e-10
388552,BLOC1S3,19,45647003,45695058,268,39,453733,6.0967,5.4153e-10
11248,NXPH3,17,47618298,47671172,160,33,453733,6.0869,5.7559e-10
5245,PHB,17,47471410,47527267,200,27,453733,6.0531,7.1036e-10
11061,LECT1,13,53267399,53348947,321,47,453733,6.0278,8.3114e-10
150353,DNAJB7,22,41245553,41293130,168,30,453733,5.9929,1.0308e-09
2122,MECOM,3,168791287,169416563,2690,169,453733,5.8964,1.8576e-09
7764,ZNF217,20,52173610,52245801,273,34,453733,5.8856,1.9829e-09
26219,OR1J4,9,125246420,125292361,141,31,453733,5.8842,2e-09
138883,OR1N1,9,125278637,125324572,123,29,453733,5.8842,2e-09
138882,OR1N2,9,125280449,125326441,125,28,453733,5.8842,2e-09
101927254,LOC101927254,19,31630820,31730976,506,55,453733,5.7721,3.9133e-09
26053,AUTS2,7,69028905,70267885,4480,142,453733,5.7478,4.5216e-09
1030,CDKN2B,9,21992902,22044312,207,33,453733,5.7014,5.9412e-09
60495,HPSE2,10,100206834,101030632,3051,217,453733,5.6028,1.0544e-08
2847,MCHR1,22,41040182,41088818,172,28,453733,5.5313,1.5894e-08
83690,CRISPLD1,8,75861708,75956793,386,39,453733,5.4674,2.283e-08
145781,GCOM1,15,57849102,58019755,865,63,453733,5.4165,3.0385e-08
6850,SYK,9,93529012,93670842,713,48,453733,5.394,3.446e-08
23291,FBXW11,5,171278553,171468877,751,75,453733,5.382,3.6841e-08
654,BMP6,6,7692011,7891972,993,114,453733,5.3382,4.6927e-08
100302652,GPR75-ASB3,2,53887430,54122170,1040,55,453733,5.3286,4.9473e-08
55776,SAYSD1,6,39061840,39117865,301,52,453733,5.326,5.0193e-08
1029,CDKN2A,9,21957751,22029490,259,46,453733,5.3125,5.4066e-08
196074,METTL15,11,28094798,28365054,724,61,453733,5.2823,6.3792e-08
51130,ASB3,2,53887117,54049146,707,52,453733,5.2571,7.3163e-08
51225,ABI3,17,47252589,47310587,269,28,453733,5.2559,7.3655e-08
25924,MYRIP,3,39815405,40311812,2431,117,453733,5.1981,1.0068e-07
112609,MRAP2,6,84697746,84810606,468,60,453733,5.1808,1.1049e-07
9620,CELSR1,22,46746731,46968067,1155,88,453733,5.1482,1.3151e-07
2295,FOXF2,6,1355069,1405832,259,60,453733,5.1404,1.3705e-07
347169,OR1B1,9,125380858,125426814,232,46,453733,5.0847,1.8406e-07
100820829,MYZAP,15,57849102,57987562,703,66,453733,5.0824,1.8633e-07
7008,TEF,22,41728337,41805332,307,26,453733,5.0806,1.8814e-07
2033,EP300,22,41453614,41586081,490,59,453733,5.0201,2.5822e-07
9381,OTOF,2,26670071,26816566,484,56,453733,4.9878,3.0543e-07
8405,SPOP,17,47666246,47790525,485,58,453733,4.9823,3.1417e-07
51341,ZBTB7A,19,4035216,4101816,280,56,453733,4.9557,3.6033e-07
64788,LMF1,16,893634,1066318,1386,100,453733,4.9469,3.7702e-07
4249,MGAT5,2,134842502,135222192,1166,59,453733,4.9397,3.9119e-07
23264,ZC3H7B,22,41662507,41766151,402,29,453733,4.9265,4.186e-07
347168,OR1J1,9,125229237,125275205,136,32,453733,4.8968,4.87e-07
55553,SOX6,11,15977995,16532935,1843,103,453733,4.895,4.9159e-07
2793,GNGT2,17,47273596,47322936,208,33,453733,4.8825,5.2388e-07
81930,KIF18A,11,28032163,28164746,349,52,453733,4.8776,5.3699e-07
5100,PCDH8,13,53408109,53457775,242,37,453733,4.8314,6.7804e-07
64400,AKTIP,16,53515192,53573323,261,36,453733,4.7925,8.2341e-07
4684,NCAM1,11,112796969,113159158,1873,86,453733,4.7696,9.2315e-07
81488,POLR2M,15,57963901,58019753,277,26,453733,4.7577,9.7891e-07
51167,CYB5R4,6,84534370,84680146,789,41,453733,4.7378,1.0804e-06
25820,ARIH1,15,72731667,72888904,564,59,453733,4.7351,1.0945e-06
494143,CHAC2,2,53959929,54012320,219,42,453733,4.7319,1.1122e-06
2560,GABRB1,4,46998295,47442801,1810,133,453733,4.7238,1.1576e-06
22930,RAB3GAP1,2,135774835,135938280,494,34,453733,4.7086,1.2472e-06
10766,TOB2,22,41819492,41879234,219,48,453733,4.6878,1.3806e-06
392391,OR5C1,9,125516212,125562174,157,35,453733,4.6816,1.4233e-06
27248,ERLEC1,2,53979068,54055956,346,40,453733,4.6599,1.5822e-06
10485,C1orf61,1,156364048,156461441,303,75,453733,4.6427,1.7196e-06
54542,RC3H2,9,125596835,125702562,363,50,453733,4.635,1.7844e-06
26740,OR1J2,9,125196369,125286376,297,47,453733,4.6345,1.7893e-06
55778,ZNF839,14,102748714,102819511,359,49,453733,4.6138,1.9771e-06
22834,ZNF652,17,47356568,47474835,488,29,453733,4.6123,1.9916e-06
57591,MKL1,22,40796292,41067690,795,76,453733,4.6106,2.0072e-06
