GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
375790       1     920503    1001499      2       1  614406     -0.21399      0.58472
401934       1     997126    1044687     17       4  652643       1.4198     0.077827
54991        1    1007198    1086736     32       7  635793       1.1208       0.1312
254173       1    1074286    1143315     19       7  644129      0.64355      0.25993
8784         1    1128888    1177163     14       4  674328      0.71502       0.2373
126792       1    1132629    1180421     12       4  674722      0.92794      0.17672
7293         1    1136706    1184703     12       4  674207      0.97053      0.16589
51150        1    1142288    1202447     16       4  667164      0.57756      0.28178
388581       1    1167826    1217102     14       4  663774      0.10456      0.45836
118424       1    1179292    1244234     18       6  647518     -0.39377      0.65312
6339         1    1180816    1237409     16       6  655046     -0.24293      0.59597
126789       1    1208962    1257057      9       3  623674     -0.78666      0.78426
116983       1    1217764    1278304      7       2  612916     -0.74049       0.7705
80772        1    1225136    1274276      7       2  612916     -0.74049       0.7705
83756        1    1231726    1279844      5       2  615869     -0.56987      0.71562
54973        1    1236965    1295067      4       1  605929     -0.33305      0.63045
1855         1    1260658    1319509      3       2  628748      0.96964      0.16611
54587        1    1278071    1332183      3       2  628748      0.96964      0.16611
54998        1    1299110    1345818      3       2  628748      0.96964      0.16611
81669        1    1311091    1369718      1       1  657795      0.12566         0.45
83858        1    1372139    1454852      2       1  632476     -0.40781      0.65829
55210        1    1412523    1480067     10       3  650379     -0.68408      0.75304
339453       1    1460158    1510740     17       2  671705     -0.92725       0.8231
29101        1    1467053    1545262     17       2  674036     -0.94559      0.82782
9906         1    1646277    1712438      3       1  761729       6.0219   8.6188e-10
65220        1    1672671    1746508     12       3  672743       8.0023   6.1062e-16
2782         1    1706725    1857552     47       6  659847       7.5942   1.5488e-14
163688       1    1811266    1858733     10       3  666682       7.8778   1.6653e-15
339456       1    1839029    1885740     12       2  676770       6.3683   9.5565e-11
85452        1    1843390    1970276     17       4  665081       7.8017   3.0531e-15
2563         1    1915768    1972192      1       1  492764       1.6849        0.046
5590         1    1946909    2126834     71       7  682137       1.1319      0.12885
100506504    1    2103250    2150812     14       3  689115       1.5265     0.063446
199990       1    2105899    2179159     21       4  684321       1.6831     0.046181
6497         1    2125134    2251652     69      15  674399       2.3873    0.0084872
79906        1    2241719    2358190     81      19  668076       1.4963     0.067291
11079        1    2288214    2346883     43      14  659681       1.5437     0.061325
5192         1    2326241    2379010     19       7  626913       1.1294      0.12937
9651         1    2372754    2446964     37       8  668538        7.173   3.6682e-13
55229        1    2429975    2493061     17       4  658263       6.0154   8.9723e-10
388585       1    2450184    2496684      9       4  640411       5.3455   4.5089e-08
8764         1    2452291    2505268     11       3  649723       6.2271   2.3759e-10
127281       1    2482899    2532908     23       3  685162       5.7653   4.0748e-09
79258        1    2512078    2599499     29       3  685502       4.2613   1.0163e-05
100287898    1    2562807    2741230     17       5  689115       7.4835   3.6193e-14
140625       1    2903046    2949467     50       2  688113       1.1759      0.11981
63976        1    2950565    3365185    300      61  673208       1.7081     0.043813
27237        1    3336147    3407677     38       7  665312      0.53321      0.29695
1953         1    3394506    3563059     65      23  629036       1.4044     0.080101
127262       1    3506556    3556695     23       8  643284      0.40238       0.3437
7161         1    3534129    3662765     59      21  641586     0.050981      0.47967
49856        1    3537331    3601671     27       9  641482      0.14263      0.44329
148870       1    3633965    3698209     49      13  679515      0.45138      0.32586
388588       1    3654352    3702546     42      10  683576      0.81816      0.20663
57470        1    3686784    3748068     74      10  681064      0.32578       0.3723
9731         1    3718645    3808797    102      12  681438    -0.051101      0.52038
1677         1    3738845    3811993     89      13  681861      0.30661      0.37957
339448       1    3795697    3851857     35       5  675862       1.6977     0.044785
55966        1    4680105    4853851    261      49  678822       1.6478     0.049701
261734       1    5912870    6087618    176      14  686271      0.68597      0.24637
8514         1    6017358    6171253     95      19  667506       1.1084      0.13384
26038        1    6151847    6275194     61      14  658642      0.50069      0.30829
388591       1    6231189    6291359     17       5  670078       1.3976     0.081115
6146         1    6235080    6294679     19       5  670356       1.2521      0.10526
390992       1    6269252    6315638     20       4  670124       2.6567    0.0039455
23463        1    6271253    6331044     23       5  672439       2.8955    0.0018928
387509       1    6297406    6356035     19       5  683379       3.0762    0.0010484
11332        1    6314332    6488826     61       8  684484      0.76344       0.2226
83715        1    6449836    6531004     21       4  688543     -0.72247        0.765
54626        1    6465292    6519724     10       2  691062      -1.1889      0.88275
8718         1    6510787    6562432     16       4  658629     0.040747      0.48375
57449        1    6516152    6615121     55       6  680530       3.9466   3.9639e-05
79707        1    6571407    6649658     47       3  689614       4.2296   1.1704e-05
80835        1    6579987    6649817     40       3  691825       4.1487   1.6718e-05
3104         1    6605051    6659340     21       5  694308       5.8328   2.7245e-09
148479       1    6638756    6694093     23       5  703721       7.2396   2.2504e-13
9903         1    6640784    6697958     26       5  699317       7.0508   8.8934e-13
90326        1    6649925    6705646     26       5  699241        7.112   5.7188e-13
55735        1    6684228    6796966     60       7  690418       6.0514   7.1799e-10
23261        1    6810384    7839766    957     119  683530       7.4377   5.1243e-14
9341         1    7796329    7851492     30       7  670713       2.0396     0.020694
8863         1    7809413    7915241     78      13  678125       2.8741     0.002026
10911        1    7897672    7948551     21       6  683779      0.73095       0.2324
3604         1    7965931    8038225     24       6  681199       3.9729   3.5507e-05
11315        1    7986714    8055342     26       6  684661       4.2643   1.0027e-05
54206        1    8061779    8121393     20       3  692353       3.4632   0.00026687
50651        1    8343171    8414227     33       7  682980       1.2436      0.10683
473          1    8402464    8912699    271      12  686001       5.6492   8.0615e-09
2023         1    8911059    8974151     38       6  682269       1.9247     0.027134
765          1    8970893    9045151     71      20  672375       2.7643    0.0028522
155184       1    9053359    9121404     55      15  667160     -0.91752      0.82057
6518         1    9087005    9166763     64      10  684972      0.35131      0.36268
80045        1    9153472    9224229     44       9  690007       1.3407     0.090011
9563         1    9259822    9341396     46      11  690595       1.5106     0.065445
80176        1    9300202    9439591     83      27  679374       2.0982     0.017945
84275        1    9564528    9652831     20       3  678213       2.1011     0.017816
199953       1    9613932    9684935     22       3  680181       1.6175     0.052889
5293         1    9676789    9799172     42      12  679593       2.7709    0.0027947
22883        1    9779079    9919550     42       6  683805       3.7893   7.5541e-05
56998        1    9898334   10005316     31       5  690027       2.2116     0.013498
64802        1    9968486   10055556     20       3  696260       1.7641     0.038857
84328        1    9972168   10038460     18       3  697344       1.8095     0.035189
116362       1   10022255   10086078     12       3  687426       1.0132      0.15549
10277        1   10058041   10251297     50      10  681309       2.4819    0.0065341
23095        1   10235606   10451664    140       8  694522       1.9174     0.027592
5226         1   10423884   10490565     31       4  694369       2.0869      0.01845
378708       1   10454944   10520239     25       5  673006       2.0627     0.019573
100526739    1   10455159   10522060     25       5  673006       2.0627     0.019573
1325         1   10474776   10522060     18       3  675017       1.4674      0.07114
5195         1   10500003   10700815    154      17  687314      0.72174      0.23523
1676         1   10510588   10567613     45       5  688161      0.20541      0.41862
54897        1   10686661   10891733    102      35  651550       7.3626    9.015e-14
148345       1   10996530   11077094     58      13  670775       2.9622    0.0015272
23435        1   11037462   11095549     29       5  676625         5.33     4.91e-08
10747        1   11076580   11142296     30       2  696748       6.4832   4.4885e-11
6723         1   11104649   11155091     20       2  699424       6.4047   7.5318e-11
5394         1   11116675   11194961     23       2  687235       6.5388   3.0997e-11
2475         1   11156588   11357614     51       3  678737       6.9652   1.6402e-12
10218        1   11214346   11266038      6       1  681657       6.4115   7.2049e-11
29914        1   11298255   11358491     20       3  669704       6.3732   9.2559e-11
57540        1   11504295   11607640     70       7  680459    -0.026644      0.51063
93611        1   11679432   11733384     29       8  663321       1.4457     0.074136
26270        1   11689150   11744411     27       9  660626       1.5726       0.0579
26232        1   11697924   11749888     19       7  645564       1.7311     0.041713
374946       1   11716781   11790336     30      12  642261       1.3168     0.093951
10459        1   11724537   11786678     25       9  645559       0.4969      0.30963
57085        1   11761142   11820828     37       9  699350      0.47708      0.31665
284498       1   11788827   11859642     66      10  748626       2.6254    0.0043268
1185         1   11831153   11913201    109      11  754057       3.7275   9.6708e-05
4524         1   11835787   11901160     89      10  756896       3.7376   9.2908e-05
4878         1   11895766   11942840     73      12  747791       3.6159   0.00014964
4879         1   11907521   11953992     53      10  739311       3.5646   0.00018218
5351         1   11959724   12045599     38       7  695725       4.4843   3.6571e-06
90231        1   11969645   12021485     27       5  687944        4.493   3.5117e-06
9927         1   12005238   12083572     36       7  680965       3.9606   3.7382e-05
60672        1   12044299   12102106     24       5  677132       2.6927    0.0035433
943          1   12088434   12214264     58      18  646130         1.64     0.050498
7133         1   12192044   12279279     58      11  690025     -0.74012      0.77039
55187        1   12255101   12582099     85      18  667750      0.61345      0.26979
9249         1   12617939   12712820     78      21  653196      0.76345       0.2226
343066       1   12669566   12737097     60      12  630618      0.88676       0.1876
126767       1   12741118   12798726     59       8  661722      -1.0378      0.85032
93190        1   12771163   12831102     87       7  670402     -0.58377      0.72031
390999       1   12799984   12848049     48       6  672270     -0.28582      0.61249
65121        1   12816546   12866777     30       5  683958     -0.15019      0.55969
126755       1   13791445   13875242     89      21  677952      -1.7725      0.96184
10630        1   13875252   13954452     71      17  672813      -2.4616      0.99308
7799         1   13991714   14161574    162      21  682097       4.1688   1.5308e-05
23254        1   14184646   15454544   1396     179  681801       2.3967    0.0082725
55092        1   15444028   15556974    153      22  685332       2.2479     0.012291
727684       1   15480692   15533120     67      10  688186       2.0896     0.018326
114827       1   15538730   15734767    164      32  675385      0.82859      0.20367
79180        1   15701391   15766839     21       5  681460      0.30565      0.37993
11330        1   15729938   15783153     14       4  685150       0.9007      0.18387
63036        1   15748223   15808586     30       6  685667        2.777     0.002743
51032        1   15767596   15827895     50       9  691375       5.0331   2.4135e-07
842          1   15807896   15886407     91       7  685674        4.646    1.692e-06
23341        1   15818343   15908228     87       6  684346       4.4768   3.7887e-06
79814        1   15888194   15946605     25       3  689235       4.4195   4.9474e-06
84301        1   15908953   16005539     53       3  688821       4.1891   1.4001e-05
6248         1   15951364   15998217     30       2  688728       4.1489   1.6706e-05
23207        1   15975632   16071264     54       4  692495       3.4838   0.00024719
284723       1   16027721   16077884     32       4  694485       3.2815   0.00051624
388595       1   16033987   16084292     32       4  694237         3.28   0.00051912
54751        1   16048107   16123089     28       8  687776       3.0691    0.0010734
440567       1   16123657   16169194     23       4  699938       2.1511     0.015733
23013        1   16139359   16276951     52       7  683823       2.4798    0.0065727
7709         1   16258364   16337627     44       8  682324       2.5457    0.0054527
101928566    1   16267626   16333701     35       7  681518       2.2347     0.012718
149563       1   16295731   16343184     32       6  675619       2.9216    0.0017414
1187         1   16313486   16370548     56       9  681033       2.8983    0.0018761
27129        1   16330523   16381084     61      12  683930       2.9915    0.0013879
1188         1   16335231   16393821     62      12  682517       3.0332    0.0012099
348487       1   16374264   16435127     25       6  671864       1.2184      0.11154
1969         1   16440832   16517582     62       9  684018       2.3475    0.0094509
128272       1   16514599   16574104     30       4  691150       2.2163     0.013336
101927546    1   16541343   16588528     15       2  692414       3.5414   0.00019897
79363        1   16548182   16598659     16       2  692120       3.4866   0.00024463
54455        1   16563339   16713965     50       4  694270       3.1826   0.00072975
26099        1   16658525   16734643     37       5  691572       3.2163    0.0006493
374955       1   16712101   16798919     49      10  684952       3.1502   0.00081577
55707        1   16732167   16796585     31       7  682184       2.6189    0.0044102
100133301    1   16830561   16876198      4       1  659476       4.8723   5.5158e-07
9696         1   17213445   17309474     12       4  704824       5.6266   9.1895e-09
4237         1   17290997   17343081     23       6  708030       6.5014   3.9779e-11
23400        1   17302453   17373467     31       6  704049       5.5583   1.3619e-08
6390         1   17335217   17415665     87       8  686975        4.811   7.5088e-07
11240        1   17383256   17480948     86      10  681661       4.7801   8.7587e-07
29943        1   17496621   17582501    115      17  671203      -2.0098      0.97777
51702        1   17540593   17620728    113      21  673304     -0.10294      0.54099
23569        1   17599690   17700495    147      21  679938       1.0595      0.14468
353238       1   17663741   17738195    111      19  677101       2.3458    0.0094925
55920        1   17723251   17801250     31       5  694625          1.3     0.096803
55160        1   17811693   18034370    145      19  678232     -0.89435      0.81443
81569        1   18046808   18163558     74      12  676461      0.95357      0.17015
84966        1   18399240   18714977    352      69  680168       1.8661     0.031011
127707       1   18772424   18822540     77      14  682383        1.709     0.043725
5081         1   18922500   19085360    157      34  655945       1.9541     0.025345
80834        1   19156093   19221155     38      10  665223      0.48897      0.31243
8659         1   19187924   19264293     22       9  639919     0.096825      0.46143
126917       1   19220774   19317826     46       9  661893       1.4103      0.07922
23352        1   19391000   19571812    136      11  690621       3.5695   0.00017881
23065        1   19532158   19613053     54      11  689482        2.916    0.0017726
51154        1   19543075   19596622     37       8  692918       2.6913    0.0035589
22977        1   19599057   19650280     30       8  672746       2.1469     0.015902
54896        1   19603740   19668925     41      11  679849       1.5041      0.06628
8574         1   19619202   19673640     35       8  679934      0.97293      0.16529
