GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     824993     889961    130      14  51479       1.3718     0.085067
339451       1     860967     911099    111      16  51744       1.5182     0.064482
84069        1     866872     920488    125      18  53031       1.3127     0.094642
26155        1     869583     929679    154      21  53981      0.90449      0.18287
84808        1     900579     952473    149      15  56517      -1.5644      0.94114
9636         1     913847     959920    141      13  57039       -2.412      0.99207
375790       1     920503    1001499    197      18  57455      -2.1756      0.98521
57801        1     924342     971608    123      12  57214      -2.6212      0.99562
401934       1     997126    1044687    112      13  57028     -0.30104      0.61831
54991        1    1007198    1086736    236      23  56506     -0.62643      0.73448
254173       1    1074286    1143315    247      30  56898     -0.32776      0.62845
8784         1    1128888    1177163    196      13  57786      0.31654       0.3758
126792       1    1132629    1180421    188      12  57755      0.49829      0.30914
7293         1    1136706    1184703    180      11  57706      0.59027      0.27751
51150        1    1142288    1202447    210      14  57528      0.68193      0.24764
388581       1    1167826    1217102    141      16  56499      0.55921      0.28801
118424       1    1179292    1244234    162      18  56739      0.59058       0.2774
6339         1    1180816    1237409    140      16  56582      0.44885      0.32677
126789       1    1208962    1257057    111      14  57163      0.34053      0.36673
116983       1    1217764    1278304    122      13  57324      0.92942      0.17633
80772        1    1225136    1274276     96      10  57475      0.95207      0.17053
83756        1    1231726    1279844     90       9  57381       1.0687       0.1426
54973        1    1236965    1295067    113       9  57269       1.0816      0.13972
1855         1    1260658    1319509    186      14  57455       1.0766      0.14083
54587        1    1278071    1332183    157      13  57459      0.98414      0.16252
54998        1    1299110    1345818    138      13  57507      0.94345      0.17273
81669        1    1311091    1369718    141      11  57385       0.3671      0.35677
643965       1    1326508    1373167    105      11  57386      0.21875      0.41342
55052        1    1327276    1377693    119      13  57256      0.40246      0.34367
64856        1    1335903    1388262    130      15  56768       0.4062       0.3423
219293       1    1343152    1415538    140      16  56730      0.71447      0.23747
441869       1    1343800    1391824    120      13  56745       0.3426      0.36595
83858        1    1372139    1454852    104      15  55557       1.6294     0.051612
55210        1    1412523    1480067     96      12  55368        1.842     0.032736
339453       1    1460158    1510740    116      12  55946       2.1297     0.016597
29101        1    1467053    1545262    150      14  55809       1.8994     0.028753
142678       1    1515795    1575990     37       3  56908      0.68182      0.24768
643988       1    1523388    1570476     30       2  57082      0.71892      0.23609
8510         1    1532060    1580030     21       2  57310      0.91152      0.18101
984          1    1561100    1625473      6       3  58100       1.0825      0.13952
728661       1    1581486    1659243     31       2  58743       2.0259     0.021389
728642       1    1623822    1690999     73       7  58747       1.4748     0.070137
9906         1    1646277    1712438     97       9  58747       1.0773      0.14068
65220        1    1672671    1746508     93       9  58747       1.2612      0.10361
2782         1    1706725    1857552    199      15  58690       2.2049     0.013729
163688       1    1811266    1858733     95       9  58640       2.4777    0.0066118
339456       1    1839029    1885740    144      11  58748       2.4111    0.0079514
85452        1    1843390    1970276    384      30  58443       3.1528   0.00080862
2563         1    1915768    1972192    147      20  57949       1.6711     0.047346
5590         1    1946909    2126834    459      38  57569        2.693    0.0035411
100506504    1    2103250    2150812     96      19  56289       3.2325   0.00061357
199990       1    2105899    2179159    154      27  56900       2.9723    0.0014779
6497         1    2125134    2251652    316      45  57757        1.944     0.025949
79906        1    2241719    2358190    434      57  57789      0.88752       0.1874
11079        1    2288214    2346883    181      38  57376      0.80031      0.21176
5192         1    2326241    2379010    181      44  57965       5.6014   1.0632e-08
