GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
120534,ARL14EP,11,30309649,30369165,212,32,293218,6.1333,4.3044e-10
2099,ESR1,6,151976631,152434409,2407,190,293218,4.496,3.4623e-06
150275,CCDC117,22,29133662,29195283,273,46,293218,4.4603,4.0918e-06
2488,FSHB,11,30217563,30266824,171,20,293218,4.4181,4.9789e-06
7009,TMBIM6,12,50100293,50168717,210,32,293218,4.2695,9.7951e-06
128876,FAM83C,20,33863534,33915225,252,38,293218,4.191,1.3885e-05
3692,EIF6,20,33856709,33907619,258,40,293218,4.1884,1.4045e-05
84083,ZRANB3,2,135944539,136323806,1272,111,293218,4.1746,1.4925e-05
57706,DENND1A,9,126131933,126727423,2826,204,293218,4.1153,1.9331e-05
53346,TM6SF1,15,83741301,83816111,297,43,293218,4.0833,2.2202e-05
7015,TERT,5,1243282,1330178,356,94,293218,3.9817,3.4212e-05
6405,SEMA3F,3,50157562,50236508,224,48,293218,3.9589,3.7646e-05
57621,ZBTB2,6,151675250,151747677,373,45,293218,3.9421,4.0379e-05
646,BNC1,15,83914655,83988468,233,42,293218,3.94,4.0739e-05
64080,RBKS,2,27994266,28148223,545,55,293218,3.9067,4.6785e-05
54465,ETAA1,2,67589442,67647540,363,36,293218,3.8699,5.4444e-05
11200,CHEK2,22,29073731,29172822,456,58,293218,3.8436,6.063e-05
79803,HPS6,10,103790124,103837795,186,41,293218,3.8295,6.4213e-05
150274,HSCB,22,29103008,29163506,265,45,293218,3.8211,6.6418e-05
4249,MGAT5,2,134842502,135222192,1166,59,293218,3.8002,7.2278e-05
25861,DFNB31,9,117154360,117302789,648,71,293218,3.7993,7.2559e-05
145389,SLC38A6,14,61412832,61560451,725,66,293218,3.798,7.2947e-05
9553,MRPL33,2,27959584,28012608,174,35,293218,3.7927,7.4501e-05
80122,MAP3K19,2,135712076,135817301,311,26,293218,3.758,8.5633e-05
10935,PRDX3,10,120917215,120973377,330,43,293218,3.7556,8.6479e-05
54741,LEPROT,1,65851131,66117242,1112,67,293218,3.7499,8.8453e-05
22930,RAB3GAP1,2,135774835,135938280,494,34,293218,3.7483,8.901e-05
7494,XBP1,22,29180548,29231560,233,49,293218,3.7204,9.9439e-05
8209,C21orf33,21,45518476,45632835,502,85,293218,3.7097,0.00010376
3953,LEPR,1,65851335,66113176,1095,63,293218,3.7043,0.000106
114783,LMTK3,19,48978528,49051446,476,64,293218,3.6767,0.00011812
905,CCNT2,2,135641363,135726915,233,33,293218,3.6735,0.00011964
5156,PDGFRA,4,55060264,55174412,609,86,293218,3.6423,0.00013512
130106,CIB4,2,26794073,26899211,406,29,293218,3.6385,0.00013713
9381,OTOF,2,26670071,26816566,484,56,293218,3.5994,0.00015948
130013,ACMSD,2,135560994,135669604,259,39,293218,3.596,0.0001616
8537,BCAS1,20,52550079,52722304,800,55,293218,3.5725,0.00017681
50810,HDGFRP3,15,83796804,83911770,523,46,293218,3.5694,0.00017891
91010,FMNL3,12,50021724,50136197,343,43,293218,3.5567,0.00018777
55005,RMND1,6,151715897,151808316,430,68,293218,3.5545,0.00018937
57701,NCKAP5L,12,50174929,50257208,190,31,293218,3.5462,0.00019538
1400,CRMP1,4,5812491,5929785,703,83,293218,3.5458,0.0001957
51256,TBC1D7,6,13295183,13363787,398,34,293218,3.5455,0.00019591
3777,KCNK3,2,26880581,26964066,279,27,293218,3.522,0.00021419
3117,HLA-DQA1,6,32570169,32622152,1567,25,293218,3.4618,0.00026833
6820,SULT2B1,19,49020429,49112684,580,90,293218,3.4467,0.0002837
144233,BCDIN3D,12,50219826,50271912,115,24,293218,3.4241,0.00030846
84892,POMGNT2,3,43110721,43182575,322,57,293218,3.4152,0.00031868
7366,UGT2B15,4,69502315,69571494,692,10,293218,3.4064,0.00032913
10081,PDCD7,15,65399717,65461174,240,43,293218,3.4061,0.00032948
53339,BTBD1,15,83675175,83771106,402,45,293218,3.3885,0.00035137
23017,FAIM2,12,50250679,50332760,235,27,293218,3.3711,0.00037433
3593,IL12B,5,158731791,158792481,171,42,293218,3.3645,0.00038341
79815,NIPAL2,8,99192054,99342444,428,43,293218,3.3575,0.00039328
286053,NSMCE2,8,126069083,126389367,1624,68,293218,3.3514,0.00040198
989,SEPT7,7,35805596,35956715,558,52,293218,3.3474,0.0004079
362,AQP5,12,50320279,50369465,140,20,293218,3.3449,0.00041158
4802,NFYC,1,41122242,41247275,425,49,293218,3.34,0.00041895
