GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
8729,GBF1,10,103970255,104152656,676,70,293218,7.2419,2.2123e-13
2099,ESR1,6,151976631,152434409,2408,188,293218,7.2383,2.2714e-13
79365,BHLHE41,12,26262959,26313003,253,42,293218,6.8018,5.1643e-12
120534,ARL14EP,11,30309649,30369165,212,32,293218,6.5624,2.6466e-11
29763,PACSIN3,11,47189073,47243010,174,35,293218,6.1094,5e-10
4791,NFKB2,10,104118867,104172286,184,29,293218,5.9978,1e-09
221491,C6orf1,6,34204157,34251904,284,39,293218,5.8937,1.8886e-09
1643,DDB2,11,47201493,47270769,240,35,293218,5.845,2.5326e-09
84364,ARFGAP2,11,47175849,47234054,165,34,293218,5.7685,4e-09
8567,MADD,11,47255927,47361582,400,47,293218,5.6986,6.0405e-09
29113,C6orf15,6,31069000,31115332,614,27,293218,5.6547,7.8055e-09
170679,PSORS1C1,6,31047608,31117869,955,34,293218,5.5947,1.105e-08
7015,TERT,5,1243282,1330178,356,94,293218,5.5666,1.2986e-08
10062,NR1H3,11,47234851,47300584,252,28,293218,5.454,2.4628e-08
26052,DNM3,1,171775618,172397606,2395,120,293218,5.4228,2.9335e-08
1460,CSNK2B,6,31597995,31647844,283,48,293218,5.4009,3.3145e-08
3159,HMGA1,6,34169577,34224008,369,54,293218,5.3695,3.9475e-08
1041,CDSN,6,31072865,31123252,696,32,293218,5.3587,4.1919e-08
55937,APOM,6,31585187,31635987,312,69,293218,5.2819,6.3927e-08
9793,CKAP5,11,46755084,46902859,408,47,293218,5.2588,7.2504e-08
10206,TRIM13,13,50536143,50602603,315,39,293218,5.2206,8.9159e-08
51684,SUFU,10,104228719,104403214,598,78,293218,5.2152,9.1793e-08
7918,GPANK1,6,31619006,31669060,274,44,293218,5.2142,9.2298e-08
23331,TTC28,22,28364002,29110853,2755,107,293218,5.2007,9.9271e-08
7920,ABHD16A,6,31644726,31706137,258,45,293218,5.1896,1.0537e-07
57827,C6orf47,6,31616075,31663549,259,42,293218,5.1887,1.0588e-07
58496,LY6G5B,6,31603728,31650227,256,40,293218,5.1842,1.085e-07
259215,LY6G6F,6,31639625,31688372,211,51,293218,5.1658,1.1969e-07
1876,E2F6,2,11574501,11641303,290,64,293218,5.1566,1.2571e-07
80741,LY6G5C,6,31634461,31683150,234,53,293218,5.1557,1.2631e-07
6184,RPN1,3,128328813,128404719,246,45,293218,5.1504,1.3e-07
165721,DNAJB8,3,128171275,128221091,163,21,293218,5.12,1.5273e-07
2624,GATA2,3,128188265,128247030,206,25,293218,5.1158,1.562e-07
257194,NEGR1,1,71858625,72783533,3300,140,293218,5.1129,1.5863e-07
2147,F2,11,46705743,46771056,181,37,293218,5.0978,1.7182e-07
2488,FSHB,11,30217563,30266824,171,20,293218,5.0949,1.7444e-07
7917,BAG6,6,31596805,31655953,332,49,293218,5.0908,1.7824e-07
10293,TRAIP,3,49856028,49928992,169,34,293218,5.0848,1.84e-07
283518,KCNRG,13,50554390,50605058,261,32,293218,5.0674,2.0163e-07
6941,TCF19,6,31091303,31144183,802,47,293218,5.0554,2.1472e-07
55107,ANO1,11,69889408,70045651,845,86,293218,5.0484,2.2273e-07
4038,LRP4,11,46868268,46975173,276,35,293218,5.0384,2.3468e-07
392,ARHGAP1,11,46688625,46757215,198,40,293218,4.9533,3.649e-07
53,ACP2,11,47250853,47305457,199,34,293218,4.9179,4.3731e-07
80739,C6orf25,6,31656121,31704487,198,47,293218,4.897,4.8647e-07
54535,CCHCR1,6,31100216,31161015,875,51,293218,4.8881,5.0918e-07
79096,C11orf49,11,46923240,47195932,671,58,293218,4.8536,6.0606e-07
57213,SPRYD7,13,50476842,50545626,323,35,293218,4.8362,6.6164e-07
58530,LY6G6D,6,31648048,31695698,201,49,293218,4.82,7.178e-07
79012,CAMKV,3,49885414,49942655,117,26,293218,4.8034,7.7999e-07
79176,FBXL15,10,104143979,104192894,161,32,293218,4.7641,9.4836e-07
7318,UBA7,3,49832638,49886391,131,33,293218,4.7287,1.1299e-06
3304,HSPA1B,6,31754964,31808032,218,66,293218,4.6982,1.3121e-06
4758,NEU1,6,31816829,31865709,210,64,293218,4.6928,1.3472e-06
3839,KPNA3,13,50263443,50402057,620,56,293218,4.6867,1.3886e-06
50854,C6orf48,6,31767693,31817541,197,64,293218,4.6803,1.4326e-06
8772,FADD,11,70014269,70063508,298,35,293218,4.6699,1.5069e-06
3119,HLA-DQB1,6,32617241,32669466,1725,33,293218,4.6673,1.5257e-06
60526,LDAH,2,20873788,21057890,847,99,293218,4.6263,1.8617e-06
7407,VARS,6,31735295,31798712,269,55,293218,4.6191,1.9273e-06
4439,MSH5,6,31672725,31740455,275,52,293218,4.6075,2.038e-06
57819,LSM2,6,31755169,31809761,228,68,293218,4.6004,2.1088e-06
60676,PAPPA2,1,176397307,176824737,1408,90,293218,4.5923,2.1918e-06
3305,HSPA1L,6,31767396,31825093,223,70,293218,4.5861,2.2577e-06
80736,SLC44A4,6,31820969,31881823,288,56,293218,4.5674,2.469e-06
9169,SCAF11,12,46302914,46420898,439,40,293218,4.564,2.5098e-06
23,ABCF1,6,30504170,30569309,296,44,293218,4.527,2.991e-06
57621,ZBTB2,6,151675250,151747677,373,45,293218,4.5024,3.3589e-06
4781,NFIB,9,14071842,14433982,1694,238,293218,4.4855,3.6372e-06
80740,LY6G6C,6,31676425,31724511,189,47,293218,4.4488,4.3178e-06
403,ARL3,10,104423484,104509190,373,55,293218,4.4256,4.808e-06
23564,DDAH2,6,31684817,31733039,199,54,293218,4.4206,4.9222e-06
