GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     824993     889961    323      49  410520      0.71439      0.23749
339451       1     860967     911099    248      54  410520        1.102      0.13523
84069        1     866872     920488    265      45  410520      0.71015      0.23881
26155        1     869583     929679    299      52  410520      0.65996      0.25464
84808        1     900579     952473    268      38  410520      0.90423      0.18294
9636         1     913847     959920    249      38  410520       1.3041     0.096101
375790       1     920503    1001499    430      56  410520        1.241      0.10729
57801        1     924342     971608    223      36  410520       1.5084     0.065731
401934       1     997126    1044687    197      37  410520      0.24661       0.4026
54991        1    1007198    1086736    371      40  410520     -0.23173      0.59162
254173       1    1074286    1143315    399      56  410520      -0.4493      0.67339
8784         1    1128888    1177163    288      26  410520     -0.61778      0.73164
126792       1    1132629    1180421    282      23  410520     -0.53018      0.70201
7293         1    1136706    1184703    276      21  410520     -0.53218       0.7027
51150        1    1142288    1202447    330      30  410520     -0.74684      0.77242
388581       1    1167826    1217102    233      38  410520     -0.82099      0.79418
118424       1    1179292    1244234    293      37  410520      0.65295       0.2569
6339         1    1180816    1237409    248      43  410520     -0.11042      0.54396
126789       1    1208962    1257057    215      43  410520       1.1344      0.12831
116983       1    1217764    1278304    264      39  410520       1.0709      0.14212
80772        1    1225136    1274276    222      44  410520       1.1223      0.13086
83756        1    1231726    1279844    206      40  410520      0.81887      0.20643
54973        1    1236965    1295067    241      39  410520      0.52957       0.2982
1855         1    1260658    1319509    289      26  410520      0.75308       0.2257
54587        1    1278071    1332183    231      28  410520       1.0655      0.14333
54998        1    1299110    1345818    204      27  410520       1.2322      0.10893
81669        1    1311091    1369718    233      30  410520     0.070939      0.47172
643965       1    1326508    1373167    182      29  410520    -0.016563      0.50661
55052        1    1327276    1377693    200      32  410520    -0.087255      0.53477
64856        1    1335903    1388262    214      35  410520     -0.24731      0.59767
219293       1    1343152    1415538    287      41  410520     -0.50203      0.69218
441869       1    1343800    1391824    199      33  410520     -0.49866      0.69099
83858        1    1372139    1454852    318      44  410520     -0.47002      0.68083
55210        1    1412523    1480067    267      33  410520      0.67842      0.24875
339453       1    1460158    1510740    188      29  410520        1.537     0.062144
29101        1    1467053    1545262    264      30  410520       1.3574     0.087327
142678       1    1515795    1575990    142      21  410520       1.3026     0.096352
643988       1    1523388    1570476    119      18  410520       1.1193       0.1315
8510         1    1532060    1580030     90      16  410520         1.22      0.11123
984          1    1561100    1625473    125      29  410520       2.5444    0.0054728
728661       1    1581486    1659243    176      38  410520       2.3216     0.010127
728642       1    1623822    1690999    162      29  410520      0.77977      0.21776
9906         1    1646277    1712438    206      36  410520      0.43684      0.33111
65220        1    1672671    1746508    220      43  410520     -0.36231      0.64144
2782         1    1706725    1857552    434      52  410520     -0.74752      0.77263
163688       1    1811266    1858733    169      29  410520      -2.1575      0.98452
339456       1    1839029    1885740    217      26  410520      -2.9052      0.99817
85452        1    1843390    1970276    643      75  410520      -1.0925      0.86269
2563         1    1915768    1972192    274      45  410520     -0.35441      0.63849
5590         1    1946909    2126834    800      79  410520       1.2413      0.10726
100506504    1    2103250    2150812    155      43  410520       1.8122     0.034976
199990       1    2105899    2179159    255      55  410520       1.7728     0.038128
6497         1    2125134    2251652    523      84  410520       1.7385      0.04106
79906        1    2241719    2358190    627      96  410520       1.0249      0.15271
11079        1    2288214    2346883    271      59  410520      0.95539      0.16969
5192         1    2326241    2379010    279      72  410520       1.8141     0.034832
9651         1    2372754    2446964    413      74  410520     -0.64143      0.73938
55229        1    2429975    2493061    300      41  410520       1.9852     0.023563
388585       1    2450184    2496684    192      41  410520       2.7937    0.0026051
8764         1    2452291    2505268    218      40  410520       2.9416    0.0016324
127281       1    2482899    2532908    226      31  410520       2.6441    0.0040951
79258        1    2512078    2599499    336      34  410520       2.1455     0.015957
100287898    1    2562807    2741230    353      41  410520       1.8195     0.034416
140625       1    2903046    2949467    286      24  410520      -0.1786      0.57087
63976        1    2950565    3365185   2396     261  410520       2.6328    0.0042345
27237        1    3336147    3407677    362      48  410520       4.3256    7.606e-06
1953         1    3394506    3563059    887     125  410520       1.9144     0.027786
127262       1    3506556    3556695    257      41  410520      0.77727       0.2185
7161         1    3534129    3662765    583     102  410520      0.93102      0.17592
49856        1    3537331    3601671    266      59  410520       1.9272     0.026974
148870       1    3633965    3698209    324      50  410520      0.76791      0.22127
388588       1    3654352    3702546    268      44  410520       1.1686      0.12128
57470        1    3686784    3748068    415      33  410520       1.4707     0.070684
9731         1    3718645    3808797    656      46  410520       1.4957     0.067366
1677         1    3738845    3811993    540      43  410520       1.6221     0.052395
339448       1    3795697    3851857    267      35  410520       1.7128     0.043372
55966        1    4680105    4853851   1073     129  410520       4.8613   5.8299e-07
261734       1    5912870    6087618    800      44  410520       3.4177   0.00031577
8514         1    6017358    6171253    686      93  410520       2.6053    0.0045903
26038        1    6151847    6275194    524      65  410520       1.5191     0.064364
388591       1    6231189    6291359    204      39  410520      0.62779      0.26507
6146         1    6235080    6294679    200      39  410520      0.71333      0.23782
390992       1    6269252    6315638    165      33  410520       1.0465      0.14766
23463        1    6271253    6331044    224      40  410520       1.1259      0.13011
387509       1    6297406    6356035    224      46  410520       1.4812      0.06928
11332        1    6314332    6488826    833      42  410520       2.0513     0.020118
83715        1    6449836    6531004    357      36  410520       2.5426    0.0055023
54626        1    6465292    6519724    225      29  410520       2.4955    0.0062889
8718         1    6510787    6562432    190      43  410520        1.033       0.1508
57449        1    6516152    6615121    434      59  410520      0.71677      0.23676
79707        1    6571407    6649658    313      23  410520      0.36993      0.35572
80835        1    6579987    6649817    263      25  410520      0.40152      0.34402
3104         1    6605051    6659340    210      35  410520      0.44542      0.32801
148479       1    6638756    6694093    177      41  410520       1.5941     0.055454
9903         1    6640784    6697958    193      41  410520       1.5207     0.064173
90326        1    6649925    6705646    196      40  410520       1.4258      0.07697
55735        1    6684228    6796966    387      38  410520       2.3974    0.0082557
23261        1    6810384    7839766   4122     292  410520       4.8036   7.7902e-07
9341         1    7796329    7851492    196      41  410520       7.3046     1.39e-13
8863         1    7809413    7915241    441      46  410520       7.7343   5.1991e-15
10911        1    7897672    7948551    263      30  410520       5.0092   2.7332e-07
3604         1    7965931    8038225    229      44  410520       3.5218   0.00021434
11315        1    7986714    8055342    205      39  410520       3.6584   0.00012691
54206        1    8061779    8121393    137      23  410520       3.1141   0.00092256
50651        1    8343171    8414227    267      37  410520       3.0536    0.0011306
473          1    8402464    8912699   1192      53  410520        3.795   7.3818e-05
2023         1    8911059    8974151    207      40  410520       1.0531      0.14614
765          1    8970893    9045151    393      82  410520       1.3835     0.083253
155184       1    9053359    9121404    315      62  410520      0.31179       0.3776
6518         1    9087005    9166763    397      44  410520     -0.57044      0.71581
80045        1    9153472    9224229    281      47  410520     -0.19591      0.57766
9563         1    9259822    9341396    410      52  410520       1.5857     0.056405
80176        1    9300202    9439591    790     120  410520        1.352     0.088182
84275        1    9564528    9652831    214      43  410520       2.4684    0.0067865
199953       1    9613932    9684935    167      33  410520       3.3771   0.00036626
5293         1    9676789    9799172    420      65  410520       2.5104    0.0060291
22883        1    9779079    9919550    400      48  410520       1.3559     0.087569
56998        1    9898334   10005316    330      65  410520       1.8573     0.031636
64802        1    9968486   10055556    266      39  410520       1.5849     0.056495
84328        1    9972168   10038460    205      42  410520       1.6471     0.049769
116362       1   10022255   10086078    198      33  410520      0.68396        0.247
