GENE,gene_symbol,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
144402,CPNE8,12,39036002,39335395,1118,50,410520,8.0044,6.0014e-16
80059,LRRTM4,2,76964849,77784502,4008,152,410520,7.98,7.3162e-16
23112,TNRC6B,22,40405046,40741812,1038,51,410520,7.7354,5.1523e-15
8863,PER3,1,7809413,7915241,441,46,410520,7.7343,5.1991e-15
54932,EXD3,9,140191346,140352714,653,137,410520,7.7184,5.8885e-15
2773,GNAI3,1,110056186,110148465,283,43,410520,7.605,1.4247e-14
6660,SOX5,12,23672438,24750383,4548,331,410520,7.5472,2.2232e-14
1203,CLN5,13,77531059,77586652,227,40,410520,7.5423,2.3093e-14
54460,MRPS21,1,150231262,150291414,165,21,410520,7.53,2.5369e-14
23632,CA14,1,150194554,150247478,108,22,410520,7.5034,3.1086e-14
1893,ECM1,1,150445487,150496265,169,21,410520,7.5011,3.1641e-14
23248,RPRD2,1,150301624,150459042,579,25,410520,7.4891,3.4683e-14
79630,C1orf54,1,150209687,150263335,116,25,410520,7.4807,3.697e-14
3062,HCRTR2,6,55004071,55157538,717,54,410520,7.4659,4.1365e-14
9129,PRPF3,1,150258928,150335704,261,20,410520,7.4317,5.3607e-14
84920,ALG10,12,34140216,34191237,187,26,410520,7.4298,5.4401e-14
10181,RBM5,3,50091341,50166397,150,25,410520,7.4275,5.5345e-14
51665,ASB1,2,239300382,239370891,326,30,410520,7.3957,7.0349e-14
9341,VAMP3,1,7796329,7851492,196,41,410520,7.3046,1.39e-13
81611,ANP32E,1,150180717,150243504,127,22,410520,7.2889,1.5626e-13
222234,FAM185A,7,102354399,102459672,230,40,410520,7.2623,1.9035e-13
84315,MON1A,3,49936302,50002445,142,24,410520,7.2396,2.2504e-13
148523,CIART,1,150219930,150269505,106,20,410520,7.2013,2.9821e-13
6004,RGS16,1,182557758,182608548,173,43,410520,7.1698,3.7542e-13
90701,SEC11C,18,56771709,56836069,339,32,410520,7.1598,4.0398e-13
57706,DENND1A,9,126131933,126727423,2129,93,410520,7.1132,5.6704e-13
51107,APH1A,1,150227799,150276609,121,20,410520,7.0432,9.3936e-13
144245,ALG10B,12,38675557,38733528,223,23,410520,7.0204,1.1061e-12
389792,IER5L,9,131927831,131975540,157,33,410520,7.0132,1.165e-12
10180,RBM6,3,49942474,50124685,425,30,410520,6.9479,1.8533e-12
1523,CUX1,7,101424184,101937250,1838,118,410520,6.9302,2.1015e-12
116113,FOXP4,6,41479164,41580122,427,63,410520,6.9103,2.4186e-12
26146,TRAF3IP1,2,239194185,239319541,484,50,410520,6.8603,3.4362e-12
1644,DDC,7,50516134,50668154,797,38,410520,6.7826,5.9005e-12
26289,AK5,1,77712662,78035654,1473,98,410520,6.7745,6.2434e-12
1608,DGKG,3,185842896,186115023,1002,174,410520,6.7713,6.3796e-12
4486,MST1R,3,49914435,49976311,110,22,410520,6.673,1.253e-11
2887,GRB10,7,50647760,50896159,1127,63,410520,6.663,1.3413e-11
8864,PER2,2,239142679,239233678,383,50,410520,6.6612,1.3581e-11
54507,ADAMTSL4,1,150486846,150543413,162,46,410520,6.6142,1.8677e-11
80222,TARS2,1,150424840,150490085,229,22,410520,6.6059,1.9756e-11
23254,KAZN,1,14184646,15454544,6292,454,410520,6.588,2.229e-11
8672,EIF4G3,1,21122785,21538381,1176,44,410520,6.5867,2.2489e-11
375611,SLC26A5,7,102983177,103121624,501,59,410520,6.5651,2.6002e-11
5079,PAX5,9,36823272,37069476,1137,108,410520,6.5488,2.8993e-11
80895,ILKAP,2,239069043,239147343,468,43,410520,6.5291,3.3085e-11
91608,RASL10B,17,34023679,34080540,216,50,410520,6.5022,3.9582e-11
339862,LOC339862,3,17969064,18320414,1071,66,410520,6.4672,4.9912e-11
221692,PHACTR1,6,12681888,13300476,2286,128,410520,6.4323,6.2846e-11
6092,ROBO2,3,75920845,77709115,7494,335,410520,6.3926,8.1555e-11
79823,CAMKMT,2,44554043,45009731,1740,64,410520,6.3907,8.2579e-11
151176,FAM132B,2,239025579,239087516,370,64,410520,6.3469,1.0987e-10
343472,BARHL2,1,91167579,91217794,160,45,410520,6.3007,1.4818e-10
9378,NRXN1,2,50135643,51294674,4906,195,410520,6.2837,1.6528e-10
4208,MEF2C,5,88004058,88234922,602,66,410520,6.2661,1.8512e-10
79012,CAMKV,3,49885414,49942655,114,23,410520,6.2633,1.8847e-10
3184,HNRNPD,4,83264467,83330149,266,42,410520,6.2243,2.4184e-10
9404,LPXN,11,58284344,58380688,269,38,410520,6.2029,2.7716e-10
271,AMPD2,1,110127435,110184677,176,39,410520,6.1893,3.0219e-10
389400,GFRAL,6,55157267,55277291,798,42,410520,6.1662,3.4981e-10
5334,PLCL1,2,198634426,199024608,1068,49,410520,6.1565,3.7196e-10
57596,BEGAIN,14,100993484,101071131,279,40,410520,6.1553,3.7468e-10
6405,SEMA3F,3,50157562,50236508,198,36,410520,6.1177,4.7464e-10
222584,FAM83B,6,54676569,54819897,701,47,410520,6.1101,4.9792e-10
55090,MED9,17,17345300,17406534,202,32,410520,6.1094,5e-10
51655,RASD1,17,17387751,17434709,187,39,410520,6.1094,5e-10
80829,ZFP91,11,58311587,58399023,239,45,410520,6.1094,5e-10
6041,RNASEL,1,182532769,182593420,202,52,410520,6.1094,5e-10
10293,TRAIP,3,49856028,49928992,142,28,410520,6.1094,5e-10
26224,FBXL3,13,77569389,77636331,238,36,410520,6.1094,5e-10
84267,C9orf64,9,86543226,86606665,180,36,410520,6.1094,5e-10
2771,GNAI2,3,50229120,50306786,167,43,410520,6.109,5.0118e-10
50809,HP1BP3,1,21059170,21148808,239,38,410520,6.0948,5.479e-10
80333,KCNIP4,4,20720234,21985424,6308,283,410520,6.0694,6.4199e-10
66000,TMEM108,3,132722171,133126619,1615,73,410520,6.06,6.8066e-10
163,AP2B1,17,33878918,34063436,810,42,410520,6.0532,7.1007e-10
1270,CNTF,11,58355146,58403206,142,33,410520,6.0331,8.0405e-10
83449,PMFBP1,16,72142996,72241349,376,45,410520,6.0278,8.3105e-10
390190,OR5B2,11,58179738,58225786,211,18,410520,6.024,8.5097e-10
246721,POLR2J2,7,102267195,102347176,45,13,410520,6.0043,9.61e-10
219968,OR5B21,11,58264649,58310578,108,31,410520,5.9978,1e-09
80010,RMI1,9,86560321,86628989,183,36,410520,5.9978,1e-09
3190,HNRNPK,9,86572998,86630692,147,31,410520,5.9978,1e-09
390191,OR5B12,11,58196593,58242646,193,25,410520,5.9924,1.0338e-09
6942,TCF20,22,42546019,42699768,484,55,410520,5.9918,1.0375e-09
8715,NOL4,18,31421064,31838515,1239,94,410520,5.9441,1.3898e-09
10991,SLC38A3,3,50207692,50268406,132,27,410520,5.9339,1.4792e-09
84186,ZCCHC7,9,37085161,37368146,680,50,410520,5.9335,1.4823e-09
10082,GPC6,13,93844078,95070274,4812,276,410520,5.9276,1.537e-09
9512,PMPCB,7,102902873,102980349,186,42,410520,5.8842,2e-09
5701,PSMC2,7,102949852,103019842,184,39,410520,5.8842,2e-09
27000,DNAJC2,7,102942921,103020320,196,42,410520,5.8842,2e-09
341359,SYT10,12,33518348,33627754,382,31,410520,5.8768,2.091e-09
93986,FOXP2,7,113691365,114343827,1887,120,410520,5.8656,2.2375e-09
9254,CACNA2D2,3,50390230,50575892,508,48,410520,5.8287,2.7922e-09
79068,FTO,16,53702875,54158379,1913,192,410520,5.8039,3.2398e-09
2775,GNAO1,16,56190251,56401356,795,68,410520,5.8012,3.2918e-09
7227,TRPS1,8,116410724,116748299,906,71,410520,5.7889,3.5432e-09
